date,rainfall_mm,temp_max,temp_min,wind_speed,humidity,soil_moisture,evapotranspiration,station
2005-01-01,0.0,21.48,9.12,1.27,80.15,0.64,1.66,Assam_Dhubri
2005-01-02,0.0,21.55,11.24,0.95,81.38,0.64,1.39,Assam_Dhubri
2005-01-03,0.0,22.57,11.05,0.87,83.1,0.63,1.72,Assam_Dhubri
2005-01-04,0.0,23.42,13.0,0.97,80.05,0.63,1.45,Assam_Dhubri
2005-01-05,0.0,22.31,11.99,1.49,87.11,0.63,1.5,Assam_Dhubri
2005-01-06,0.0,22.13,11.86,1.31,87.09,0.63,1.44,Assam_Dhubri
2005-01-07,0.0,22.37,11.25,0.94,83.33,0.62,1.51,Assam_Dhubri
2005-01-08,0.0,22.33,11.65,0.8,81.29,0.62,1.46,Assam_Dhubri
2005-01-09,0.0,20.96,11.19,0.88,83.61,0.62,1.26,Assam_Dhubri
2005-01-10,0.99,21.19,12.02,1.16,70.19,0.62,1.18,Assam_Dhubri
2005-01-11,0.26,18.81,9.32,1.31,80.93,0.62,0.74,Assam_Dhubri
2005-01-12,0.0,19.14,8.98,1.4,82.88,0.62,0.98,Assam_Dhubri
2005-01-13,0.0,19.08,8.98,0.93,80.31,0.61,1.06,Assam_Dhubri
2005-01-14,0.0,20.68,9.0,0.93,79.08,0.61,1.37,Assam_Dhubri
2005-01-15,0.0,20.95,9.35,0.96,79.57,0.61,1.28,Assam_Dhubri
2005-01-16,0.0,21.58,10.06,1.2,83.33,0.61,1.24,Assam_Dhubri
2005-01-17,0.0,22.0,10.53,1.19,79.46,0.6,1.27,Assam_Dhubri
2005-01-18,1.51,19.7,12.04,1.26,87.59,0.6,0.66,Assam_Dhubri
2005-01-19,1.22,21.79,11.6,0.75,80.19,0.6,1.37,Assam_Dhubri
2005-01-20,0.0,21.18,10.68,1.24,76.75,0.6,1.42,Assam_Dhubri
2005-01-21,0.0,19.63,9.94,1.52,79.88,0.6,1.12,Assam_Dhubri
2005-01-22,0.12,18.93,10.59,1.1,82.64,0.6,0.5,Assam_Dhubri
2005-01-23,6.39,21.14,9.56,1.97,77.28,0.6,1.34,Assam_Dhubri
2005-01-24,0.01,20.54,10.21,0.92,83.13,0.6,1.1,Assam_Dhubri
2005-01-25,0.0,20.19,9.78,1.02,82.23,0.6,1.22,Assam_Dhubri
2005-01-26,0.0,22.32,10.05,1.47,74.43,0.6,1.58,Assam_Dhubri
2005-01-27,0.0,22.77,11.12,1.08,66.68,0.59,1.6,Assam_Dhubri
2005-01-28,0.07,19.68,10.42,1.78,85.21,0.59,0.72,Assam_Dhubri
2005-01-29,0.06,20.51,11.56,0.85,81.57,0.59,1.03,Assam_Dhubri
2005-01-30,0.0,22.26,11.28,1.36,83.38,0.59,1.28,Assam_Dhubri
2005-01-31,0.0,24.04,11.3,1.74,78.38,0.59,1.44,Assam_Dhubri
2005-02-01,1.78,22.67,14.03,1.72,80.27,0.58,1.07,Assam_Dhubri
2005-02-02,0.0,22.69,10.84,1.82,73.71,0.58,1.65,Assam_Dhubri
2005-02-03,0.0,20.67,9.44,1.14,74.25,0.58,1.42,Assam_Dhubri
2005-02-04,0.0,20.44,9.16,1.32,79.01,0.58,1.24,Assam_Dhubri
2005-02-05,0.01,22.87,9.68,1.01,65.72,0.57,1.5,Assam_Dhubri
2005-02-06,0.0,24.36,11.87,0.97,58.43,0.57,1.57,Assam_Dhubri
2005-02-07,0.0,25.11,12.76,1.45,69.36,0.57,1.62,Assam_Dhubri
2005-02-08,0.0,23.93,12.55,1.06,75.3,0.57,1.07,Assam_Dhubri
2005-02-09,0.0,25.92,13.37,0.95,75.79,0.56,1.76,Assam_Dhubri
2005-02-10,0.0,26.57,14.59,1.14,71.64,0.56,1.81,Assam_Dhubri
2005-02-11,0.0,26.44,13.89,1.1,71.74,0.56,1.77,Assam_Dhubri
2005-02-12,0.0,27.77,15.05,1.47,64.92,0.55,1.88,Assam_Dhubri
2005-02-13,0.2,28.36,13.93,3.83,61.52,0.55,2.47,Assam_Dhubri
2005-02-14,0.01,27.02,14.08,2.78,54.34,0.54,2.09,Assam_Dhubri
2005-02-15,0.0,26.58,13.26,2.27,62.26,0.54,1.91,Assam_Dhubri
2005-02-16,0.01,28.3,14.86,2.18,62.66,0.54,2.13,Assam_Dhubri
2005-02-17,1.76,30.02,16.28,2.33,62.1,0.54,2.34,Assam_Dhubri
2005-02-18,3.63,28.68,17.31,1.29,63.71,0.54,2.0,Assam_Dhubri
2005-02-19,0.21,30.56,17.2,2.36,63.64,0.53,2.46,Assam_Dhubri
2005-02-20,0.02,30.04,17.43,2.1,65.76,0.53,2.03,Assam_Dhubri
2005-02-21,0.08,31.45,16.76,2.98,58.92,0.53,2.65,Assam_Dhubri
2005-02-22,0.55,29.99,15.98,2.59,59.37,0.52,2.39,Assam_Dhubri
2005-02-23,2.53,25.83,15.63,2.23,71.11,0.52,1.37,Assam_Dhubri
2005-02-24,0.0,27.1,14.47,0.85,59.12,0.52,2.09,Assam_Dhubri
2005-02-25,0.0,28.07,14.58,1.48,54.93,0.52,2.24,Assam_Dhubri
2005-02-26,0.0,28.73,12.81,1.92,54.08,0.51,2.26,Assam_Dhubri
2005-02-27,0.0,28.28,14.77,0.98,54.08,0.51,2.32,Assam_Dhubri
2005-02-28,0.0,28.26,13.98,1.2,59.81,0.5,2.26,Assam_Dhubri
2005-03-01,0.0,28.57,14.37,1.64,64.13,0.5,2.1,Assam_Dhubri
2005-03-02,0.0,30.46,16.01,1.64,59.59,0.5,2.24,Assam_Dhubri
2005-03-03,0.0,31.09,17.43,1.31,52.67,0.49,2.46,Assam_Dhubri
2005-03-04,0.06,31.82,17.29,1.54,58.47,0.49,2.45,Assam_Dhubri
2005-03-05,0.0,31.85,17.71,1.25,58.86,0.49,2.2,Assam_Dhubri
2005-03-06,0.1,33.03,18.01,2.87,53.19,0.48,2.85,Assam_Dhubri
2005-03-07,0.0,32.62,16.81,2.13,54.4,0.48,2.32,Assam_Dhubri
2005-03-08,0.39,31.56,18.0,1.6,57.71,0.48,1.63,Assam_Dhubri
2005-03-09,0.74,31.63,18.88,1.92,60.86,0.48,2.27,Assam_Dhubri
2005-03-10,0.0,32.81,19.02,2.95,56.1,0.47,2.53,Assam_Dhubri
2005-03-11,0.47,31.72,20.16,2.25,57.74,0.47,1.88,Assam_Dhubri
2005-03-12,0.36,31.14,18.92,0.96,54.54,0.47,2.33,Assam_Dhubri
2005-03-13,0.03,30.78,18.06,1.4,58.05,0.46,2.2,Assam_Dhubri
2005-03-14,0.0,31.33,17.68,1.33,56.55,0.46,2.23,Assam_Dhubri
2005-03-15,0.07,31.41,18.13,1.24,55.48,0.46,2.11,Assam_Dhubri
2005-03-16,0.0,31.6,18.25,1.37,59.38,0.45,2.07,Assam_Dhubri
2005-03-17,0.66,31.6,18.74,1.32,60.04,0.45,2.04,Assam_Dhubri
2005-03-18,5.85,30.53,20.73,1.59,66.23,0.46,1.47,Assam_Dhubri
2005-03-19,11.57,30.56,20.54,1.37,67.31,0.47,1.55,Assam_Dhubri
2005-03-20,7.97,32.69,21.09,1.8,60.92,0.48,2.09,Assam_Dhubri
2005-03-21,1.51,34.64,19.58,2.53,52.25,0.48,2.86,Assam_Dhubri
2005-03-22,3.54,34.84,19.06,1.96,57.34,0.47,2.62,Assam_Dhubri
2005-03-23,7.47,33.63,21.89,2.11,68.34,0.48,2.16,Assam_Dhubri
2005-03-24,19.07,24.01,18.19,1.84,80.7,0.5,0.8,Assam_Dhubri
2005-03-25,5.68,27.11,15.98,1.75,68.3,0.51,2.18,Assam_Dhubri
2005-03-26,0.97,30.02,17.07,1.19,58.8,0.5,3.08,Assam_Dhubri
2005-03-27,1.17,30.08,18.01,1.93,63.54,0.5,2.6,Assam_Dhubri
2005-03-28,1.97,32.01,18.05,1.54,63.49,0.49,2.7,Assam_Dhubri
2005-03-29,6.3,32.79,21.63,2.01,67.93,0.49,2.53,Assam_Dhubri
2005-03-30,1.97,32.92,21.5,2.21,69.12,0.49,2.71,Assam_Dhubri
2005-03-31,3.64,32.5,22.08,2.48,69.79,0.49,2.62,Assam_Dhubri
2005-04-01,0.18,33.9,21.02,1.66,63.39,0.49,3.11,Assam_Dhubri
2005-04-02,0.19,34.39,20.2,1.08,45.33,0.48,3.18,Assam_Dhubri
2005-04-03,2.16,33.27,19.81,1.72,53.85,0.48,2.69,Assam_Dhubri
2005-04-04,0.02,32.87,19.83,1.41,59.08,0.47,2.87,Assam_Dhubri
2005-04-05,0.01,32.69,19.66,1.25,58.06,0.47,2.85,Assam_Dhubri
2005-04-06,4.47,32.05,20.79,1.32,64.18,0.47,2.44,Assam_Dhubri
2005-04-07,13.57,33.41,22.76,1.63,65.44,0.48,2.56,Assam_Dhubri
2005-04-08,3.73,35.08,22.54,2.88,63.65,0.49,3.04,Assam_Dhubri
2005-04-09,12.46,33.37,22.37,2.03,68.7,0.49,2.5,Assam_Dhubri
2005-04-10,5.6,33.89,23.43,1.87,69.83,0.5,3.19,Assam_Dhubri
2005-04-11,2.96,35.29,22.1,2.25,65.2,0.5,3.43,Assam_Dhubri
2005-04-12,1.46,34.61,18.29,1.98,41.77,0.49,3.63,Assam_Dhubri
2005-04-13,0.0,33.33,18.42,1.25,38.99,0.48,3.58,Assam_Dhubri
2005-04-14,0.0,33.57,17.37,1.37,48.06,0.47,3.41,Assam_Dhubri
2005-04-15,0.0,34.46,18.82,1.37,53.4,0.47,3.13,Assam_Dhubri
2005-04-16,0.22,34.68,19.85,1.73,58.12,0.46,2.92,Assam_Dhubri
2005-04-17,3.13,35.18,21.68,1.75,65.36,0.46,2.53,Assam_Dhubri
2005-04-18,2.14,35.46,23.88,1.63,64.3,0.46,2.66,Assam_Dhubri
2005-04-19,1.7,34.3,22.66,1.96,70.49,0.46,2.01,Assam_Dhubri
2005-04-20,1.52,30.92,23.3,2.35,71.73,0.46,1.4,Assam_Dhubri
2005-04-21,0.08,34.69,21.63,2.19,57.36,0.46,3.1,Assam_Dhubri
2005-04-22,0.67,35.08,23.57,1.83,61.56,0.45,2.71,Assam_Dhubri
2005-04-23,18.65,32.54,23.75,1.81,69.33,0.47,1.7,Assam_Dhubri
2005-04-24,9.05,33.69,23.79,1.46,69.06,0.49,2.27,Assam_Dhubri
2005-04-25,0.57,34.26,23.81,1.56,68.3,0.49,2.7,Assam_Dhubri
2005-04-26,7.3,35.33,23.73,1.4,61.98,0.49,2.98,Assam_Dhubri
2005-04-27,5.18,32.94,23.26,1.38,68.13,0.49,2.54,Assam_Dhubri
2005-04-28,2.0,35.45,23.37,1.18,58.09,0.49,3.51,Assam_Dhubri
2005-04-29,1.71,34.85,23.1,1.53,59.69,0.48,3.7,Assam_Dhubri
2005-04-30,7.64,30.77,23.5,1.25,68.69,0.48,1.74,Assam_Dhubri
2005-05-01,4.87,30.76,21.87,0.92,66.5,0.49,2.61,Assam_Dhubri
2005-05-02,0.24,29.8,22.24,1.08,63.22,0.48,2.57,Assam_Dhubri
2005-05-03,1.14,34.1,24.37,1.25,56.46,0.48,3.95,Assam_Dhubri
2005-05-04,6.09,32.46,22.58,1.5,62.66,0.48,2.9,Assam_Dhubri
2005-05-05,4.19,33.01,23.14,1.84,61.02,0.48,3.04,Assam_Dhubri
2005-05-06,9.2,30.09,23.49,1.7,70.79,0.48,1.77,Assam_Dhubri
2005-05-07,28.85,29.02,22.18,1.04,80.15,0.52,2.13,Assam_Dhubri
2005-05-08,1.26,32.49,22.05,1.12,69.65,0.53,4.96,Assam_Dhubri
2005-05-09,1.84,33.65,23.21,1.38,67.36,0.52,4.66,Assam_Dhubri
2005-05-10,7.47,36.36,23.6,2.32,56.42,0.51,4.42,Assam_Dhubri
2005-05-11,0.67,36.3,21.28,2.02,44.72,0.51,5.46,Assam_Dhubri
