date,rainfall_mm,temp_max,temp_min,wind_speed,humidity,soil_moisture,evapotranspiration,station
2005-01-01,0.0,22.87,9.81,1.21,77.2,0.57,0.87,Brahmaputra_Gaibandha
2005-01-02,0.0,22.27,12.39,0.59,73.19,0.57,0.65,Brahmaputra_Gaibandha
2005-01-03,0.0,24.35,12.51,1.24,77.42,0.56,0.83,Brahmaputra_Gaibandha
2005-01-04,0.0,25.34,14.5,1.22,73.88,0.56,0.81,Brahmaputra_Gaibandha
2005-01-05,0.0,24.53,12.79,1.22,74.03,0.56,0.84,Brahmaputra_Gaibandha
2005-01-06,0.0,24.49,11.82,1.53,79.76,0.55,0.8,Brahmaputra_Gaibandha
2005-01-07,0.0,24.11,11.87,1.34,74.87,0.55,0.76,Brahmaputra_Gaibandha
2005-01-08,0.0,24.07,12.05,1.28,72.21,0.55,0.7,Brahmaputra_Gaibandha
2005-01-09,0.0,22.5,11.88,1.18,70.94,0.55,0.58,Brahmaputra_Gaibandha
2005-01-10,0.31,22.33,10.2,1.2,57.49,0.54,0.49,Brahmaputra_Gaibandha
2005-01-11,0.17,21.53,10.09,1.85,70.38,0.54,0.38,Brahmaputra_Gaibandha
2005-01-12,0.0,21.21,9.64,1.88,77.68,0.54,0.48,Brahmaputra_Gaibandha
2005-01-13,0.0,21.31,9.34,1.67,73.3,0.54,0.49,Brahmaputra_Gaibandha
2005-01-14,0.0,22.15,10.21,1.13,65.02,0.54,0.51,Brahmaputra_Gaibandha
2005-01-15,0.0,22.62,9.88,1.2,68.82,0.53,0.48,Brahmaputra_Gaibandha
2005-01-16,0.0,23.65,11.13,1.1,68.47,0.53,0.5,Brahmaputra_Gaibandha
2005-01-17,0.03,23.29,11.44,0.97,69.94,0.53,0.44,Brahmaputra_Gaibandha
2005-01-18,2.33,21.48,12.8,2.36,79.17,0.53,0.35,Brahmaputra_Gaibandha
2005-01-19,0.42,23.49,13.45,1.52,76.6,0.53,0.54,Brahmaputra_Gaibandha
2005-01-20,0.0,22.44,10.23,2.05,68.15,0.53,0.56,Brahmaputra_Gaibandha
2005-01-21,0.0,21.67,10.06,1.53,65.86,0.52,0.35,Brahmaputra_Gaibandha
2005-01-22,0.07,21.61,10.97,2.28,75.36,0.52,0.24,Brahmaputra_Gaibandha
2005-01-23,5.24,24.02,10.34,2.5,70.39,0.52,0.48,Brahmaputra_Gaibandha
2005-01-24,0.09,23.02,12.05,0.92,73.57,0.53,0.55,Brahmaputra_Gaibandha
2005-01-25,0.0,22.33,10.79,1.7,74.73,0.52,0.54,Brahmaputra_Gaibandha
2005-01-26,0.0,23.78,9.91,1.86,64.88,0.52,0.54,Brahmaputra_Gaibandha
2005-01-27,0.0,24.82,11.92,1.11,57.26,0.52,0.55,Brahmaputra_Gaibandha
2005-01-28,0.26,22.39,12.03,1.45,67.22,0.51,0.26,Brahmaputra_Gaibandha
2005-01-29,0.07,22.8,11.79,1.24,68.75,0.51,0.36,Brahmaputra_Gaibandha
2005-01-30,0.01,25.21,12.86,1.77,65.79,0.51,0.48,Brahmaputra_Gaibandha
2005-01-31,0.0,27.83,12.54,2.48,67.54,0.51,0.61,Brahmaputra_Gaibandha
2005-02-01,1.57,22.34,14.97,2.9,77.56,0.51,0.31,Brahmaputra_Gaibandha
2005-02-02,0.01,24.32,11.36,2.78,68.54,0.5,0.55,Brahmaputra_Gaibandha
2005-02-03,0.0,22.64,8.68,1.45,60.56,0.5,0.45,Brahmaputra_Gaibandha
2005-02-04,0.0,23.12,9.56,1.69,69.74,0.5,0.42,Brahmaputra_Gaibandha
2005-02-05,0.0,24.66,11.34,1.17,56.37,0.5,0.43,Brahmaputra_Gaibandha
2005-02-06,0.0,26.21,13.58,0.81,45.9,0.49,0.4,Brahmaputra_Gaibandha
2005-02-07,0.0,28.32,13.87,1.45,56.17,0.49,0.52,Brahmaputra_Gaibandha
2005-02-08,0.0,26.43,14.21,1.68,70.4,0.49,0.32,Brahmaputra_Gaibandha
2005-02-09,0.0,28.27,13.83,1.42,70.49,0.48,0.49,Brahmaputra_Gaibandha
2005-02-10,0.0,29.07,14.76,1.44,56.49,0.48,0.53,Brahmaputra_Gaibandha
2005-02-11,0.0,29.37,14.61,1.1,51.75,0.48,0.5,Brahmaputra_Gaibandha
2005-02-12,0.0,30.11,15.75,1.76,53.1,0.48,0.5,Brahmaputra_Gaibandha
2005-02-13,0.01,30.89,14.61,4.71,52.4,0.47,0.57,Brahmaputra_Gaibandha
2005-02-14,0.0,30.18,14.89,4.12,46.43,0.47,0.48,Brahmaputra_Gaibandha
2005-02-15,0.0,29.45,14.24,3.03,52.86,0.46,0.41,Brahmaputra_Gaibandha
2005-02-16,0.09,30.45,15.77,1.77,53.68,0.46,0.42,Brahmaputra_Gaibandha
2005-02-17,0.47,31.99,17.0,1.89,53.13,0.46,0.42,Brahmaputra_Gaibandha
2005-02-18,3.74,30.58,18.07,1.27,55.56,0.46,0.39,Brahmaputra_Gaibandha
2005-02-19,0.05,32.71,19.39,1.76,55.0,0.46,0.46,Brahmaputra_Gaibandha
2005-02-20,0.03,32.06,19.23,1.73,56.96,0.46,0.37,Brahmaputra_Gaibandha
2005-02-21,0.11,34.12,18.27,3.27,48.68,0.45,0.45,Brahmaputra_Gaibandha
2005-02-22,0.51,31.71,17.46,2.87,49.6,0.45,0.38,Brahmaputra_Gaibandha
2005-02-23,2.22,28.49,17.11,2.94,61.38,0.45,0.3,Brahmaputra_Gaibandha
2005-02-24,0.01,29.22,14.76,1.79,46.72,0.45,0.34,Brahmaputra_Gaibandha
