date,rainfall_mm,temp_max,temp_min,wind_speed,humidity,soil_moisture,evapotranspiration,station
2005-01-01,0.0,24.02,11.3,1.07,68.66,0.56,1.24,Buriganga_Dhaka
2005-01-02,0.0,23.82,13.34,1.06,72.03,0.56,0.89,Buriganga_Dhaka
2005-01-03,0.0,24.64,14.95,1.17,73.15,0.56,0.93,Buriganga_Dhaka
2005-01-04,0.0,23.21,15.61,1.47,78.82,0.56,0.47,Buriganga_Dhaka
2005-01-05,0.0,25.58,13.26,2.11,75.68,0.56,1.22,Buriganga_Dhaka
2005-01-06,0.0,25.15,11.67,1.65,74.65,0.55,1.21,Buriganga_Dhaka
2005-01-07,0.0,24.87,12.02,1.93,77.91,0.55,1.09,Buriganga_Dhaka
2005-01-08,0.0,25.17,11.8,1.93,74.57,0.55,1.12,Buriganga_Dhaka
2005-01-09,0.0,23.56,11.85,1.73,71.85,0.54,0.99,Buriganga_Dhaka
2005-01-10,0.01,23.87,11.79,1.03,60.18,0.54,0.95,Buriganga_Dhaka
2005-01-11,3.57,23.92,11.13,1.97,81.15,0.54,0.73,Buriganga_Dhaka
2005-01-12,1.66,23.73,13.28,2.27,74.37,0.54,1.17,Buriganga_Dhaka
2005-01-13,0.0,22.37,10.24,2.37,74.48,0.54,0.87,Buriganga_Dhaka
2005-01-14,0.0,23.1,10.16,1.73,72.83,0.54,0.89,Buriganga_Dhaka
2005-01-15,0.0,23.84,10.83,1.56,66.9,0.53,0.93,Buriganga_Dhaka
2005-01-16,0.0,24.61,13.0,1.38,63.32,0.53,0.91,Buriganga_Dhaka
2005-01-17,0.0,24.47,12.08,1.29,63.7,0.53,0.91,Buriganga_Dhaka
2005-01-18,0.27,25.05,12.95,1.05,65.69,0.53,0.85,Buriganga_Dhaka
2005-01-19,0.41,23.48,13.49,1.63,76.79,0.52,0.66,Buriganga_Dhaka
2005-01-20,0.0,23.88,12.36,1.91,69.92,0.52,0.92,Buriganga_Dhaka
2005-01-21,0.0,22.41,9.62,2.48,65.71,0.52,0.77,Buriganga_Dhaka
2005-01-22,0.0,22.64,9.83,1.92,69.38,0.52,0.64,Buriganga_Dhaka
2005-01-23,0.06,25.56,11.69,1.3,60.34,0.51,0.97,Buriganga_Dhaka
2005-01-24,0.05,24.83,13.51,1.36,72.51,0.51,0.84,Buriganga_Dhaka
2005-01-25,0.0,23.73,12.65,2.25,70.11,0.51,0.8,Buriganga_Dhaka
2005-01-26,0.0,25.0,11.28,1.95,68.12,0.5,0.89,Buriganga_Dhaka
2005-01-27,0.0,25.76,12.78,1.48,62.43,0.5,0.89,Buriganga_Dhaka
2005-01-28,0.01,23.76,13.41,1.74,64.3,0.5,0.51,Buriganga_Dhaka
2005-01-29,0.09,25.32,14.1,2.27,65.23,0.5,0.8,Buriganga_Dhaka
2005-01-30,0.0,26.72,12.99,2.31,64.48,0.49,0.88,Buriganga_Dhaka
2005-01-31,0.0,29.02,12.91,1.78,63.05,0.49,0.97,Buriganga_Dhaka
2005-02-01,0.1,27.15,14.57,2.79,70.24,0.49,0.8,Buriganga_Dhaka
2005-02-02,0.01,25.73,14.31,2.62,69.53,0.48,0.8,Buriganga_Dhaka
2005-02-03,0.0,24.04,10.61,2.43,59.2,0.48,0.68,Buriganga_Dhaka
2005-02-04,0.0,24.91,9.29,2.21,62.02,0.48,0.69,Buriganga_Dhaka
2005-02-05,0.0,26.11,10.79,1.63,58.23,0.48,0.69,Buriganga_Dhaka
2005-02-06,0.0,28.08,12.51,1.09,51.02,0.47,0.67,Buriganga_Dhaka
2005-02-07,0.0,29.66,16.3,0.85,50.51,0.47,0.82,Buriganga_Dhaka
2005-02-08,0.0,30.02,15.21,2.01,57.66,0.47,0.78,Buriganga_Dhaka
2005-02-09,0.0,29.79,15.19,1.87,63.73,0.46,0.78,Buriganga_Dhaka
2005-02-10,0.0,29.89,16.4,1.98,59.95,0.46,0.74,Buriganga_Dhaka
2005-02-11,0.0,29.93,15.85,1.45,51.39,0.46,0.74,Buriganga_Dhaka
2005-02-12,0.0,31.88,16.99,1.51,49.54,0.46,0.76,Buriganga_Dhaka
2005-02-13,0.0,33.0,16.63,2.82,55.69,0.45,0.8,Buriganga_Dhaka
2005-02-14,0.0,32.11,16.36,3.06,50.61,0.45,0.81,Buriganga_Dhaka
2005-02-15,0.0,31.25,16.18,2.46,59.42,0.45,0.69,Buriganga_Dhaka
2005-02-16,0.11,32.62,19.04,3.19,69.51,0.44,0.66,Buriganga_Dhaka
2005-02-17,1.87,32.48,20.28,2.38,73.69,0.44,0.66,Buriganga_Dhaka
2005-02-18,1.57,32.85,21.31,2.42,71.9,0.44,0.66,Buriganga_Dhaka
2005-02-19,0.36,33.75,20.72,1.67,67.0,0.44,0.68,Buriganga_Dhaka
2005-02-20,0.13,33.75,20.41,1.47,63.95,0.44,0.63,Buriganga_Dhaka
2005-02-21,0.01,34.53,21.09,1.52,54.76,0.43,0.62,Buriganga_Dhaka
2005-02-22,0.21,33.02,19.49,1.57,49.86,0.43,0.62,Buriganga_Dhaka
2005-02-23,0.02,31.32,17.17,1.65,54.37,0.43,0.54,Buriganga_Dhaka
2005-02-24,0.0,30.62,17.98,1.85,55.54,0.43,0.5,Buriganga_Dhaka
2005-02-25,0.0,30.41,15.57,1.81,41.27,0.42,0.45,Buriganga_Dhaka
2005-02-26,0.0,32.55,17.66,1.7,39.38,0.42,0.51,Buriganga_Dhaka
2005-02-27,0.0,32.06,18.59,1.39,37.5,0.42,0.49,Buriganga_Dhaka
2005-02-28,0.0,32.03,18.19,1.48,39.14,0.41,0.45,Buriganga_Dhaka
2005-03-01,0.0,33.34,17.8,1.49,40.0,0.41,0.44,Buriganga_Dhaka
2005-03-02,0.0,35.04,19.1,1.65,43.79,0.41,0.43,Buriganga_Dhaka
2005-03-03,0.0,35.71,19.3,1.82,52.35,0.41,0.41,Buriganga_Dhaka
2005-03-04,0.0,36.46,19.38,2.04,54.18,0.4,0.41,Buriganga_Dhaka
2005-03-05,0.01,36.73,21.97,2.84,63.12,0.4,0.38,Buriganga_Dhaka
2005-03-06,0.01,37.03,23.86,3.13,59.99,0.4,0.4,Buriganga_Dhaka
2005-03-07,0.16,36.1,22.49,2.59,63.25,0.4,0.36,Buriganga_Dhaka
2005-03-08,1.13,34.83,22.72,1.64,61.39,0.4,0.28,Buriganga_Dhaka
2005-03-09,0.01,34.75,21.69,1.33,55.26,0.39,0.29,Buriganga_Dhaka
2005-03-10,0.03,35.4,22.82,2.03,47.85,0.39,0.26,Buriganga_Dhaka
2005-03-11,3.0,31.22,23.87,1.03,53.77,0.39,0.14,Buriganga_Dhaka
2005-03-12,1.51,31.7,20.81,1.85,58.87,0.4,0.19,Buriganga_Dhaka
2005-03-13,0.0,33.84,19.25,1.84,52.23,0.39,0.3,Buriganga_Dhaka
2005-03-14,0.0,33.88,20.11,1.48,47.2,0.39,0.26,Buriganga_Dhaka
2005-03-15,0.01,34.16,20.49,1.56,45.79,0.39,0.27,Buriganga_Dhaka
2005-03-16,0.0,33.77,20.41,2.27,57.88,0.39,0.24,Buriganga_Dhaka
2005-03-17,0.0,34.63,21.33,1.61,54.86,0.38,0.24,Buriganga_Dhaka
2005-03-18,0.89,34.51,22.21,1.26,57.46,0.38,0.2,Buriganga_Dhaka
2005-03-19,0.34,35.32,22.84,1.45,54.08,0.38,0.21,Buriganga_Dhaka
2005-03-20,0.97,36.91,23.12,2.82,53.23,0.38,0.21,Buriganga_Dhaka
2005-03-21,1.32,38.23,23.13,3.47,60.17,0.38,0.21,Buriganga_Dhaka
2005-03-22,2.71,37.23,23.98,4.13,64.25,0.38,0.19,Buriganga_Dhaka
2005-03-23,17.1,32.49,24.53,4.22,75.95,0.39,0.18,Buriganga_Dhaka
2005-03-24,30.56,28.87,21.79,4.45,83.05,0.44,0.26,Buriganga_Dhaka
2005-03-25,4.08,31.62,20.49,2.28,61.8,0.46,1.1,Buriganga_Dhaka
2005-03-26,1.34,32.61,19.67,1.93,58.41,0.45,0.93,Buriganga_Dhaka
2005-03-27,2.21,34.97,21.07,1.74,58.4,0.44,0.99,Buriganga_Dhaka
2005-03-28,13.01,33.56,22.97,3.39,70.34,0.46,1.02,Buriganga_Dhaka
2005-03-29,0.36,34.9,22.94,3.39,67.35,0.45,1.18,Buriganga_Dhaka
2005-03-30,44.96,33.37,23.2,2.53,75.24,0.49,1.0,Buriganga_Dhaka
2005-03-31,7.06,31.85,22.38,1.45,73.95,0.53,2.16,Buriganga_Dhaka
2005-04-01,0.13,33.9,22.49,0.94,65.53,0.52,2.85,Buriganga_Dhaka
2005-04-02,0.05,35.5,21.48,1.26,54.49,0.51,2.61,Buriganga_Dhaka
2005-04-03,0.19,36.26,21.08,1.07,45.81,0.5,2.41,Buriganga_Dhaka
2005-04-04,3.33,34.73,20.5,0.99,51.57,0.5,2.15,Buriganga_Dhaka
2005-04-05,0.01,34.67,21.76,1.64,61.52,0.49,2.07,Buriganga_Dhaka
2005-04-06,0.19,34.55,22.75,1.98,65.67,0.48,1.89,Buriganga_Dhaka
2005-04-07,0.06,35.99,23.09,3.45,65.2,0.48,1.85,Buriganga_Dhaka
2005-04-08,0.0,35.94,23.79,3.52,66.87,0.47,1.67,Buriganga_Dhaka
2005-04-09,0.84,35.74,23.84,3.51,70.99,0.47,1.49,Buriganga_Dhaka
2005-04-10,11.33,34.3,25.07,2.71,77.19,0.48,1.28,Buriganga_Dhaka
2005-04-11,5.94,31.36,25.44,2.45,81.03,0.49,0.82,Buriganga_Dhaka
2005-04-12,1.53,36.05,24.18,1.7,55.98,0.49,1.96,Buriganga_Dhaka
2005-04-13,0.0,35.7,20.9,1.33,47.31,0.48,1.84,Buriganga_Dhaka
2005-04-14,0.0,36.36,19.7,1.36,50.5,0.47,1.82,Buriganga_Dhaka
2005-04-15,0.0,37.46,22.08,1.81,60.36,0.47,1.7,Buriganga_Dhaka
2005-04-16,0.0,36.57,24.38,3.0,65.6,0.46,1.22,Buriganga_Dhaka
2005-04-17,0.34,33.74,25.81,2.88,74.83,0.46,0.72,Buriganga_Dhaka
2005-04-18,0.9,33.99,25.17,2.93,73.27,0.46,0.81,Buriganga_Dhaka
2005-04-19,0.0,32.03,25.02,1.55,72.69,0.46,0.47,Buriganga_Dhaka
2005-04-20,0.0,35.36,24.73,1.16,60.5,0.45,0.76,Buriganga_Dhaka
2005-04-21,0.0,37.94,23.71,1.43,53.96,0.45,1.41,Buriganga_Dhaka
2005-04-22,0.0,37.14,24.48,2.19,61.18,0.45,1.12,Buriganga_Dhaka
2005-04-23,1.24,37.35,24.58,2.47,64.56,0.44,0.97,Buriganga_Dhaka
2005-04-24,0.68,38.11,25.2,2.73,61.93,0.44,0.94,Buriganga_Dhaka
2005-04-25,4.26,34.87,25.93,1.97,65.97,0.44,0.64,Buriganga_Dhaka
2005-04-26,11.77,34.72,26.31,1.83,67.96,0.45,0.85,Buriganga_Dhaka
2005-04-27,13.34,35.82,25.44,3.19,69.53,0.47,1.36,Buriganga_Dhaka
2005-04-28,7.42,37.53,25.91,3.26,66.0,0.47,1.64,Buriganga_Dhaka
2005-04-29,17.77,30.87,25.25,3.05,80.85,0.49,0.7,Buriganga_Dhaka
2005-04-30,6.52,31.26,24.18,1.96,75.47,0.5,0.97,Buriganga_Dhaka
2005-05-01,1.44,32.65,23.1,0.71,64.49,0.5,1.81,Buriganga_Dhaka
2005-05-02,0.09,30.2,23.93,1.02,66.34,0.49,0.92,Buriganga_Dhaka
2005-05-03,2.02,32.9,22.9,1.31,62.24,0.49,1.84,Buriganga_Dhaka
2005-05-04,1.27,34.59,24.19,1.15,63.19,0.49,2.1,Buriganga_Dhaka
2005-05-05,4.26,31.56,24.26,2.63,78.4,0.48,0.84,Buriganga_Dhaka
2005-05-06,2.51,32.43,22.93,2.08,71.04,0.49,1.44,Buriganga_Dhaka
2005-05-07,3.77,34.03,23.58,1.5,67.72,0.49,1.84,Buriganga_Dhaka
2005-05-08,2.87,34.66,24.29,1.82,68.4,0.49,1.85,Buriganga_Dhaka
2005-05-09,4.98,35.83,25.49,1.57,68.12,0.49,1.95,Buriganga_Dhaka
2005-05-10,2.24,39.13,26.26,2.79,63.81,0.48,2.06,Buriganga_Dhaka
2005-05-11,0.42,37.2,26.78,2.4,64.56,0.48,1.84,Buriganga_Dhaka
2005-05-12,0.31,37.95,26.27,2.8,61.95,0.47,1.87,Buriganga_Dhaka
2005-05-13,7.12,35.0,26.44,3.05,67.86,0.47,1.51,Buriganga_Dhaka
2005-05-14,16.01,36.26,26.39,3.26,68.52,0.49,1.75,Buriganga_Dhaka
2005-05-15,10.56,36.07,26.42,3.73,72.38,0.5,1.96,Buriganga_Dhaka
2005-05-16,3.09,37.97,26.49,3.17,68.84,0.5,2.27,Buriganga_Dhaka
2005-05-17,14.39,35.38,26.67,3.11,75.95,0.5,1.94,Buriganga_Dhaka
2005-05-18,8.21,36.09,26.83,2.71,74.19,0.51,2.18,Buriganga_Dhaka
2005-05-19,10.88,31.57,27.2,2.56,80.81,0.52,1.04,Buriganga_Dhaka
2005-05-20,25.72,32.55,26.29,2.21,79.24,0.55,2.35,Buriganga_Dhaka
2005-05-21,22.3,32.5,25.53,2.48,81.1,0.57,2.26,Buriganga_Dhaka
2005-05-22,27.64,32.76,25.53,3.61,81.76,0.6,2.93,Buriganga_Dhaka
2005-05-23,1.37,33.41,25.4,2.8,80.98,0.6,3.73,Buriganga_Dhaka
2005-05-24,6.72,32.94,26.74,2.72,83.25,0.6,2.42,Buriganga_Dhaka
2005-05-25,4.72,32.15,26.89,3.08,84.55,0.6,1.87,Buriganga_Dhaka
2005-05-26,0.27,32.84,26.97,2.81,83.53,0.6,1.95,Buriganga_Dhaka
2005-05-27,1.51,32.46,26.71,2.71,84.11,0.59,2.09,Buriganga_Dhaka
2005-05-28,1.19,33.37,26.86,2.55,80.04,0.59,2.32,Buriganga_Dhaka
2005-05-29,0.11,33.62,26.23,1.98,78.21,0.58,2.77,Buriganga_Dhaka
2005-05-30,0.04,35.78,26.44,1.66,71.8,0.58,4.49,Buriganga_Dhaka
2005-05-31,0.03,36.63,27.25,2.49,70.06,0.57,4.29,Buriganga_Dhaka
2005-06-01,0.03,36.64,27.23,3.28,73.19,0.56,3.36,Buriganga_Dhaka
2005-06-02,0.11,35.7,27.8,3.45,75.5,0.55,2.72,Buriganga_Dhaka
2005-06-03,2.15,37.3,27.62,3.33,71.79,0.54,3.42,Buriganga_Dhaka
2005-06-04,4.33,34.74,26.96,2.71,77.7,0.54,2.57,Buriganga_Dhaka
2005-06-05,2.1,31.98,26.56,2.33,82.89,0.54,1.28,Buriganga_Dhaka
2005-06-06,1.18,31.25,25.96,1.61,78.82,0.54,1.55,Buriganga_Dhaka
2005-06-07,0.01,34.79,25.23,1.08,70.4,0.54,2.87,Buriganga_Dhaka
2005-06-08,0.03,34.59,27.51,0.64,71.52,0.53,1.84,Buriganga_Dhaka
2005-06-09,9.15,34.72,27.63,1.09,72.94,0.53,1.82,Buriganga_Dhaka
2005-06-10,6.67,34.65,27.42,1.02,73.75,0.55,2.17,Buriganga_Dhaka
2005-06-11,0.0,34.04,27.64,2.62,75.2,0.54,2.06,Buriganga_Dhaka
2005-06-12,0.02,36.4,27.31,1.87,71.26,0.53,2.89,Buriganga_Dhaka
2005-06-13,0.23,33.64,28.19,2.15,78.1,0.53,1.3,Buriganga_Dhaka
2005-06-14,11.44,34.46,27.75,1.92,77.15,0.53,1.58,Buriganga_Dhaka
2005-06-15,8.39,33.64,27.19,2.65,80.07,0.55,1.9,Buriganga_Dhaka
2005-06-16,5.43,34.73,28.16,2.24,78.27,0.55,1.84,Buriganga_Dhaka
2005-06-17,0.31,35.4,27.86,2.73,76.6,0.54,2.67,Buriganga_Dhaka
2005-06-18,0.58,33.55,28.24,3.16,82.11,0.54,1.24,Buriganga_Dhaka
2005-06-19,0.27,34.67,27.65,4.09,77.08,0.54,2.32,Buriganga_Dhaka
2005-06-20,0.2,34.9,27.05,3.41,75.96,0.53,2.38,Buriganga_Dhaka
2005-06-21,1.0,33.04,27.74,2.68,77.4,0.52,1.25,Buriganga_Dhaka
2005-06-22,1.83,32.25,27.57,3.21,82.39,0.52,1.06,Buriganga_Dhaka
2005-06-23,5.02,32.46,27.49,2.74,81.94,0.52,1.03,Buriganga_Dhaka
2005-06-24,8.84,31.94,27.36,2.95,88.11,0.54,0.8,Buriganga_Dhaka
