date,rainfall_mm,temp_max,temp_min,wind_speed,humidity,soil_moisture,evapotranspiration,station
2023-11-06,0.01,28.18,25.53,4.07,79.05,0.89,5.81,Cox_s Bazar coast
2023-11-07,0.0,27.3,24.9,3.49,73.85,0.88,6.66,Cox_s Bazar coast
2023-11-08,0.0,26.72,24.63,3.51,70.13,0.87,6.61,Cox_s Bazar coast
2023-11-09,0.0,26.9,24.07,3.89,72.12,0.87,6.71,Cox_s Bazar coast
2023-11-10,0.0,27.31,24.19,3.7,74.51,0.86,6.86,Cox_s Bazar coast
2023-11-11,0.0,27.53,24.22,3.37,73.92,0.85,6.94,Cox_s Bazar coast
2023-11-12,0.0,27.33,24.47,3.11,73.8,0.85,7.12,Cox_s Bazar coast
2023-11-13,0.01,27.22,24.5,2.87,74.26,0.84,6.87,Cox_s Bazar coast
2023-11-14,0.02,27.83,24.76,2.34,74.47,0.83,7.55,Cox_s Bazar coast
2023-11-15,11.64,28.21,25.3,1.73,75.02,0.83,5.57,Cox_s Bazar coast
2023-11-16,109.78,26.3,25.59,2.74,85.37,0.9,0.38,Cox_s Bazar coast
2023-11-17,102.95,27.23,25.14,5.61,87.35,0.96,0.7,Cox_s Bazar coast
2023-11-18,8.39,26.87,25.67,2.93,88.2,0.96,2.1,Cox_s Bazar coast
2023-11-19,4.38,27.36,24.85,1.5,79.53,0.95,4.26,Cox_s Bazar coast
2023-11-20,0.41,27.86,25.16,1.71,79.15,0.95,6.54,Cox_s Bazar coast
2023-11-21,1.58,26.62,25.77,2.01,81.6,0.94,2.57,Cox_s Bazar coast
2023-11-22,0.01,26.61,24.82,3.34,74.23,0.93,5.9,Cox_s Bazar coast
2023-11-23,0.01,26.3,23.47,3.09,73.08,0.93,5.6,Cox_s Bazar coast
2023-11-24,0.0,26.0,22.92,2.58,73.3,0.92,5.88,Cox_s Bazar coast
2023-11-25,0.0,26.32,22.75,3.07,72.28,0.91,5.72,Cox_s Bazar coast
2023-11-26,0.03,26.89,23.5,2.61,70.53,0.91,6.28,Cox_s Bazar coast
2023-11-27,0.0,27.32,23.88,2.18,73.74,0.9,4.57,Cox_s Bazar coast
2023-11-28,0.0,27.49,23.86,2.1,69.87,0.9,6.58,Cox_s Bazar coast
2023-11-29,0.0,26.63,24.23,2.61,69.37,0.89,4.05,Cox_s Bazar coast
2023-11-30,0.0,26.8,23.33,2.85,74.78,0.88,5.29,Cox_s Bazar coast
2023-12-01,0.0,27.17,23.92,2.71,71.42,0.88,6.63,Cox_s Bazar coast
2023-12-02,0.04,26.89,23.69,2.66,73.89,0.87,4.32,Cox_s Bazar coast
2023-12-03,0.27,27.72,23.73,2.63,72.39,0.87,3.98,Cox_s Bazar coast
2023-12-04,0.07,26.8,24.31,3.1,81.76,0.86,3.66,Cox_s Bazar coast
2023-12-05,0.15,27.03,24.14,4.23,82.21,0.86,5.14,Cox_s Bazar coast
2023-12-06,28.07,26.93,24.37,3.37,82.62,0.86,3.62,Cox_s Bazar coast
2023-12-07,4.45,25.92,24.11,2.02,84.74,0.88,1.56,Cox_s Bazar coast
2023-12-08,17.13,26.63,23.59,3.86,87.61,0.89,2.39,Cox_s Bazar coast
2023-12-09,1.64,24.56,22.98,3.58,85.19,0.88,3.39,Cox_s Bazar coast
2023-12-10,0.05,24.19,21.88,3.98,76.44,0.88,4.67,Cox_s Bazar coast
2023-12-11,0.01,23.42,20.96,3.91,73.91,0.87,4.37,Cox_s Bazar coast
2023-12-12,0.03,24.03,21.27,2.98,75.81,0.86,4.95,Cox_s Bazar coast
2023-12-13,0.0,23.55,20.97,3.14,72.54,0.86,4.48,Cox_s Bazar coast
2023-12-14,0.0,22.81,20.24,3.71,69.78,0.85,4.56,Cox_s Bazar coast
2023-12-15,0.0,22.96,19.51,3.85,70.99,0.85,4.66,Cox_s Bazar coast
2023-12-16,0.0,22.83,19.25,3.81,73.25,0.84,4.61,Cox_s Bazar coast
2023-12-17,0.0,23.52,19.28,3.47,70.78,0.84,4.92,Cox_s Bazar coast
2023-12-18,0.0,23.23,19.32,3.15,71.02,0.83,5.21,Cox_s Bazar coast
2023-12-19,0.0,23.28,19.88,3.65,76.63,0.83,4.75,Cox_s Bazar coast
2023-12-20,0.0,23.15,19.93,3.1,72.78,0.82,5.1,Cox_s Bazar coast
2023-12-21,0.0,23.44,20.43,1.88,72.97,0.82,5.44,Cox_s Bazar coast
2023-12-22,0.0,23.93,20.71,1.36,73.12,0.82,5.56,Cox_s Bazar coast
2023-12-23,0.0,24.84,21.31,1.24,76.11,0.81,5.73,Cox_s Bazar coast
2023-12-24,0.0,25.48,22.14,1.52,79.29,0.81,5.43,Cox_s Bazar coast
2023-12-25,0.0,24.44,21.84,1.47,76.74,0.8,5.51,Cox_s Bazar coast
2023-12-26,0.0,24.3,21.53,1.25,75.04,0.8,5.35,Cox_s Bazar coast
2023-12-27,0.0,24.48,21.08,1.1,73.14,0.8,5.7,Cox_s Bazar coast
2023-12-28,0.0,23.97,20.94,1.5,73.58,0.79,4.82,Cox_s Bazar coast
2023-12-29,0.0,24.34,21.06,2.56,73.89,0.79,4.93,Cox_s Bazar coast
2023-12-30,0.0,24.45,21.13,2.66,72.33,0.79,5.62,Cox_s Bazar coast
2023-12-31,0.0,24.22,21.0,2.67,74.16,0.78,5.52,Cox_s Bazar coast
