date,rainfall_mm,temp_max,temp_min,wind_speed,humidity,soil_moisture,evapotranspiration,station
2005-01-01,0.0,22.96,9.91,1.19,78.2,0.63,3.2,Feni_Feni
2005-01-02,0.0,22.73,11.57,1.36,81.97,0.63,2.51,Feni_Feni
2005-01-03,0.0,23.21,13.78,1.21,79.95,0.63,2.22,Feni_Feni
2005-01-04,0.0,21.63,15.25,1.33,86.56,0.63,0.86,Feni_Feni
2005-01-05,0.0,24.66,12.6,2.26,83.78,0.63,3.41,Feni_Feni
2005-01-06,0.0,23.94,11.09,1.7,80.62,0.62,3.36,Feni_Feni
2005-01-07,0.0,23.79,10.82,1.59,81.85,0.62,3.2,Feni_Feni
2005-01-08,0.0,23.68,10.72,1.74,79.27,0.61,3.25,Feni_Feni
2005-01-09,0.0,22.62,10.68,1.58,75.37,0.61,3.1,Feni_Feni
2005-01-10,0.0,22.74,10.69,0.84,65.74,0.61,3.1,Feni_Feni
2005-01-11,2.41,22.97,10.76,1.61,83.52,0.61,2.23,Feni_Feni
2005-01-12,4.49,23.12,12.69,1.85,80.86,0.61,2.98,Feni_Feni
2005-01-13,0.0,21.65,9.65,1.89,80.1,0.61,2.74,Feni_Feni
2005-01-14,0.0,22.09,9.12,1.58,81.08,0.61,2.79,Feni_Feni
2005-01-15,0.0,22.81,10.04,1.6,77.64,0.6,3.03,Feni_Feni
2005-01-16,0.0,23.39,12.27,1.47,73.36,0.6,2.91,Feni_Feni
2005-01-17,0.0,23.4,10.68,1.39,71.55,0.6,3.26,Feni_Feni
2005-01-18,0.03,24.09,11.35,1.14,72.94,0.59,3.15,Feni_Feni
2005-01-19,0.1,23.64,12.94,1.45,79.82,0.59,2.81,Feni_Feni
2005-01-20,0.0,22.98,11.42,1.79,77.93,0.59,3.35,Feni_Feni
2005-01-21,0.0,21.62,9.15,2.38,75.21,0.58,3.07,Feni_Feni
2005-01-22,0.0,22.86,9.02,1.87,73.4,0.58,3.32,Feni_Feni
2005-01-23,0.0,24.09,9.81,1.12,63.94,0.58,3.9,Feni_Feni
2005-01-24,0.01,24.22,12.39,0.95,69.35,0.57,3.77,Feni_Feni
2005-01-25,0.0,22.91,12.04,1.87,78.86,0.57,3.24,Feni_Feni
2005-01-26,0.0,23.36,10.33,1.92,77.02,0.57,3.63,Feni_Feni
2005-01-27,0.0,24.27,11.21,1.71,73.73,0.56,3.84,Feni_Feni
2005-01-28,0.0,23.54,12.19,1.81,72.78,0.56,3.01,Feni_Feni
2005-01-29,0.01,23.91,13.53,2.25,73.23,0.55,3.42,Feni_Feni
2005-01-30,0.0,25.38,12.04,2.19,72.75,0.55,4.16,Feni_Feni
2005-01-31,0.0,27.21,12.4,1.64,70.76,0.55,4.57,Feni_Feni
2005-02-01,0.03,26.57,13.21,2.24,76.07,0.54,4.34,Feni_Feni
2005-02-02,0.0,24.64,13.39,2.86,78.12,0.54,3.87,Feni_Feni
2005-02-03,0.0,22.86,10.1,2.47,68.51,0.53,3.6,Feni_Feni
2005-02-04,0.0,23.84,8.37,2.17,67.93,0.53,3.56,Feni_Feni
2005-02-05,0.0,24.44,8.83,1.57,62.44,0.53,3.38,Feni_Feni
2005-02-06,0.0,26.42,10.65,1.17,57.42,0.52,3.28,Feni_Feni
2005-02-07,0.0,27.91,16.05,0.71,55.27,0.52,3.65,Feni_Feni
2005-02-08,0.0,28.74,13.77,1.69,65.95,0.52,3.85,Feni_Feni
2005-02-09,0.0,28.47,14.51,1.86,67.38,0.51,3.74,Feni_Feni
2005-02-10,0.0,28.6,15.0,1.98,66.51,0.51,3.68,Feni_Feni
2005-02-11,0.0,28.3,14.39,1.45,59.52,0.51,3.48,Feni_Feni
2005-02-12,0.0,29.91,15.42,1.28,62.12,0.5,3.48,Feni_Feni
2005-02-13,0.0,30.86,17.36,2.01,77.68,0.5,3.43,Feni_Feni
2005-02-14,0.0,30.36,18.06,2.12,68.94,0.49,3.7,Feni_Feni
2005-02-15,0.0,29.83,17.28,2.32,76.32,0.49,3.26,Feni_Feni
2005-02-16,0.06,29.37,19.38,3.27,80.96,0.49,2.81,Feni_Feni
2005-02-17,1.19,29.7,20.63,2.42,83.98,0.48,2.53,Feni_Feni
2005-02-18,0.76,30.03,20.41,2.18,81.85,0.48,2.62,Feni_Feni
2005-02-19,0.07,31.75,19.66,1.32,76.89,0.48,3.02,Feni_Feni
2005-02-20,0.08,31.73,19.76,1.23,73.62,0.48,2.73,Feni_Feni
2005-02-21,0.0,33.82,20.23,1.21,63.76,0.47,2.9,Feni_Feni
2005-02-22,0.04,31.68,19.28,1.32,59.72,0.47,2.58,Feni_Feni
2005-02-23,0.0,30.69,15.98,1.26,55.1,0.47,2.58,Feni_Feni
2005-02-24,0.0,30.05,17.04,1.7,59.43,0.46,2.39,Feni_Feni
2005-02-25,0.0,29.63,15.36,1.69,46.58,0.46,2.36,Feni_Feni
2005-02-26,0.0,31.68,19.47,1.09,39.25,0.46,2.5,Feni_Feni
2005-02-27,0.0,31.34,17.88,1.28,41.89,0.45,2.36,Feni_Feni
2005-02-28,0.0,31.26,17.25,1.36,44.14,0.45,2.26,Feni_Feni
2005-03-01,0.0,32.51,16.81,1.2,45.61,0.45,2.18,Feni_Feni
2005-03-02,0.0,33.97,18.85,1.75,65.78,0.45,2.15,Feni_Feni
2005-03-03,0.0,34.13,19.99,2.01,72.21,0.44,2.03,Feni_Feni
2005-03-04,0.0,34.54,20.8,2.43,73.32,0.44,1.93,Feni_Feni
2005-03-05,0.01,33.41,21.99,3.04,74.03,0.44,1.69,Feni_Feni
2005-03-06,0.03,33.44,24.15,3.64,72.4,0.43,1.61,Feni_Feni
2005-03-07,0.06,32.79,22.41,2.83,74.52,0.43,1.45,Feni_Feni
2005-03-08,0.49,32.05,22.12,1.66,74.75,0.43,1.11,Feni_Feni
2005-03-09,0.1,33.65,21.5,1.27,68.05,0.43,1.44,Feni_Feni
2005-03-10,0.0,34.42,22.05,1.84,65.37,0.43,1.42,Feni_Feni
2005-03-11,1.53,30.63,23.27,0.85,61.77,0.43,0.61,Feni_Feni
2005-03-12,1.3,29.7,21.35,1.44,61.5,0.43,0.6,Feni_Feni
2005-03-13,0.0,33.65,19.44,1.97,52.88,0.43,1.54,Feni_Feni
2005-03-14,0.0,33.43,19.73,1.48,51.98,0.42,1.39,Feni_Feni
2005-03-15,0.04,32.85,20.19,1.42,56.81,0.42,1.42,Feni_Feni
2005-03-16,0.0,32.48,20.88,1.7,66.01,0.42,1.25,Feni_Feni
2005-03-17,0.0,34.31,20.83,1.21,62.26,0.42,1.37,Feni_Feni
2005-03-18,0.2,34.39,21.76,1.26,63.5,0.41,1.18,Feni_Feni
2005-03-19,0.03,34.99,22.15,1.45,64.46,0.41,1.19,Feni_Feni
2005-03-20,0.12,34.97,22.58,2.86,66.86,0.41,1.07,Feni_Feni
2005-03-21,0.65,34.22,23.39,4.1,72.24,0.41,0.91,Feni_Feni
2005-03-22,0.99,34.66,24.01,3.72,71.4,0.41,0.92,Feni_Feni
2005-03-23,10.47,31.62,24.37,3.67,78.72,0.42,0.68,Feni_Feni
2005-03-24,23.47,29.28,22.93,2.8,83.59,0.45,0.7,Feni_Feni
2005-03-25,5.38,30.95,23.06,2.35,69.83,0.46,2.4,Feni_Feni
2005-03-26,0.5,31.04,20.37,2.05,67.69,0.45,2.35,Feni_Feni
2005-03-27,6.7,33.72,21.27,2.21,69.47,0.45,2.29,Feni_Feni
2005-03-28,21.43,31.55,22.86,2.56,78.36,0.48,2.91,Feni_Feni
2005-03-29,0.06,32.05,22.56,2.79,75.4,0.47,3.44,Feni_Feni
2005-03-30,17.71,32.57,22.5,2.03,77.45,0.48,2.63,Feni_Feni
2005-03-31,2.95,32.36,22.2,1.25,73.72,0.49,3.94,Feni_Feni
2005-04-01,0.1,33.53,22.89,0.98,68.9,0.48,3.97,Feni_Feni
2005-04-02,0.01,35.1,22.0,1.84,54.71,0.47,3.63,Feni_Feni
2005-04-03,0.0,36.05,19.73,1.75,45.54,0.46,3.64,Feni_Feni
2005-04-04,1.62,34.92,19.93,0.83,47.26,0.46,2.82,Feni_Feni
2005-04-05,0.01,34.34,22.29,1.55,65.64,0.45,2.82,Feni_Feni
2005-04-06,0.01,34.49,21.66,1.59,68.81,0.45,2.68,Feni_Feni
2005-04-07,0.02,34.4,22.5,2.58,71.0,0.44,2.35,Feni_Feni
2005-04-08,0.0,34.34,22.62,2.83,72.38,0.44,2.08,Feni_Feni
2005-04-09,0.85,34.37,23.19,2.93,75.57,0.43,1.82,Feni_Feni
2005-04-10,22.47,33.46,24.93,2.71,83.1,0.45,1.41,Feni_Feni
2005-04-11,15.22,28.9,24.5,1.44,87.78,0.49,0.95,Feni_Feni
2005-04-12,1.02,34.45,23.84,1.14,72.17,0.49,4.67,Feni_Feni
2005-04-13,0.0,34.5,22.83,1.25,61.49,0.48,4.46,Feni_Feni
2005-04-14,0.0,35.19,21.19,1.26,64.2,0.47,3.92,Feni_Feni
2005-04-15,0.0,35.93,22.19,1.59,68.74,0.46,3.51,Feni_Feni
2005-04-16,0.0,34.54,24.15,2.42,73.31,0.45,2.36,Feni_Feni
2005-04-17,0.27,31.18,25.29,2.25,82.26,0.45,1.01,Feni_Feni
2005-04-18,0.78,31.41,24.69,1.92,82.65,0.45,1.04,Feni_Feni
2005-04-19,0.04,31.37,24.35,1.08,77.64,0.45,0.88,Feni_Feni
2005-04-20,0.0,36.44,24.3,0.91,60.74,0.45,1.94,Feni_Feni
2005-04-21,0.0,37.39,23.71,1.19,57.76,0.45,3.0,Feni_Feni
2005-04-22,0.0,36.02,23.94,1.61,68.78,0.44,2.25,Feni_Feni
2005-04-23,0.59,35.18,23.83,1.73,72.53,0.44,1.78,Feni_Feni
2005-04-24,0.41,36.62,24.34,2.2,70.51,0.43,1.91,Feni_Feni
2005-04-25,1.48,34.01,25.26,1.71,72.87,0.43,1.21,Feni_Feni
2005-04-26,3.06,34.93,26.07,1.73,72.48,0.44,1.59,Feni_Feni
2005-04-27,8.74,34.5,25.38,2.75,75.89,0.44,1.77,Feni_Feni
2005-04-28,14.5,35.25,25.76,2.95,75.88,0.46,2.45,Feni_Feni
2005-04-29,30.25,29.52,24.8,2.19,86.41,0.49,1.08,Feni_Feni
2005-04-30,13.52,28.5,23.17,1.25,83.04,0.53,1.79,Feni_Feni
2005-05-01,0.44,31.47,22.06,0.82,69.79,0.52,4.98,Feni_Feni
2005-05-02,0.03,29.66,23.18,0.77,70.94,0.5,2.4,Feni_Feni
2005-05-03,0.47,31.59,21.96,1.15,70.41,0.49,4.21,Feni_Feni
2005-05-04,0.43,33.46,24.22,1.13,68.13,0.48,4.87,Feni_Feni
2005-05-05,2.66,30.46,22.98,1.97,80.13,0.48,1.47,Feni_Feni
2005-05-06,0.64,31.73,22.15,1.63,76.44,0.48,3.01,Feni_Feni
2005-05-07,1.78,33.18,23.83,1.42,69.67,0.48,3.89,Feni_Feni
2005-05-08,1.03,33.61,24.37,1.82,70.99,0.47,3.91,Feni_Feni
2005-05-09,4.12,34.36,25.42,1.9,73.24,0.47,3.42,Feni_Feni
2005-05-10,0.49,37.28,25.93,2.54,68.04,0.47,4.28,Feni_Feni
2005-05-11,0.08,33.85,26.93,2.27,75.06,0.46,2.57,Feni_Feni
2005-05-12,0.78,36.17,25.77,1.92,70.99,0.46,3.4,Feni_Feni
2005-05-13,7.65,33.81,25.12,1.89,77.08,0.46,2.8,Feni_Feni
2005-05-14,7.94,34.66,25.81,2.28,77.22,0.47,3.24,Feni_Feni
2005-05-15,6.07,34.17,25.86,3.16,79.05,0.47,3.34,Feni_Feni
2005-05-16,3.4,35.35,26.34,2.71,77.03,0.47,3.73,Feni_Feni
2005-05-17,12.49,33.45,26.26,2.48,83.02,0.48,2.77,Feni_Feni
2005-05-18,10.94,33.63,26.25,2.14,82.11,0.5,3.58,Feni_Feni
2005-05-19,5.93,31.17,26.4,1.71,84.68,0.5,1.85,Feni_Feni
2005-05-20,20.63,31.64,25.7,1.47,82.68,0.53,4.67,Feni_Feni
2005-05-21,13.07,31.08,25.21,1.74,83.94,0.53,3.74,Feni_Feni
2005-05-22,15.87,31.34,25.0,2.95,83.47,0.55,5.71,Feni_Feni
2005-05-23,0.62,32.0,24.76,2.31,84.34,0.54,5.72,Feni_Feni
2005-05-24,5.33,31.99,26.63,2.37,86.59,0.53,3.76,Feni_Feni
2005-05-25,6.15,31.45,26.92,2.79,86.95,0.53,3.29,Feni_Feni
2005-05-26,0.13,31.75,26.95,2.47,86.28,0.53,3.44,Feni_Feni
2005-05-27,0.69,31.71,26.83,2.26,87.8,0.52,2.96,Feni_Feni
2005-05-28,0.84,31.81,26.75,2.09,85.69,0.52,2.85,Feni_Feni
2005-05-29,0.02,31.95,26.42,1.49,83.81,0.52,3.11,Feni_Feni
2005-05-30,0.0,35.39,26.41,1.07,74.65,0.51,6.57,Feni_Feni
2005-05-31,0.0,33.65,27.07,1.98,78.83,0.5,4.08,Feni_Feni
2005-06-01,0.0,34.38,27.16,2.56,77.59,0.5,4.42,Feni_Feni
2005-06-02,0.02,33.0,28.16,2.9,79.34,0.49,3.02,Feni_Feni
2005-06-03,1.03,34.75,26.8,2.51,79.18,0.49,4.21,Feni_Feni
