date,rainfall_mm,temp_max,temp_min,wind_speed,humidity,soil_moisture,evapotranspiration,station
2005-01-01,0.0,23.3,11.04,1.16,74.54,0.56,1.0,Jamuna_Tangail
2005-01-02,0.0,22.79,12.48,1.03,78.61,0.56,0.71,Jamuna_Tangail
2005-01-03,0.0,24.48,13.71,1.28,77.0,0.55,0.9,Jamuna_Tangail
2005-01-04,0.0,23.66,14.82,1.37,75.61,0.55,0.47,Jamuna_Tangail
2005-01-05,0.0,24.9,13.64,1.58,73.4,0.55,1.01,Jamuna_Tangail
2005-01-06,0.0,24.8,11.38,1.55,78.56,0.55,0.96,Jamuna_Tangail
2005-01-07,0.0,24.37,11.61,1.73,77.81,0.54,0.87,Jamuna_Tangail
2005-01-08,0.0,24.69,11.55,1.81,75.84,0.54,0.89,Jamuna_Tangail
2005-01-09,0.0,22.96,11.53,1.74,74.21,0.54,0.77,Jamuna_Tangail
2005-01-10,0.19,23.43,10.2,1.49,61.81,0.53,0.68,Jamuna_Tangail
2005-01-11,1.19,23.79,10.13,1.67,72.09,0.53,0.66,Jamuna_Tangail
2005-01-12,0.02,22.78,10.51,1.89,76.24,0.53,0.76,Jamuna_Tangail
2005-01-13,0.0,21.74,9.43,2.2,76.17,0.53,0.64,Jamuna_Tangail
2005-01-14,0.0,22.7,9.72,1.57,71.59,0.53,0.68,Jamuna_Tangail
2005-01-15,0.0,23.4,10.94,1.3,66.2,0.52,0.68,Jamuna_Tangail
2005-01-16,0.0,24.08,11.68,1.16,65.55,0.52,0.67,Jamuna_Tangail
2005-01-17,0.0,23.85,11.49,1.07,65.04,0.52,0.64,Jamuna_Tangail
2005-01-18,2.11,24.03,12.67,1.42,72.67,0.52,0.53,Jamuna_Tangail
2005-01-19,0.82,23.98,14.24,1.66,76.94,0.52,0.67,Jamuna_Tangail
2005-01-20,0.0,22.97,11.66,2.0,67.92,0.51,0.76,Jamuna_Tangail
2005-01-21,0.0,21.47,9.93,1.74,63.63,0.51,0.45,Jamuna_Tangail
2005-01-22,0.03,21.53,9.88,2.28,75.1,0.51,0.36,Jamuna_Tangail
2005-01-23,1.5,24.76,11.59,1.87,67.37,0.51,0.69,Jamuna_Tangail
2005-01-24,0.14,23.75,13.26,1.27,73.64,0.51,0.63,Jamuna_Tangail
2005-01-25,0.0,22.82,11.64,2.2,71.6,0.5,0.66,Jamuna_Tangail
2005-01-26,0.0,24.49,10.39,1.83,67.1,0.5,0.74,Jamuna_Tangail
2005-01-27,0.0,25.37,13.29,1.14,59.17,0.5,0.72,Jamuna_Tangail
2005-01-28,0.21,21.8,12.57,1.41,66.34,0.49,0.27,Jamuna_Tangail
2005-01-29,0.19,24.07,13.35,2.13,67.78,0.49,0.56,Jamuna_Tangail
2005-01-30,0.03,26.16,12.97,2.03,66.24,0.49,0.66,Jamuna_Tangail
2005-01-31,0.0,28.39,12.13,1.96,66.06,0.49,0.83,Jamuna_Tangail
2005-02-01,0.4,25.27,15.08,3.19,74.51,0.48,0.59,Jamuna_Tangail
2005-02-02,0.06,24.85,13.2,2.7,68.36,0.48,0.68,Jamuna_Tangail
2005-02-03,0.0,23.25,9.28,2.0,60.85,0.48,0.55,Jamuna_Tangail
2005-02-04,0.0,24.07,8.7,1.94,67.14,0.48,0.52,Jamuna_Tangail
2005-02-05,0.0,25.65,10.6,1.52,59.4,0.47,0.55,Jamuna_Tangail
2005-02-06,0.0,27.23,13.24,1.14,49.66,0.47,0.53,Jamuna_Tangail
2005-02-07,0.0,29.14,14.84,1.24,53.93,0.47,0.67,Jamuna_Tangail
2005-02-08,0.0,26.12,14.41,2.0,63.83,0.46,0.39,Jamuna_Tangail
2005-02-09,0.0,29.26,13.74,1.62,69.29,0.46,0.62,Jamuna_Tangail
2005-02-10,0.0,29.57,15.94,1.74,57.96,0.46,0.63,Jamuna_Tangail
