date,rainfall_mm,temp_max,temp_min,wind_speed,humidity,soil_moisture,evapotranspiration,station
2005-01-01,0.0,23.42,11.75,1.52,77.29,0.55,1.7,Karnaphuli_Chattogram
2005-01-02,0.0,23.88,13.91,1.72,79.11,0.54,1.42,Karnaphuli_Chattogram
2005-01-03,0.0,23.97,14.77,1.56,77.41,0.54,1.27,Karnaphuli_Chattogram
2005-01-04,0.0,23.14,16.51,1.73,83.25,0.54,0.57,Karnaphuli_Chattogram
2005-01-05,0.0,26.39,13.44,2.65,79.51,0.54,1.78,Karnaphuli_Chattogram
2005-01-06,0.0,24.99,13.28,2.19,75.57,0.54,1.72,Karnaphuli_Chattogram
2005-01-07,0.0,24.39,13.42,1.84,76.31,0.53,1.58,Karnaphuli_Chattogram
2005-01-08,0.0,24.52,12.59,2.12,72.14,0.53,1.6,Karnaphuli_Chattogram
2005-01-09,0.0,23.38,12.33,1.77,66.33,0.53,1.51,Karnaphuli_Chattogram
2005-01-10,0.0,23.45,13.4,1.32,62.92,0.52,1.4,Karnaphuli_Chattogram
2005-01-11,1.33,23.4,13.76,1.86,73.9,0.52,1.1,Karnaphuli_Chattogram
2005-01-12,3.91,23.85,14.66,2.53,74.23,0.53,1.13,Karnaphuli_Chattogram
2005-01-13,0.0,22.6,11.57,2.32,74.37,0.52,1.38,Karnaphuli_Chattogram
2005-01-14,0.0,22.98,11.22,1.98,77.73,0.52,1.3,Karnaphuli_Chattogram
2005-01-15,0.0,23.74,11.79,2.11,75.62,0.52,1.36,Karnaphuli_Chattogram
2005-01-16,0.0,24.44,13.68,1.82,70.24,0.52,1.36,Karnaphuli_Chattogram
2005-01-17,0.0,24.43,13.19,1.73,70.3,0.51,1.41,Karnaphuli_Chattogram
2005-01-18,0.0,24.87,13.64,1.43,69.17,0.51,1.33,Karnaphuli_Chattogram
2005-01-19,0.02,24.33,15.06,1.33,74.34,0.51,1.12,Karnaphuli_Chattogram
2005-01-20,0.0,23.78,13.7,2.27,71.62,0.5,1.24,Karnaphuli_Chattogram
2005-01-21,0.0,23.8,11.37,2.76,68.14,0.5,1.23,Karnaphuli_Chattogram
2005-01-22,0.0,24.19,10.35,2.02,68.13,0.5,1.13,Karnaphuli_Chattogram
2005-01-23,0.0,26.19,12.88,1.45,54.85,0.49,1.3,Karnaphuli_Chattogram
2005-01-24,0.0,25.03,13.94,1.35,60.59,0.49,1.17,Karnaphuli_Chattogram
2005-01-25,0.0,24.03,14.09,2.18,72.59,0.49,0.96,Karnaphuli_Chattogram
2005-01-26,0.0,24.29,12.75,2.35,69.76,0.49,1.04,Karnaphuli_Chattogram
2005-01-27,0.0,25.75,13.32,2.24,66.78,0.48,1.08,Karnaphuli_Chattogram
2005-01-28,0.0,24.83,14.16,2.04,64.96,0.48,0.78,Karnaphuli_Chattogram
2005-01-29,0.01,24.61,15.36,2.44,65.25,0.48,0.79,Karnaphuli_Chattogram
2005-01-30,0.0,27.34,13.74,2.44,63.19,0.48,1.09,Karnaphuli_Chattogram
2005-01-31,0.0,29.23,14.24,1.74,61.21,0.47,1.12,Karnaphuli_Chattogram
2005-02-01,0.0,27.83,15.49,2.02,65.5,0.47,1.01,Karnaphuli_Chattogram
2005-02-02,0.0,25.63,15.79,3.15,71.79,0.47,0.85,Karnaphuli_Chattogram
2005-02-03,0.0,24.45,12.55,2.91,62.13,0.46,0.81,Karnaphuli_Chattogram
2005-02-04,0.0,25.07,10.61,2.47,59.44,0.46,0.75,Karnaphuli_Chattogram
2005-02-05,0.0,25.27,11.02,1.86,53.65,0.46,0.77,Karnaphuli_Chattogram
2005-02-06,0.0,27.23,13.36,1.78,51.8,0.46,0.73,Karnaphuli_Chattogram
2005-02-07,0.0,28.52,15.66,1.64,56.09,0.45,0.75,Karnaphuli_Chattogram
2005-02-08,0.0,29.43,15.36,2.08,57.86,0.45,0.77,Karnaphuli_Chattogram
2005-02-09,0.0,29.15,16.55,2.07,60.91,0.45,0.74,Karnaphuli_Chattogram
2005-02-10,0.0,29.07,16.25,2.42,59.49,0.45,0.72,Karnaphuli_Chattogram
2005-02-11,0.0,28.62,16.44,1.92,59.83,0.44,0.66,Karnaphuli_Chattogram
2005-02-12,0.0,29.93,16.93,1.76,59.37,0.44,0.67,Karnaphuli_Chattogram
2005-02-13,0.0,29.8,18.23,2.48,74.6,0.44,0.6,Karnaphuli_Chattogram
2005-02-14,0.0,29.8,19.68,2.93,73.49,0.43,0.62,Karnaphuli_Chattogram
2005-02-15,0.0,28.94,18.13,2.86,75.44,0.43,0.52,Karnaphuli_Chattogram
2005-02-16,0.01,29.11,19.32,3.64,79.11,0.43,0.49,Karnaphuli_Chattogram
2005-02-17,0.46,29.35,20.97,3.02,80.39,0.43,0.44,Karnaphuli_Chattogram
2005-02-18,0.24,29.69,20.79,2.46,79.49,0.43,0.45,Karnaphuli_Chattogram
2005-02-19,0.0,30.92,20.0,1.49,74.48,0.42,0.49,Karnaphuli_Chattogram
2005-02-20,0.02,30.97,20.57,1.45,70.26,0.42,0.44,Karnaphuli_Chattogram
2005-02-21,0.0,32.94,21.61,1.31,60.73,0.42,0.45,Karnaphuli_Chattogram
2005-02-22,0.0,31.33,21.75,1.14,62.3,0.42,0.42,Karnaphuli_Chattogram
2005-02-23,0.0,30.44,18.79,1.45,51.71,0.41,0.44,Karnaphuli_Chattogram
2005-02-24,0.0,30.03,18.99,1.95,54.37,0.41,0.38,Karnaphuli_Chattogram
2005-02-25,0.0,29.7,18.07,1.93,46.59,0.41,0.39,Karnaphuli_Chattogram
2005-02-26,0.0,31.14,19.35,1.61,42.93,0.41,0.38,Karnaphuli_Chattogram
2005-02-27,0.0,30.73,20.11,1.56,55.62,0.4,0.34,Karnaphuli_Chattogram
2005-02-28,0.0,30.69,18.2,1.71,45.33,0.4,0.34,Karnaphuli_Chattogram
2005-03-01,0.0,31.74,19.33,1.53,48.2,0.4,0.32,Karnaphuli_Chattogram
2005-03-02,0.0,32.66,20.22,2.06,65.48,0.4,0.3,Karnaphuli_Chattogram
2005-03-03,0.0,32.15,20.97,2.68,71.51,0.39,0.24,Karnaphuli_Chattogram
2005-03-04,0.0,32.12,21.43,3.14,74.76,0.39,0.23,Karnaphuli_Chattogram
2005-03-05,0.01,32.6,22.02,3.19,72.66,0.39,0.22,Karnaphuli_Chattogram
2005-03-06,0.02,30.44,23.68,3.76,74.72,0.39,0.17,Karnaphuli_Chattogram
2005-03-07,0.03,30.96,22.05,3.36,75.55,0.39,0.18,Karnaphuli_Chattogram
2005-03-08,0.09,30.14,22.39,2.05,75.55,0.39,0.14,Karnaphuli_Chattogram
2005-03-09,0.09,31.68,22.44,1.98,70.37,0.39,0.16,Karnaphuli_Chattogram
2005-03-10,0.0,32.59,23.09,2.02,67.98,0.38,0.18,Karnaphuli_Chattogram
2005-03-11,0.81,30.33,23.94,0.91,64.63,0.38,0.11,Karnaphuli_Chattogram
2005-03-12,0.99,29.48,23.03,1.52,59.02,0.39,0.1,Karnaphuli_Chattogram
2005-03-13,0.0,32.37,20.37,2.17,54.21,0.38,0.19,Karnaphuli_Chattogram
2005-03-14,0.02,32.52,20.9,1.91,54.83,0.38,0.18,Karnaphuli_Chattogram
2005-03-15,0.1,30.68,22.49,1.63,66.48,0.38,0.13,Karnaphuli_Chattogram
2005-03-16,0.0,31.74,21.14,2.1,64.85,0.38,0.17,Karnaphuli_Chattogram
2005-03-17,0.0,33.28,22.03,1.96,62.21,0.38,0.17,Karnaphuli_Chattogram
2005-03-18,0.03,33.7,23.54,1.68,61.16,0.37,0.15,Karnaphuli_Chattogram
2005-03-19,0.02,33.84,23.81,1.84,62.77,0.37,0.14,Karnaphuli_Chattogram
2005-03-20,0.11,33.0,23.52,3.12,68.42,0.37,0.11,Karnaphuli_Chattogram
2005-03-21,0.21,33.32,23.96,4.47,71.55,0.37,0.1,Karnaphuli_Chattogram
2005-03-22,0.38,33.73,24.62,4.08,69.86,0.37,0.1,Karnaphuli_Chattogram
2005-03-23,5.36,30.7,24.32,3.79,75.95,0.38,0.07,Karnaphuli_Chattogram
2005-03-24,12.53,29.44,24.01,2.49,77.92,0.39,0.08,Karnaphuli_Chattogram
2005-03-25,3.12,28.85,23.16,3.5,76.39,0.4,0.13,Karnaphuli_Chattogram
2005-03-26,0.29,30.14,21.76,2.83,72.21,0.4,0.29,Karnaphuli_Chattogram
2005-03-27,3.45,32.22,22.02,3.15,70.7,0.4,0.29,Karnaphuli_Chattogram
2005-03-28,12.77,31.49,22.68,2.84,75.93,0.42,0.48,Karnaphuli_Chattogram
2005-03-29,0.01,31.66,22.6,3.17,73.42,0.41,0.46,Karnaphuli_Chattogram
2005-03-30,0.96,32.16,23.14,2.65,72.99,0.41,0.37,Karnaphuli_Chattogram
2005-03-31,2.87,32.39,23.14,1.72,68.37,0.41,0.41,Karnaphuli_Chattogram
2005-04-01,0.04,33.45,23.61,1.6,65.03,0.41,0.38,Karnaphuli_Chattogram
2005-04-02,0.0,34.48,23.85,2.46,49.65,0.4,0.32,Karnaphuli_Chattogram
2005-04-03,0.0,36.6,20.98,2.31,42.64,0.4,0.35,Karnaphuli_Chattogram
2005-04-04,0.25,35.04,21.66,1.53,55.15,0.4,0.28,Karnaphuli_Chattogram
2005-04-05,0.0,33.46,23.15,2.38,67.29,0.39,0.23,Karnaphuli_Chattogram
2005-04-06,0.0,33.23,22.14,2.26,68.32,0.39,0.22,Karnaphuli_Chattogram
2005-04-07,0.01,33.07,23.43,2.81,72.44,0.39,0.18,Karnaphuli_Chattogram
2005-04-08,0.0,33.03,23.07,2.91,71.54,0.38,0.16,Karnaphuli_Chattogram
2005-04-09,0.68,33.17,23.78,3.26,74.96,0.38,0.14,Karnaphuli_Chattogram
2005-04-10,22.95,31.33,25.33,3.49,83.71,0.4,0.11,Karnaphuli_Chattogram
2005-04-11,16.31,30.12,25.0,2.02,83.38,0.45,0.44,Karnaphuli_Chattogram
2005-04-12,1.34,32.31,24.77,1.98,76.11,0.45,0.76,Karnaphuli_Chattogram
2005-04-13,0.0,33.82,24.34,1.66,66.56,0.44,0.83,Karnaphuli_Chattogram
2005-04-14,0.0,34.44,23.42,1.68,64.28,0.43,0.69,Karnaphuli_Chattogram
2005-04-15,0.0,34.89,23.04,2.05,68.0,0.43,0.57,Karnaphuli_Chattogram
2005-04-16,0.0,34.05,24.49,2.62,72.04,0.42,0.39,Karnaphuli_Chattogram
2005-04-17,0.04,30.98,25.18,2.36,78.54,0.42,0.19,Karnaphuli_Chattogram
2005-04-18,0.32,30.62,24.72,2.0,79.51,0.42,0.16,Karnaphuli_Chattogram
2005-04-19,0.21,29.84,24.78,1.34,78.61,0.42,0.14,Karnaphuli_Chattogram
2005-04-20,0.02,36.45,25.07,1.34,59.78,0.42,0.34,Karnaphuli_Chattogram
2005-04-21,0.0,35.75,25.52,1.6,58.84,0.41,0.35,Karnaphuli_Chattogram
2005-04-22,0.0,33.9,25.27,2.09,68.75,0.41,0.26,Karnaphuli_Chattogram
2005-04-23,0.05,32.39,25.03,2.09,75.59,0.41,0.18,Karnaphuli_Chattogram
2005-04-24,0.12,34.71,24.63,2.54,71.66,0.41,0.25,Karnaphuli_Chattogram
2005-04-25,0.4,31.95,25.29,2.09,74.5,0.41,0.16,Karnaphuli_Chattogram
2005-04-26,0.49,34.24,26.59,2.38,72.55,0.4,0.24,Karnaphuli_Chattogram
