date,rainfall_mm,temp_max,temp_min,wind_speed,humidity,soil_moisture,evapotranspiration,station
2005-01-01,0.0,23.55,13.01,1.3,72.59,0.56,1.94,Kirtankhola_Barishal
2005-01-02,0.0,23.5,14.99,1.26,75.06,0.56,1.47,Kirtankhola_Barishal
2005-01-03,0.0,23.74,16.08,1.34,75.61,0.55,1.32,Kirtankhola_Barishal
2005-01-04,0.0,22.31,16.45,1.98,82.83,0.55,0.61,Kirtankhola_Barishal
2005-01-05,0.0,25.11,14.41,3.07,78.99,0.55,2.03,Kirtankhola_Barishal
2005-01-06,0.0,24.58,13.18,2.29,74.08,0.55,2.13,Kirtankhola_Barishal
2005-01-07,0.0,24.26,13.26,2.33,78.02,0.54,1.82,Kirtankhola_Barishal
2005-01-08,0.0,24.43,12.89,2.28,75.97,0.54,1.83,Kirtankhola_Barishal
2005-01-09,0.0,23.39,12.82,2.06,69.87,0.54,1.73,Kirtankhola_Barishal
2005-01-10,0.0,24.01,13.55,1.05,61.24,0.53,1.91,Kirtankhola_Barishal
2005-01-11,3.94,23.87,15.51,2.44,84.41,0.54,1.37,Kirtankhola_Barishal
2005-01-12,4.51,23.59,15.07,3.47,76.01,0.54,1.84,Kirtankhola_Barishal
2005-01-13,0.0,22.37,12.15,3.06,74.31,0.54,1.54,Kirtankhola_Barishal
2005-01-14,0.0,22.75,11.74,2.28,74.19,0.53,1.5,Kirtankhola_Barishal
2005-01-15,0.0,23.26,11.92,2.12,68.72,0.53,1.54,Kirtankhola_Barishal
2005-01-16,0.0,23.88,14.16,1.62,64.65,0.53,1.42,Kirtankhola_Barishal
2005-01-17,0.0,24.18,13.66,1.34,62.59,0.52,1.61,Kirtankhola_Barishal
2005-01-18,0.01,24.82,14.91,1.04,66.22,0.52,1.54,Kirtankhola_Barishal
2005-01-19,0.22,24.12,14.9,1.45,73.22,0.52,1.35,Kirtankhola_Barishal
2005-01-20,0.0,23.84,13.69,2.34,72.68,0.52,1.5,Kirtankhola_Barishal
2005-01-21,0.0,22.59,11.57,3.34,67.52,0.51,1.37,Kirtankhola_Barishal
2005-01-22,0.0,23.9,10.96,2.65,68.68,0.51,1.36,Kirtankhola_Barishal
2005-01-23,0.0,25.14,12.12,1.62,65.08,0.51,1.51,Kirtankhola_Barishal
2005-01-24,0.0,25.18,14.31,1.25,67.27,0.5,1.4,Kirtankhola_Barishal
2005-01-25,0.0,23.94,14.2,2.8,71.41,0.5,1.19,Kirtankhola_Barishal
2005-01-26,0.0,24.64,12.7,2.63,70.15,0.5,1.25,Kirtankhola_Barishal
2005-01-27,0.0,25.31,13.72,2.14,66.12,0.49,1.29,Kirtankhola_Barishal
2005-01-28,0.04,24.28,14.65,2.49,65.09,0.49,0.84,Kirtankhola_Barishal
2005-01-29,0.13,24.81,15.61,3.05,66.85,0.49,0.99,Kirtankhola_Barishal
2005-01-30,0.0,26.21,14.39,3.14,65.76,0.49,1.23,Kirtankhola_Barishal
2005-01-31,0.0,28.23,14.53,2.28,64.46,0.48,1.31,Kirtankhola_Barishal
2005-02-01,0.03,27.49,15.14,3.08,68.32,0.48,1.22,Kirtankhola_Barishal
2005-02-02,0.0,25.72,15.9,3.5,70.26,0.48,1.01,Kirtankhola_Barishal
2005-02-03,0.0,24.15,12.97,3.5,58.9,0.48,0.9,Kirtankhola_Barishal
2005-02-04,0.0,24.92,11.33,3.02,59.92,0.47,0.87,Kirtankhola_Barishal
2005-02-05,0.0,25.77,11.97,1.99,57.77,0.47,0.86,Kirtankhola_Barishal
2005-02-06,0.0,27.81,13.88,1.33,56.84,0.47,0.91,Kirtankhola_Barishal
2005-02-07,0.0,29.49,16.15,1.24,58.95,0.47,1.03,Kirtankhola_Barishal
2005-02-08,0.0,29.62,16.75,1.96,57.82,0.46,0.97,Kirtankhola_Barishal
2005-02-09,0.0,29.21,16.72,2.35,63.6,0.46,0.91,Kirtankhola_Barishal
2005-02-10,0.0,29.11,17.28,2.52,60.68,0.46,0.89,Kirtankhola_Barishal
2005-02-11,0.0,29.32,16.26,1.72,53.77,0.46,0.87,Kirtankhola_Barishal
2005-02-12,0.0,31.93,18.89,1.45,55.43,0.45,0.94,Kirtankhola_Barishal
2005-02-13,0.0,32.25,18.46,2.7,70.18,0.45,0.9,Kirtankhola_Barishal
2005-02-14,0.0,32.07,19.5,2.59,62.05,0.45,0.91,Kirtankhola_Barishal
2005-02-15,0.0,31.4,18.69,2.69,70.35,0.44,0.8,Kirtankhola_Barishal
2005-02-16,0.01,30.68,20.48,3.71,76.98,0.44,0.68,Kirtankhola_Barishal
2005-02-17,0.23,30.94,21.56,2.87,79.08,0.44,0.62,Kirtankhola_Barishal
2005-02-18,0.14,31.43,21.92,2.86,76.06,0.44,0.64,Kirtankhola_Barishal
2005-02-19,0.06,33.31,21.59,1.95,72.27,0.44,0.71,Kirtankhola_Barishal
2005-02-20,0.02,33.42,21.51,1.52,68.82,0.43,0.6,Kirtankhola_Barishal
2005-02-21,0.01,34.79,22.2,1.75,60.31,0.43,0.63,Kirtankhola_Barishal
2005-02-22,0.02,31.76,21.08,1.89,54.16,0.43,0.51,Kirtankhola_Barishal
2005-02-23,0.0,32.21,19.38,1.08,54.02,0.43,0.54,Kirtankhola_Barishal
2005-02-24,0.0,30.35,19.25,1.89,57.65,0.43,0.43,Kirtankhola_Barishal
2005-02-25,0.0,30.65,17.6,1.86,45.16,0.42,0.44,Kirtankhola_Barishal
2005-02-26,0.0,32.44,19.91,1.43,43.02,0.42,0.47,Kirtankhola_Barishal
2005-02-27,0.0,31.5,18.37,1.61,42.04,0.42,0.41,Kirtankhola_Barishal
2005-02-28,0.0,31.97,19.96,1.42,42.25,0.42,0.41,Kirtankhola_Barishal
2005-03-01,0.0,33.54,20.43,1.0,43.92,0.41,0.39,Kirtankhola_Barishal
2005-03-02,0.0,34.97,21.08,1.86,55.94,0.41,0.38,Kirtankhola_Barishal
