date,rainfall_mm,temp_max,temp_min,wind_speed,humidity,soil_moisture,evapotranspiration,station
2005-01-01,0.0,23.18,11.48,1.06,70.23,0.58,1.39,Kongsha_Netrokona
2005-01-02,0.0,22.59,12.91,0.84,75.4,0.58,1.11,Kongsha_Netrokona
2005-01-03,0.0,25.28,13.81,0.96,72.42,0.58,1.51,Kongsha_Netrokona
2005-01-04,0.0,24.62,15.47,0.82,68.9,0.58,0.77,Kongsha_Netrokona
2005-01-05,0.0,25.54,14.35,1.07,70.17,0.57,1.52,Kongsha_Netrokona
2005-01-06,0.0,25.07,12.32,1.01,73.14,0.57,1.4,Kongsha_Netrokona
2005-01-07,0.0,25.08,11.83,1.19,73.15,0.57,1.36,Kongsha_Netrokona
2005-01-08,0.0,25.13,12.58,1.17,71.12,0.56,1.36,Kongsha_Netrokona
2005-01-09,0.0,23.35,13.4,1.02,71.33,0.56,1.21,Kongsha_Netrokona
2005-01-10,0.63,22.49,13.06,1.14,66.7,0.56,0.9,Kongsha_Netrokona
2005-01-11,0.76,22.83,10.5,1.31,71.64,0.56,0.88,Kongsha_Netrokona
2005-01-12,0.0,23.13,11.81,1.21,70.12,0.55,1.11,Kongsha_Netrokona
2005-01-13,0.0,22.68,10.4,1.05,72.54,0.55,0.99,Kongsha_Netrokona
2005-01-14,0.0,22.95,10.84,1.1,69.34,0.55,0.98,Kongsha_Netrokona
2005-01-15,0.0,23.26,11.28,1.15,69.42,0.55,0.95,Kongsha_Netrokona
2005-01-16,0.0,24.2,12.28,1.1,66.47,0.54,0.98,Kongsha_Netrokona
2005-01-17,0.0,23.48,11.74,1.12,65.41,0.54,0.9,Kongsha_Netrokona
2005-01-18,1.17,24.77,12.73,1.1,70.22,0.54,0.82,Kongsha_Netrokona
2005-01-19,1.18,24.13,14.17,1.33,74.27,0.54,0.91,Kongsha_Netrokona
2005-01-20,0.0,22.94,11.97,1.58,67.42,0.54,0.96,Kongsha_Netrokona
