date,rainfall_mm,temp_max,temp_min,wind_speed,humidity,soil_moisture,evapotranspiration,station
2005-01-01,0.0,25.02,11.47,1.21,72.22,0.56,0.58,Kumar_Magura
2005-01-02,0.0,24.66,12.91,1.13,74.83,0.56,0.43,Kumar_Magura
2005-01-03,0.0,25.77,13.56,1.43,75.57,0.56,0.54,Kumar_Magura
2005-01-04,0.0,24.36,15.02,1.45,73.83,0.55,0.3,Kumar_Magura
2005-01-05,0.0,26.47,12.51,1.95,69.19,0.55,0.6,Kumar_Magura
2005-01-06,0.0,25.96,10.04,1.7,63.96,0.55,0.58,Kumar_Magura
2005-01-07,0.0,25.72,10.7,1.84,66.13,0.55,0.51,Kumar_Magura
2005-01-08,0.0,25.89,10.95,1.73,63.74,0.54,0.49,Kumar_Magura
2005-01-09,0.0,24.28,10.26,1.65,60.33,0.54,0.45,Kumar_Magura
2005-01-10,0.0,25.56,9.63,1.37,53.1,0.54,0.43,Kumar_Magura
2005-01-11,5.46,25.24,10.9,1.47,73.44,0.54,0.34,Kumar_Magura
2005-01-12,0.57,24.46,13.12,1.95,76.26,0.55,0.48,Kumar_Magura
2005-01-13,0.0,23.23,10.57,2.03,69.21,0.54,0.38,Kumar_Magura
2005-01-14,0.0,24.01,10.37,1.51,63.36,0.54,0.37,Kumar_Magura
2005-01-15,0.0,25.19,12.35,1.17,57.32,0.54,0.41,Kumar_Magura
2005-01-16,0.0,25.63,13.76,1.14,55.85,0.54,0.37,Kumar_Magura
2005-01-17,0.0,25.75,12.93,1.02,58.41,0.53,0.4,Kumar_Magura
2005-01-18,1.19,25.23,13.44,1.12,69.36,0.53,0.25,Kumar_Magura
2005-01-19,2.15,24.44,14.48,1.39,77.29,0.54,0.24,Kumar_Magura
2005-01-20,0.0,24.62,11.27,1.95,66.23,0.53,0.43,Kumar_Magura
2005-01-21,0.0,22.77,9.58,1.83,56.94,0.53,0.31,Kumar_Magura
2005-01-22,0.0,21.96,9.86,2.5,68.43,0.53,0.22,Kumar_Magura
2005-01-23,0.08,26.91,12.24,1.75,63.37,0.53,0.43,Kumar_Magura
2005-01-24,0.14,25.38,13.67,1.47,71.69,0.52,0.32,Kumar_Magura
2005-01-25,0.0,24.64,12.86,2.18,66.82,0.52,0.33,Kumar_Magura
2005-01-26,0.0,26.39,10.77,1.82,61.74,0.52,0.35,Kumar_Magura
2005-01-27,0.0,27.09,14.37,1.27,59.37,0.52,0.37,Kumar_Magura
2005-01-28,0.56,23.55,13.79,1.47,64.91,0.52,0.14,Kumar_Magura
2005-01-29,0.59,24.95,13.84,2.19,67.55,0.52,0.25,Kumar_Magura
2005-01-30,0.06,27.41,13.39,2.28,62.2,0.51,0.31,Kumar_Magura
2005-01-31,0.0,29.48,12.72,2.42,62.77,0.51,0.35,Kumar_Magura
2005-02-01,0.16,26.83,14.44,2.88,69.13,0.51,0.23,Kumar_Magura
2005-02-02,0.02,26.6,13.83,2.54,64.86,0.51,0.28,Kumar_Magura
2005-02-03,0.0,24.37,9.49,2.1,55.81,0.5,0.21,Kumar_Magura
2005-02-04,0.0,25.48,9.26,1.93,55.37,0.5,0.21,Kumar_Magura
2005-02-05,0.0,27.07,12.11,1.48,49.21,0.5,0.21,Kumar_Magura
2005-02-06,0.0,29.04,14.21,0.89,47.29,0.5,0.22,Kumar_Magura
2005-02-07,0.02,30.61,16.06,1.03,52.83,0.49,0.25,Kumar_Magura
2005-02-08,0.09,29.85,15.02,2.09,60.34,0.49,0.2,Kumar_Magura
2005-02-09,0.0,30.88,14.41,1.73,65.73,0.49,0.21,Kumar_Magura
2005-02-10,0.0,30.94,15.51,1.86,56.15,0.49,0.2,Kumar_Magura
2005-02-11,0.0,31.55,15.19,1.53,46.86,0.48,0.2,Kumar_Magura
2005-02-12,0.0,33.35,16.49,1.76,47.87,0.48,0.19,Kumar_Magura
2005-02-13,0.0,34.16,17.24,3.21,54.98,0.48,0.18,Kumar_Magura
2005-02-14,0.0,33.39,15.58,3.41,46.46,0.47,0.16,Kumar_Magura
2005-02-15,0.0,32.52,15.37,2.37,51.63,0.47,0.13,Kumar_Magura
2005-02-16,0.01,34.46,17.54,2.5,58.38,0.47,0.11,Kumar_Magura
2005-02-17,0.07,34.69,20.09,0.76,55.72,0.47,0.12,Kumar_Magura
2005-02-18,0.6,34.5,19.62,1.14,59.03,0.46,0.11,Kumar_Magura
2005-02-19,0.25,35.27,21.0,1.19,56.4,0.46,0.08,Kumar_Magura
2005-02-20,0.12,35.13,20.76,1.35,56.25,0.46,0.07,Kumar_Magura
2005-02-21,0.48,35.99,20.94,1.79,48.11,0.46,0.07,Kumar_Magura
2005-02-22,0.09,34.49,18.51,1.99,44.51,0.46,0.07,Kumar_Magura
2005-02-23,0.03,32.24,18.18,1.62,50.68,0.45,0.05,Kumar_Magura
2005-02-24,0.0,32.05,18.02,1.81,49.96,0.45,0.05,Kumar_Magura
2005-02-25,0.0,32.24,15.06,1.98,36.28,0.45,0.04,Kumar_Magura
2005-02-26,0.0,33.91,15.56,2.26,36.28,0.45,0.04,Kumar_Magura
2005-02-27,0.0,33.6,16.06,1.8,33.18,0.45,0.04,Kumar_Magura
2005-02-28,0.0,33.75,17.9,1.8,31.82,0.45,0.04,Kumar_Magura
2005-03-01,0.0,35.54,17.78,1.85,32.85,0.44,0.03,Kumar_Magura
2005-03-02,0.0,37.19,19.42,1.98,33.28,0.44,0.03,Kumar_Magura
2005-03-03,0.0,37.54,19.98,2.23,37.91,0.44,0.03,Kumar_Magura
2005-03-04,0.0,38.37,19.65,1.81,32.73,0.44,0.02,Kumar_Magura
2005-03-05,0.0,39.56,21.49,1.38,37.6,0.44,0.02,Kumar_Magura
2005-03-06,0.0,39.18,22.97,2.02,38.07,0.44,0.02,Kumar_Magura
2005-03-07,0.01,38.82,21.8,1.86,46.35,0.44,0.02,Kumar_Magura
2005-03-08,0.04,37.49,22.67,2.03,43.36,0.44,0.01,Kumar_Magura
2005-03-09,0.04,36.72,21.68,2.09,41.64,0.44,0.01,Kumar_Magura
2005-03-10,0.0,37.06,23.23,2.48,41.27,0.44,0.01,Kumar_Magura
2005-03-11,5.72,33.5,24.27,1.01,48.69,0.44,0.0,Kumar_Magura
2005-03-12,5.59,31.9,18.92,2.3,62.66,0.45,0.01,Kumar_Magura
2005-03-13,0.0,33.33,17.11,1.48,58.19,0.45,0.03,Kumar_Magura
2005-03-14,0.0,35.15,19.44,1.47,45.49,0.45,0.02,Kumar_Magura
2005-03-15,0.0,35.33,19.35,1.41,40.68,0.45,0.02,Kumar_Magura
2005-03-16,0.02,35.18,19.37,1.9,51.43,0.44,0.01,Kumar_Magura
2005-03-17,0.25,35.61,22.34,2.08,51.96,0.44,0.01,Kumar_Magura
2005-03-18,2.52,35.46,22.46,1.38,58.27,0.44,0.01,Kumar_Magura
2005-03-19,0.86,36.68,22.98,1.15,52.53,0.45,0.01,Kumar_Magura
2005-03-20,0.39,38.6,22.94,2.48,50.5,0.44,0.01,Kumar_Magura
2005-03-21,0.0,40.32,22.27,2.87,48.75,0.44,0.01,Kumar_Magura
2005-03-22,1.36,40.18,23.48,3.55,56.13,0.44,0.0,Kumar_Magura
2005-03-23,8.9,36.84,24.51,3.46,64.43,0.45,0.01,Kumar_Magura
2005-03-24,19.04,29.34,21.79,3.23,81.08,0.47,0.03,Kumar_Magura
