date,rainfall_mm,temp_max,temp_min,wind_speed,humidity,soil_moisture,evapotranspiration,station
2005-01-01,0.0,24.64,9.53,0.84,70.06,0.56,0.99,Kushiyara_Habiganj
2005-01-02,0.0,24.55,11.36,0.82,72.89,0.55,0.83,Kushiyara_Habiganj
2005-01-03,0.0,26.63,13.3,0.85,71.47,0.55,1.0,Kushiyara_Habiganj
2005-01-04,0.0,23.59,15.18,0.82,73.29,0.55,0.37,Kushiyara_Habiganj
2005-01-05,0.0,25.9,12.37,1.07,71.04,0.55,0.94,Kushiyara_Habiganj
2005-01-06,0.0,25.94,11.21,0.92,68.41,0.54,0.91,Kushiyara_Habiganj
2005-01-07,0.0,25.72,11.15,1.03,70.02,0.54,0.84,Kushiyara_Habiganj
2005-01-08,0.0,25.94,11.47,0.92,65.68,0.54,0.87,Kushiyara_Habiganj
2005-01-09,0.0,24.01,11.55,0.91,66.91,0.54,0.78,Kushiyara_Habiganj
2005-01-10,0.23,23.52,10.49,1.18,67.26,0.53,0.6,Kushiyara_Habiganj
2005-01-11,1.25,24.17,10.07,1.44,71.2,0.53,0.59,Kushiyara_Habiganj
2005-01-12,0.07,23.73,10.41,1.51,71.04,0.53,0.72,Kushiyara_Habiganj
2005-01-13,0.0,23.44,9.43,0.95,69.91,0.53,0.64,Kushiyara_Habiganj
2005-01-14,0.0,23.93,9.79,0.86,66.88,0.53,0.67,Kushiyara_Habiganj
2005-01-15,0.0,24.65,9.91,1.17,69.36,0.52,0.68,Kushiyara_Habiganj
2005-01-16,0.0,25.47,11.25,1.03,64.29,0.52,0.68,Kushiyara_Habiganj
2005-01-17,0.0,24.69,10.56,1.13,66.73,0.52,0.66,Kushiyara_Habiganj
2005-01-18,0.42,25.51,11.23,0.85,67.72,0.52,0.64,Kushiyara_Habiganj
2005-01-19,0.73,23.19,14.61,0.81,71.69,0.51,0.34,Kushiyara_Habiganj
2005-01-20,0.0,24.23,13.11,1.41,65.49,0.51,0.67,Kushiyara_Habiganj
2005-01-21,0.0,20.72,9.94,1.31,64.74,0.51,0.39,Kushiyara_Habiganj
2005-01-22,0.0,22.19,10.46,0.89,63.34,0.51,0.35,Kushiyara_Habiganj
2005-01-23,1.22,24.31,10.83,1.52,62.78,0.51,0.56,Kushiyara_Habiganj
2005-01-24,0.0,24.91,13.04,1.07,71.7,0.51,0.58,Kushiyara_Habiganj
2005-01-25,0.0,24.37,13.2,1.07,66.43,0.5,0.62,Kushiyara_Habiganj
2005-01-26,0.0,25.28,12.39,1.07,64.87,0.5,0.67,Kushiyara_Habiganj
2005-01-27,0.0,25.19,11.46,1.07,61.14,0.5,0.65,Kushiyara_Habiganj
2005-01-28,0.0,22.4,11.26,1.39,68.68,0.49,0.31,Kushiyara_Habiganj
2005-01-29,0.04,24.84,13.32,0.58,57.21,0.49,0.58,Kushiyara_Habiganj
2005-01-30,0.0,27.01,11.5,1.02,58.87,0.49,0.69,Kushiyara_Habiganj
2005-01-31,0.0,28.44,12.14,1.38,61.0,0.49,0.71,Kushiyara_Habiganj
2005-02-01,0.27,27.97,15.03,1.66,67.75,0.48,0.63,Kushiyara_Habiganj
2005-02-02,0.0,26.03,13.4,1.97,67.27,0.48,0.64,Kushiyara_Habiganj
2005-02-03,0.0,24.46,11.02,1.17,54.93,0.48,0.6,Kushiyara_Habiganj
2005-02-04,0.0,25.4,9.26,0.98,55.95,0.48,0.61,Kushiyara_Habiganj
2005-02-05,0.0,26.87,11.17,0.96,51.3,0.47,0.58,Kushiyara_Habiganj
2005-02-06,0.0,27.58,11.27,1.1,50.21,0.47,0.53,Kushiyara_Habiganj
2005-02-07,0.0,29.27,13.13,1.12,56.0,0.47,0.59,Kushiyara_Habiganj
2005-02-08,0.0,29.29,13.86,1.42,58.21,0.47,0.55,Kushiyara_Habiganj
2005-02-09,0.0,30.21,14.45,1.0,56.44,0.46,0.62,Kushiyara_Habiganj
2005-02-10,0.0,30.1,16.11,1.15,58.03,0.46,0.6,Kushiyara_Habiganj
2005-02-11,0.0,29.62,14.23,1.07,55.37,0.46,0.58,Kushiyara_Habiganj
2005-02-12,0.0,31.38,14.59,1.51,56.42,0.45,0.56,Kushiyara_Habiganj
2005-02-13,0.07,32.98,15.01,3.01,58.54,0.45,0.58,Kushiyara_Habiganj
2005-02-14,0.0,32.1,15.3,3.4,51.0,0.45,0.64,Kushiyara_Habiganj
2005-02-15,0.0,30.91,14.51,2.6,59.44,0.44,0.53,Kushiyara_Habiganj
2005-02-16,2.39,32.6,17.4,3.02,68.52,0.44,0.51,Kushiyara_Habiganj
2005-02-17,5.67,32.59,19.73,2.25,72.16,0.45,0.56,Kushiyara_Habiganj
2005-02-18,9.07,30.84,19.47,1.64,73.21,0.46,0.52,Kushiyara_Habiganj
2005-02-19,0.4,33.06,18.91,1.5,67.36,0.46,0.67,Kushiyara_Habiganj
2005-02-20,0.13,33.67,18.95,1.48,63.23,0.46,0.7,Kushiyara_Habiganj
2005-02-21,0.0,35.1,19.45,1.82,56.23,0.45,0.67,Kushiyara_Habiganj
2005-02-22,0.14,33.35,18.55,1.51,50.47,0.45,0.7,Kushiyara_Habiganj
2005-02-23,0.19,30.69,16.65,2.06,56.29,0.44,0.53,Kushiyara_Habiganj
2005-02-24,0.0,30.61,18.48,1.3,51.58,0.44,0.58,Kushiyara_Habiganj
2005-02-25,0.0,30.21,14.65,1.31,45.22,0.44,0.52,Kushiyara_Habiganj
2005-02-26,0.0,32.3,15.23,1.7,43.46,0.43,0.51,Kushiyara_Habiganj
2005-02-27,0.0,31.7,15.86,0.94,37.16,0.43,0.5,Kushiyara_Habiganj
2005-02-28,0.0,31.45,14.44,1.21,42.99,0.43,0.53,Kushiyara_Habiganj
2005-03-01,0.0,32.73,14.29,1.3,45.4,0.42,0.48,Kushiyara_Habiganj
2005-03-02,0.0,34.69,16.87,1.93,45.89,0.42,0.46,Kushiyara_Habiganj
2005-03-03,0.0,35.56,17.68,2.22,51.1,0.42,0.45,Kushiyara_Habiganj
2005-03-04,0.01,36.26,17.81,1.82,54.07,0.42,0.44,Kushiyara_Habiganj
2005-03-05,0.08,36.46,20.39,2.38,57.2,0.41,0.39,Kushiyara_Habiganj
2005-03-06,0.05,37.21,22.5,3.27,58.58,0.41,0.46,Kushiyara_Habiganj
2005-03-07,0.93,35.48,22.02,2.61,62.47,0.41,0.37,Kushiyara_Habiganj
2005-03-08,8.23,32.52,21.22,1.43,66.49,0.41,0.34,Kushiyara_Habiganj
2005-03-09,0.5,34.8,20.13,1.65,58.42,0.42,0.45,Kushiyara_Habiganj
2005-03-10,0.17,35.42,21.16,2.15,50.99,0.41,0.43,Kushiyara_Habiganj
2005-03-11,0.17,33.18,23.23,1.26,51.9,0.41,0.27,Kushiyara_Habiganj
2005-03-12,0.65,32.75,21.34,1.27,51.96,0.41,0.31,Kushiyara_Habiganj
2005-03-13,0.0,34.84,18.76,1.44,48.07,0.41,0.42,Kushiyara_Habiganj
2005-03-14,0.0,34.27,19.7,0.88,44.86,0.4,0.4,Kushiyara_Habiganj
2005-03-15,0.1,34.63,20.59,0.97,40.71,0.4,0.38,Kushiyara_Habiganj
2005-03-16,0.0,33.95,18.97,1.07,54.65,0.4,0.38,Kushiyara_Habiganj
2005-03-17,0.22,34.79,20.78,0.93,51.84,0.39,0.34,Kushiyara_Habiganj
2005-03-18,3.22,34.38,21.91,1.41,55.1,0.39,0.31,Kushiyara_Habiganj
2005-03-19,3.7,34.77,22.65,1.39,54.34,0.4,0.37,Kushiyara_Habiganj
2005-03-20,14.99,34.96,22.08,2.42,60.96,0.41,0.41,Kushiyara_Habiganj
2005-03-21,20.36,35.72,22.89,3.26,69.01,0.44,0.72,Kushiyara_Habiganj
2005-03-22,11.76,35.79,23.5,3.41,68.39,0.46,0.94,Kushiyara_Habiganj
2005-03-23,11.48,33.1,23.67,3.56,74.7,0.46,0.83,Kushiyara_Habiganj
2005-03-24,36.45,28.26,21.89,3.66,84.72,0.5,0.47,Kushiyara_Habiganj
2005-03-25,7.48,30.4,19.73,1.82,69.49,0.53,1.84,Kushiyara_Habiganj
2005-03-26,2.94,31.83,17.66,1.48,58.96,0.52,1.82,Kushiyara_Habiganj
2005-03-27,3.54,33.33,19.64,1.21,62.1,0.52,2.02,Kushiyara_Habiganj
2005-03-28,16.66,32.06,20.92,2.59,74.87,0.53,1.83,Kushiyara_Habiganj
2005-03-29,3.63,33.59,20.89,2.46,71.27,0.53,2.0,Kushiyara_Habiganj
2005-03-30,27.49,31.91,21.84,2.05,77.85,0.55,2.06,Kushiyara_Habiganj
2005-03-31,37.38,29.8,21.86,1.58,81.35,0.6,2.1,Kushiyara_Habiganj
