date,rainfall_mm,temp_max,temp_min,wind_speed,humidity,soil_moisture,evapotranspiration,station
2005-01-01,0.0,18.48,6.68,1.14,76.63,0.79,2.97,Meghalaya_Shillong
2005-01-02,0.0,17.73,6.82,1.02,81.46,0.79,2.04,Meghalaya_Shillong
2005-01-03,0.0,20.29,9.07,1.08,78.45,0.79,3.36,Meghalaya_Shillong
2005-01-04,0.0,17.52,6.43,1.08,80.92,0.79,1.57,Meghalaya_Shillong
2005-01-05,0.0,18.84,5.92,0.98,81.31,0.79,3.13,Meghalaya_Shillong
2005-01-06,0.0,18.72,7.18,0.68,80.24,0.79,3.03,Meghalaya_Shillong
2005-01-07,0.0,18.58,6.16,0.93,79.16,0.79,3.11,Meghalaya_Shillong
2005-01-08,0.0,17.84,6.42,0.79,80.04,0.79,3.0,Meghalaya_Shillong
2005-01-09,0.08,16.39,6.64,0.73,81.42,0.79,2.47,Meghalaya_Shillong
2005-01-10,1.69,14.54,5.91,1.22,84.78,0.79,1.69,Meghalaya_Shillong
2005-01-11,0.49,14.89,5.22,1.16,80.72,0.79,1.63,Meghalaya_Shillong
2005-01-12,0.0,15.79,2.89,1.08,82.54,0.79,2.11,Meghalaya_Shillong
2005-01-13,0.0,16.41,3.85,0.93,82.59,0.78,2.4,Meghalaya_Shillong
2005-01-14,0.0,16.27,4.83,0.87,85.67,0.78,2.28,Meghalaya_Shillong
2005-01-15,0.0,17.64,5.7,0.81,83.27,0.78,2.78,Meghalaya_Shillong
2005-01-16,0.0,18.18,5.54,0.91,80.45,0.78,2.87,Meghalaya_Shillong
2005-01-17,0.0,17.95,6.1,1.11,77.86,0.78,2.82,Meghalaya_Shillong
2005-01-18,0.35,18.34,5.32,1.0,79.55,0.78,2.75,Meghalaya_Shillong
2005-01-19,2.46,15.85,6.0,1.05,87.53,0.78,1.44,Meghalaya_Shillong
2005-01-20,0.0,15.22,3.2,1.34,84.08,0.78,2.04,Meghalaya_Shillong
2005-01-21,0.03,14.72,1.05,1.3,83.68,0.78,1.71,Meghalaya_Shillong
2005-01-22,0.0,15.35,2.96,0.96,67.24,0.78,1.47,Meghalaya_Shillong
2005-01-23,4.48,17.09,5.52,1.3,67.59,0.78,2.46,Meghalaya_Shillong
2005-01-24,0.14,16.09,5.93,1.22,84.45,0.78,1.98,Meghalaya_Shillong
2005-01-25,0.0,16.49,4.88,1.03,82.89,0.78,2.42,Meghalaya_Shillong
2005-01-26,0.0,16.49,4.85,1.23,80.82,0.78,2.73,Meghalaya_Shillong
2005-01-27,0.0,18.28,4.52,1.32,74.22,0.77,2.95,Meghalaya_Shillong
2005-01-28,0.0,16.09,4.9,0.84,74.89,0.77,1.39,Meghalaya_Shillong
2005-01-29,0.02,18.19,6.6,1.07,69.72,0.77,2.63,Meghalaya_Shillong
2005-01-30,0.0,20.28,6.38,0.98,69.0,0.77,3.55,Meghalaya_Shillong
2005-01-31,0.0,22.8,9.12,1.08,61.21,0.77,4.18,Meghalaya_Shillong
2005-02-01,0.31,19.54,8.32,1.18,80.73,0.76,2.74,Meghalaya_Shillong
2005-02-02,0.0,18.49,5.34,1.21,74.87,0.76,3.43,Meghalaya_Shillong
2005-02-03,0.0,17.82,2.94,0.97,72.23,0.76,3.26,Meghalaya_Shillong
2005-02-04,0.0,17.75,3.04,1.24,71.25,0.76,3.05,Meghalaya_Shillong
2005-02-05,0.0,17.86,6.07,1.24,63.7,0.76,3.21,Meghalaya_Shillong
2005-02-06,0.0,18.83,5.08,1.47,63.34,0.76,3.15,Meghalaya_Shillong
2005-02-07,0.0,18.95,6.77,1.61,71.98,0.76,3.0,Meghalaya_Shillong
2005-02-08,0.0,19.66,6.9,1.32,71.68,0.75,3.04,Meghalaya_Shillong
2005-02-09,0.0,20.44,6.81,1.32,74.06,0.75,3.51,Meghalaya_Shillong
2005-02-10,0.0,20.36,7.83,1.38,78.18,0.75,3.48,Meghalaya_Shillong
2005-02-11,0.0,20.55,7.99,1.26,72.94,0.75,3.75,Meghalaya_Shillong
2005-02-12,0.0,20.18,8.2,1.75,72.15,0.75,3.36,Meghalaya_Shillong
2005-02-13,1.1,19.88,7.41,2.74,72.36,0.75,3.6,Meghalaya_Shillong
2005-02-14,0.06,19.03,7.92,2.58,64.82,0.74,3.78,Meghalaya_Shillong
2005-02-15,0.0,18.38,6.66,2.2,71.55,0.74,3.13,Meghalaya_Shillong
2005-02-16,1.08,19.03,7.22,2.16,80.44,0.74,2.74,Meghalaya_Shillong
