date,rainfall_mm,temp_max,temp_min,wind_speed,humidity,soil_moisture,evapotranspiration,station
2005-01-01,0.0,23.84,10.1,0.97,71.65,0.57,1.55,Meghna_Bhairab Bazar
2005-01-02,0.0,23.84,11.88,1.02,73.29,0.57,1.18,Meghna_Bhairab Bazar
2005-01-03,0.0,25.4,13.97,0.98,72.4,0.57,1.38,Meghna_Bhairab Bazar
2005-01-04,0.0,23.24,15.2,0.91,76.25,0.56,0.48,Meghna_Bhairab Bazar
2005-01-05,0.0,25.54,12.51,1.55,77.32,0.56,1.43,Meghna_Bhairab Bazar
2005-01-06,0.0,25.3,12.77,1.09,71.18,0.56,1.42,Meghna_Bhairab Bazar
2005-01-07,0.0,25.47,13.12,1.12,72.76,0.55,1.37,Meghna_Bhairab Bazar
2005-01-08,0.0,25.27,12.84,1.23,69.85,0.55,1.36,Meghna_Bhairab Bazar
2005-01-09,0.0,23.6,12.41,1.18,71.34,0.55,1.21,Meghna_Bhairab Bazar
2005-01-10,0.06,23.28,11.0,1.0,63.15,0.55,1.03,Meghna_Bhairab Bazar
2005-01-11,1.87,23.83,10.53,1.26,70.52,0.54,0.95,Meghna_Bhairab Bazar
2005-01-12,0.92,23.68,11.28,1.6,72.97,0.54,1.19,Meghna_Bhairab Bazar
2005-01-13,0.0,22.89,11.02,1.18,72.11,0.54,1.05,Meghna_Bhairab Bazar
2005-01-14,0.0,23.37,10.85,0.99,71.68,0.54,1.02,Meghna_Bhairab Bazar
2005-01-15,0.0,24.08,10.56,1.25,70.63,0.54,1.07,Meghna_Bhairab Bazar
2005-01-16,0.0,24.82,12.38,1.2,65.4,0.53,1.08,Meghna_Bhairab Bazar
2005-01-17,0.0,24.68,11.24,1.29,66.69,0.53,1.09,Meghna_Bhairab Bazar
2005-01-18,0.2,25.09,11.43,1.25,69.22,0.53,0.97,Meghna_Bhairab Bazar
2005-01-19,0.43,23.41,13.28,1.28,74.96,0.53,0.68,Meghna_Bhairab Bazar
2005-01-20,0.0,23.98,12.0,1.58,69.31,0.52,1.03,Meghna_Bhairab Bazar
2005-01-21,0.0,22.2,9.07,1.8,68.12,0.52,0.79,Meghna_Bhairab Bazar
2005-01-22,0.0,22.69,9.97,1.25,64.59,0.52,0.7,Meghna_Bhairab Bazar
2005-01-23,0.37,25.67,10.8,1.39,60.74,0.52,0.96,Meghna_Bhairab Bazar
2005-01-24,0.03,24.81,12.82,1.18,72.47,0.51,0.91,Meghna_Bhairab Bazar
2005-01-25,0.0,23.89,12.63,1.38,71.04,0.51,0.85,Meghna_Bhairab Bazar
2005-01-26,0.0,24.96,10.71,1.57,68.79,0.51,0.99,Meghna_Bhairab Bazar
2005-01-27,0.0,25.81,12.06,1.38,62.57,0.51,0.99,Meghna_Bhairab Bazar
2005-01-28,0.0,24.29,12.43,1.38,64.95,0.5,0.63,Meghna_Bhairab Bazar
2005-01-29,0.03,25.19,13.94,1.4,61.53,0.5,0.87,Meghna_Bhairab Bazar
2005-01-30,0.0,27.0,11.76,1.62,62.26,0.5,0.96,Meghna_Bhairab Bazar
2005-01-31,0.0,29.49,12.84,1.47,59.11,0.49,1.04,Meghna_Bhairab Bazar
2005-02-01,0.15,27.74,14.07,2.08,69.37,0.49,0.87,Meghna_Bhairab Bazar
2005-02-02,0.0,25.79,13.32,2.13,70.22,0.49,0.86,Meghna_Bhairab Bazar
2005-02-03,0.0,24.22,10.03,1.68,59.23,0.48,0.79,Meghna_Bhairab Bazar
2005-02-04,0.0,25.51,9.29,1.36,58.15,0.48,0.83,Meghna_Bhairab Bazar
2005-02-05,0.0,26.49,11.15,1.26,55.25,0.48,0.78,Meghna_Bhairab Bazar
2005-02-06,0.0,28.16,11.8,1.28,52.02,0.48,0.72,Meghna_Bhairab Bazar
2005-02-07,0.0,29.53,13.7,1.06,54.29,0.47,0.82,Meghna_Bhairab Bazar
2005-02-08,0.0,30.25,14.07,1.68,58.49,0.47,0.85,Meghna_Bhairab Bazar
2005-02-09,0.0,30.11,14.99,1.36,58.52,0.47,0.83,Meghna_Bhairab Bazar
2005-02-10,0.0,30.0,15.58,1.54,60.13,0.47,0.78,Meghna_Bhairab Bazar
2005-02-11,0.0,30.04,15.43,1.34,53.61,0.46,0.78,Meghna_Bhairab Bazar
2005-02-12,0.0,31.49,16.29,1.5,51.64,0.46,0.77,Meghna_Bhairab Bazar
2005-02-13,0.03,32.86,15.42,2.31,61.16,0.46,0.77,Meghna_Bhairab Bazar
2005-02-14,0.0,31.82,15.33,2.55,53.76,0.45,0.79,Meghna_Bhairab Bazar
2005-02-15,0.0,30.97,15.55,2.37,62.51,0.45,0.69,Meghna_Bhairab Bazar
2005-02-16,0.39,31.86,18.15,3.34,73.09,0.45,0.67,Meghna_Bhairab Bazar
2005-02-17,6.81,31.52,19.6,2.16,77.41,0.45,0.6,Meghna_Bhairab Bazar
2005-02-18,3.95,31.47,19.75,2.01,76.12,0.46,0.68,Meghna_Bhairab Bazar
2005-02-19,0.2,33.04,19.04,1.53,68.89,0.46,0.77,Meghna_Bhairab Bazar
2005-02-20,0.16,33.62,19.09,1.52,65.46,0.45,0.77,Meghna_Bhairab Bazar
2005-02-21,0.0,34.62,19.57,1.66,57.37,0.45,0.73,Meghna_Bhairab Bazar
2005-02-22,0.11,33.37,18.69,1.41,50.46,0.44,0.74,Meghna_Bhairab Bazar
2005-02-23,0.06,31.05,16.38,1.87,55.18,0.44,0.62,Meghna_Bhairab Bazar
2005-02-24,0.0,30.65,17.2,1.54,54.83,0.44,0.61,Meghna_Bhairab Bazar
2005-02-25,0.0,30.2,15.05,1.62,43.2,0.43,0.54,Meghna_Bhairab Bazar
