date,rainfall_mm,temp_max,temp_min,wind_speed,humidity,soil_moisture,evapotranspiration,station
2005-01-01,0.0,23.76,11.97,1.12,68.97,0.57,1.78,Meghna_Chandpur
2005-01-02,0.0,23.41,13.89,1.14,72.67,0.57,1.23,Meghna_Chandpur
2005-01-03,0.0,24.11,15.34,1.23,73.88,0.57,1.21,Meghna_Chandpur
2005-01-04,0.0,22.64,15.84,1.68,81.15,0.57,0.6,Meghna_Chandpur
2005-01-05,0.0,25.29,13.76,2.55,77.51,0.57,1.79,Meghna_Chandpur
2005-01-06,0.0,24.8,12.16,1.89,74.7,0.56,1.8,Meghna_Chandpur
2005-01-07,0.0,24.57,12.52,2.05,78.47,0.56,1.58,Meghna_Chandpur
2005-01-08,0.0,24.8,12.14,2.02,75.38,0.55,1.58,Meghna_Chandpur
2005-01-09,0.0,23.46,12.19,1.86,70.33,0.55,1.45,Meghna_Chandpur
2005-01-10,0.0,23.99,12.96,0.95,60.48,0.55,1.56,Meghna_Chandpur
2005-01-11,3.99,23.83,12.62,2.25,83.1,0.55,1.01,Meghna_Chandpur
2005-01-12,3.57,23.71,14.29,2.61,75.08,0.56,1.69,Meghna_Chandpur
2005-01-13,0.0,22.39,10.99,2.59,74.89,0.55,1.28,Meghna_Chandpur
2005-01-14,0.0,22.9,10.66,1.89,73.81,0.55,1.29,Meghna_Chandpur
2005-01-15,0.0,23.54,11.08,1.75,68.46,0.54,1.32,Meghna_Chandpur
2005-01-16,0.0,24.17,13.39,1.48,64.43,0.54,1.16,Meghna_Chandpur
2005-01-17,0.0,24.37,12.42,1.34,63.12,0.54,1.33,Meghna_Chandpur
2005-01-18,0.17,24.95,13.73,1.0,65.15,0.54,1.26,Meghna_Chandpur
2005-01-19,0.17,24.01,14.01,1.59,74.87,0.53,1.06,Meghna_Chandpur
2005-01-20,0.0,23.91,12.75,2.09,71.51,0.53,1.29,Meghna_Chandpur
2005-01-21,0.0,22.49,10.42,2.86,67.37,0.53,1.13,Meghna_Chandpur
2005-01-22,0.0,23.58,10.3,2.32,70.11,0.53,1.11,Meghna_Chandpur
2005-01-23,0.0,25.45,11.49,1.23,60.28,0.52,1.34,Meghna_Chandpur
2005-01-24,0.01,25.21,13.68,1.28,68.5,0.52,1.22,Meghna_Chandpur
2005-01-25,0.0,23.87,13.36,2.46,70.83,0.52,1.09,Meghna_Chandpur
