date,rainfall_mm,temp_max,temp_min,wind_speed,humidity,soil_moisture,evapotranspiration,station
2005-01-01,0.0,22.05,10.53,0.7,51.33,0.42,0.11,Nepal_Birganj
2005-01-02,0.0,24.24,12.89,0.78,51.64,0.42,0.16,Nepal_Birganj
2005-01-03,0.06,27.56,12.91,1.57,48.9,0.42,0.21,Nepal_Birganj
2005-01-04,0.2,26.12,12.72,2.4,52.0,0.42,0.2,Nepal_Birganj
2005-01-05,0.0,24.14,10.64,1.08,46.46,0.42,0.17,Nepal_Birganj
2005-01-06,0.0,25.67,11.21,1.08,45.88,0.41,0.17,Nepal_Birganj
2005-01-07,0.0,24.32,11.31,1.51,43.76,0.41,0.16,Nepal_Birganj
2005-01-08,0.0,23.16,11.07,0.98,41.21,0.41,0.14,Nepal_Birganj
2005-01-09,0.0,23.08,10.8,1.35,43.9,0.41,0.13,Nepal_Birganj
2005-01-10,0.0,22.44,9.85,1.03,43.17,0.41,0.11,Nepal_Birganj
2005-01-11,0.0,23.02,10.09,1.3,41.2,0.41,0.11,Nepal_Birganj
2005-01-12,0.0,21.3,9.01,1.3,49.28,0.41,0.1,Nepal_Birganj
2005-01-13,0.0,21.66,10.25,1.46,46.0,0.41,0.1,Nepal_Birganj
2005-01-14,0.0,22.59,10.01,1.31,39.42,0.4,0.11,Nepal_Birganj
2005-01-15,0.0,23.58,8.33,1.39,41.21,0.4,0.11,Nepal_Birganj
2005-01-16,0.23,25.46,12.2,1.08,39.7,0.4,0.12,Nepal_Birganj
2005-01-17,1.1,25.67,12.38,1.39,48.86,0.4,0.13,Nepal_Birganj
2005-01-18,7.0,19.66,12.55,1.7,70.15,0.41,0.04,Nepal_Birganj
2005-01-19,4.23,21.14,10.78,1.61,65.6,0.42,0.11,Nepal_Birganj
2005-01-20,0.0,22.0,8.95,1.6,55.65,0.42,0.14,Nepal_Birganj
2005-01-21,0.04,22.95,9.98,0.96,38.84,0.42,0.13,Nepal_Birganj
2005-01-22,0.56,23.04,11.46,1.62,50.97,0.41,0.14,Nepal_Birganj
2005-01-23,20.83,19.38,11.74,1.85,73.91,0.43,0.07,Nepal_Birganj
2005-01-24,0.01,20.99,9.94,0.71,66.54,0.45,0.18,Nepal_Birganj
2005-01-25,5.81,21.69,9.1,1.73,62.78,0.46,0.26,Nepal_Birganj
2005-01-26,0.0,23.27,9.15,2.01,55.68,0.45,0.27,Nepal_Birganj
2005-01-27,0.0,25.28,11.36,1.44,45.12,0.45,0.35,Nepal_Birganj
2005-01-28,0.61,18.36,12.54,1.01,56.2,0.45,0.07,Nepal_Birganj
2005-01-29,0.1,24.58,10.73,1.09,61.05,0.45,0.34,Nepal_Birganj
2005-01-30,0.07,25.24,14.71,1.14,52.7,0.45,0.27,Nepal_Birganj
2005-01-31,4.24,19.49,14.02,1.5,63.21,0.45,0.08,Nepal_Birganj
2005-02-01,0.15,23.73,12.57,2.42,70.14,0.45,0.29,Nepal_Birganj
2005-02-02,0.04,22.82,9.24,2.21,57.55,0.45,0.31,Nepal_Birganj
2005-02-03,0.0,23.0,8.84,1.31,48.46,0.45,0.29,Nepal_Birganj
2005-02-04,0.0,22.93,9.9,1.29,43.13,0.44,0.23,Nepal_Birganj
