date,rainfall_mm,temp_max,temp_min,wind_speed,humidity,soil_moisture,evapotranspiration,station
2005-01-01,0.0,24.83,11.45,1.21,69.88,0.54,0.76,Padma_Faridpur
2005-01-02,0.0,24.69,13.07,1.15,72.73,0.54,0.58,Padma_Faridpur
2005-01-03,0.0,25.18,14.2,1.39,74.32,0.53,0.63,Padma_Faridpur
2005-01-04,0.0,24.13,15.41,1.57,76.25,0.53,0.38,Padma_Faridpur
2005-01-05,0.0,26.15,12.99,2.03,72.39,0.53,0.75,Padma_Faridpur
2005-01-06,0.0,25.7,11.04,1.74,69.81,0.53,0.74,Padma_Faridpur
2005-01-07,0.0,25.47,11.93,2.01,73.85,0.52,0.64,Padma_Faridpur
2005-01-08,0.0,25.72,11.59,1.92,68.84,0.52,0.67,Padma_Faridpur
2005-01-09,0.0,24.07,11.26,1.77,64.65,0.52,0.58,Padma_Faridpur
2005-01-10,0.01,25.0,11.42,1.13,52.21,0.52,0.56,Padma_Faridpur
2005-01-11,3.98,24.95,11.26,1.68,78.17,0.52,0.42,Padma_Faridpur
2005-01-12,1.05,24.23,13.44,2.2,75.08,0.52,0.66,Padma_Faridpur
2005-01-13,0.0,22.82,10.45,2.38,71.1,0.52,0.51,Padma_Faridpur
2005-01-14,0.0,23.71,10.21,1.74,68.32,0.51,0.5,Padma_Faridpur
2005-01-15,0.0,24.66,11.19,1.48,61.05,0.51,0.53,Padma_Faridpur
2005-01-16,0.0,25.15,12.93,1.33,58.63,0.51,0.49,Padma_Faridpur
2005-01-17,0.0,25.29,12.4,1.2,60.6,0.51,0.53,Padma_Faridpur
2005-01-18,0.79,25.1,13.3,1.06,66.83,0.5,0.43,Padma_Faridpur
2005-01-19,0.95,23.65,13.68,1.56,77.18,0.5,0.31,Padma_Faridpur
2005-01-20,0.0,24.3,11.87,1.98,67.83,0.5,0.54,Padma_Faridpur
2005-01-21,0.0,22.7,9.79,2.2,61.39,0.5,0.42,Padma_Faridpur
2005-01-22,0.0,22.14,10.22,2.44,71.63,0.5,0.32,Padma_Faridpur
2005-01-23,0.05,26.43,11.95,1.62,62.49,0.5,0.57,Padma_Faridpur
2005-01-24,0.1,25.18,13.65,1.6,71.05,0.49,0.46,Padma_Faridpur
2005-01-25,0.0,24.31,12.71,2.32,67.55,0.49,0.46,Padma_Faridpur
2005-01-26,0.0,25.83,11.32,1.94,64.17,0.49,0.49,Padma_Faridpur
2005-01-27,0.0,26.55,13.71,1.35,59.71,0.49,0.5,Padma_Faridpur
2005-01-28,0.09,23.51,13.56,1.63,63.16,0.48,0.23,Padma_Faridpur
2005-01-29,0.31,25.43,14.13,2.34,66.01,0.48,0.4,Padma_Faridpur
2005-01-30,0.02,27.28,13.35,2.41,62.54,0.48,0.46,Padma_Faridpur
2005-01-31,0.0,29.49,12.89,2.18,62.71,0.48,0.51,Padma_Faridpur
2005-02-01,0.12,26.89,14.85,2.9,69.05,0.47,0.38,Padma_Faridpur
2005-02-02,0.01,26.21,14.33,2.59,67.0,0.47,0.41,Padma_Faridpur
2005-02-03,0.0,24.29,10.25,2.31,57.28,0.47,0.33,Padma_Faridpur
2005-02-04,0.0,25.17,9.45,2.17,59.44,0.47,0.32,Padma_Faridpur
2005-02-05,0.0,26.69,11.58,1.62,54.13,0.46,0.32,Padma_Faridpur
2005-02-06,0.0,28.7,13.3,1.03,49.14,0.46,0.34,Padma_Faridpur
2005-02-07,0.0,30.34,16.5,0.97,50.65,0.46,0.4,Padma_Faridpur
2005-02-08,0.0,30.26,15.44,2.12,56.61,0.46,0.36,Padma_Faridpur
2005-02-09,0.0,30.43,14.88,1.82,65.01,0.45,0.36,Padma_Faridpur
2005-02-10,0.0,30.52,16.28,1.91,57.3,0.45,0.34,Padma_Faridpur
2005-02-11,0.0,30.88,15.87,1.54,48.67,0.45,0.34,Padma_Faridpur
2005-02-12,0.0,32.72,17.36,1.65,46.73,0.45,0.33,Padma_Faridpur
2005-02-13,0.0,33.75,17.19,3.16,53.9,0.44,0.35,Padma_Faridpur
2005-02-14,0.0,32.91,16.15,3.34,47.02,0.44,0.34,Padma_Faridpur
2005-02-15,0.0,31.94,15.87,2.25,50.9,0.44,0.28,Padma_Faridpur
2005-02-16,0.05,33.91,17.86,2.41,61.36,0.43,0.25,Padma_Faridpur
2005-02-17,0.35,34.11,19.9,1.37,61.98,0.43,0.29,Padma_Faridpur
2005-02-18,1.15,33.91,20.65,1.5,65.05,0.43,0.27,Padma_Faridpur
2005-02-19,0.37,34.69,20.99,1.39,61.33,0.43,0.24,Padma_Faridpur
2005-02-20,0.14,34.61,20.67,1.31,56.01,0.43,0.22,Padma_Faridpur
2005-02-21,0.15,35.38,22.19,1.6,46.82,0.42,0.21,Padma_Faridpur
2005-02-22,0.26,33.9,19.3,1.84,46.3,0.42,0.22,Padma_Faridpur
2005-02-23,0.02,31.88,17.64,1.69,52.92,0.42,0.17,Padma_Faridpur
2005-02-24,0.0,31.42,18.14,1.84,52.97,0.42,0.15,Padma_Faridpur
2005-02-25,0.0,31.46,15.57,1.91,38.64,0.41,0.14,Padma_Faridpur
2005-02-26,0.0,33.27,16.39,2.09,38.3,0.41,0.15,Padma_Faridpur
2005-02-27,0.0,32.87,17.41,1.73,35.88,0.41,0.14,Padma_Faridpur
2005-02-28,0.0,32.97,18.92,1.5,34.39,0.41,0.13,Padma_Faridpur
2005-03-01,0.0,34.62,18.21,1.71,36.69,0.41,0.12,Padma_Faridpur
2005-03-02,0.0,36.27,20.07,1.7,35.21,0.4,0.11,Padma_Faridpur
2005-03-03,0.0,36.76,19.8,2.01,39.84,0.4,0.11,Padma_Faridpur
2005-03-04,0.0,37.47,19.75,1.75,36.93,0.4,0.1,Padma_Faridpur
2005-03-05,0.0,38.46,21.34,1.49,51.32,0.4,0.09,Padma_Faridpur
2005-03-06,0.0,38.26,23.66,2.35,46.96,0.4,0.09,Padma_Faridpur
2005-03-07,0.04,37.71,22.15,1.96,54.46,0.39,0.08,Padma_Faridpur
