date,rainfall_mm,temp_max,temp_min,wind_speed,humidity,soil_moisture,evapotranspiration,station
2005-01-01,0.0,24.05,11.62,1.18,71.93,0.55,0.78,Padma_Manikganj
2005-01-02,0.0,23.79,12.92,1.02,76.16,0.55,0.58,Padma_Manikganj
2005-01-03,0.0,24.67,14.28,1.22,75.2,0.55,0.63,Padma_Manikganj
2005-01-04,0.0,23.95,14.93,1.4,75.71,0.55,0.37,Padma_Manikganj
2005-01-05,0.0,25.59,13.32,1.7,72.52,0.55,0.77,Padma_Manikganj
2005-01-06,0.0,25.3,10.96,1.61,74.42,0.54,0.71,Padma_Manikganj
2005-01-07,0.0,24.94,11.78,1.85,75.85,0.54,0.63,Padma_Manikganj
2005-01-08,0.0,25.23,11.52,1.8,72.45,0.54,0.66,Padma_Manikganj
2005-01-09,0.0,23.47,11.38,1.68,69.42,0.53,0.56,Padma_Manikganj
2005-01-10,0.06,24.33,10.62,1.37,56.66,0.53,0.53,Padma_Manikganj
2005-01-11,2.4,24.46,10.7,1.64,73.76,0.53,0.41,Padma_Manikganj
2005-01-12,0.22,23.64,11.87,1.86,75.82,0.53,0.6,Padma_Manikganj
2005-01-13,0.0,22.24,9.95,2.16,73.65,0.53,0.46,Padma_Manikganj
2005-01-14,0.0,23.22,10.01,1.54,69.47,0.53,0.48,Padma_Manikganj
2005-01-15,0.0,24.08,11.39,1.23,61.58,0.52,0.5,Padma_Manikganj
2005-01-16,0.0,24.66,12.56,1.14,60.31,0.52,0.48,Padma_Manikganj
2005-01-17,0.0,24.6,11.95,1.12,62.68,0.52,0.46,Padma_Manikganj
2005-01-18,1.12,24.52,12.7,1.21,70.53,0.52,0.37,Padma_Manikganj
2005-01-19,1.51,23.68,13.98,1.51,78.12,0.52,0.31,Padma_Manikganj
2005-01-20,0.0,23.66,11.57,1.96,68.5,0.52,0.52,Padma_Manikganj
2005-01-21,0.0,21.77,9.86,1.86,61.81,0.51,0.35,Padma_Manikganj
2005-01-22,0.01,21.67,10.05,2.31,74.03,0.51,0.26,Padma_Manikganj
2005-01-23,0.4,25.71,11.96,1.77,65.45,0.51,0.5,Padma_Manikganj
2005-01-24,0.21,24.22,14.01,1.33,72.94,0.51,0.39,Padma_Manikganj
2005-01-25,0.0,23.54,12.65,2.13,69.22,0.51,0.44,Padma_Manikganj
2005-01-26,0.0,25.14,10.77,1.79,65.71,0.5,0.49,Padma_Manikganj
2005-01-27,0.0,25.99,13.86,1.19,59.84,0.5,0.49,Padma_Manikganj
2005-01-28,0.17,22.43,13.19,1.38,65.21,0.5,0.19,Padma_Manikganj
2005-01-29,0.27,24.73,13.67,2.22,67.18,0.5,0.38,Padma_Manikganj
2005-01-30,0.03,26.8,13.09,2.17,64.56,0.49,0.45,Padma_Manikganj
2005-01-31,0.0,29.07,12.21,2.0,64.44,0.49,0.54,Padma_Manikganj
2005-02-01,0.2,26.22,14.77,2.94,71.92,0.49,0.38,Padma_Manikganj
2005-02-02,0.03,25.53,14.09,2.62,66.93,0.49,0.43,Padma_Manikganj
2005-02-03,0.0,23.7,9.77,2.03,59.33,0.48,0.34,Padma_Manikganj
2005-02-04,0.0,24.62,9.04,1.95,63.22,0.48,0.33,Padma_Manikganj
2005-02-05,0.0,26.1,11.13,1.49,57.31,0.48,0.34,Padma_Manikganj
2005-02-06,0.0,27.87,13.14,1.14,50.07,0.48,0.33,Padma_Manikganj
2005-02-07,0.0,29.73,15.26,1.13,53.46,0.47,0.42,Padma_Manikganj
2005-02-08,0.0,28.75,14.78,2.0,60.5,0.47,0.34,Padma_Manikganj
2005-02-09,0.0,29.84,14.22,1.65,67.91,0.47,0.37,Padma_Manikganj
2005-02-10,0.0,30.08,16.2,1.74,57.94,0.46,0.36,Padma_Manikganj
2005-02-11,0.0,30.37,15.86,1.34,49.63,0.46,0.36,Padma_Manikganj
2005-02-12,0.0,31.94,16.71,1.72,48.37,0.46,0.36,Padma_Manikganj
2005-02-13,0.0,33.11,16.62,3.38,53.52,0.46,0.38,Padma_Manikganj
2005-02-14,0.0,32.47,16.52,3.69,46.59,0.45,0.37,Padma_Manikganj
2005-02-15,0.0,31.26,15.14,2.36,53.83,0.45,0.3,Padma_Manikganj
2005-02-16,0.09,33.1,16.87,2.24,58.68,0.45,0.28,Padma_Manikganj
2005-02-17,0.73,33.52,19.35,1.15,56.35,0.44,0.31,Padma_Manikganj
2005-02-18,2.73,32.74,20.34,1.62,67.89,0.44,0.27,Padma_Manikganj
2005-02-19,0.35,34.11,20.29,1.19,61.33,0.44,0.29,Padma_Manikganj
2005-02-20,0.26,33.98,20.56,1.36,55.81,0.44,0.26,Padma_Manikganj
2005-02-21,0.38,35.32,21.95,1.8,49.93,0.44,0.26,Padma_Manikganj
2005-02-22,0.19,33.76,18.77,2.12,46.69,0.44,0.26,Padma_Manikganj
2005-02-23,0.12,30.65,17.39,1.99,57.87,0.43,0.19,Padma_Manikganj
2005-02-24,0.0,30.9,17.85,1.76,52.33,0.43,0.19,Padma_Manikganj
2005-02-25,0.0,31.07,15.16,1.88,39.0,0.43,0.17,Padma_Manikganj
