date,rainfall_mm,temp_max,temp_min,wind_speed,humidity,soil_moisture,evapotranspiration,station
2005-01-01,0.0,22.8,9.71,1.1,78.79,0.6,1.26,Padma_Rajshahi
2005-01-02,0.0,21.45,12.24,0.81,77.16,0.59,0.66,Padma_Rajshahi
2005-01-03,0.0,23.4,12.24,1.1,79.46,0.59,0.98,Padma_Rajshahi
2005-01-04,0.0,25.15,13.96,1.21,74.84,0.59,1.17,Padma_Rajshahi
2005-01-05,0.0,24.22,11.34,1.74,71.25,0.59,1.44,Padma_Rajshahi
2005-01-06,0.0,24.18,8.91,1.34,65.2,0.58,1.31,Padma_Rajshahi
2005-01-07,0.0,23.78,9.31,1.42,62.81,0.58,1.26,Padma_Rajshahi
2005-01-08,0.0,24.09,10.28,1.41,63.44,0.58,1.23,Padma_Rajshahi
2005-01-09,0.0,22.03,8.56,1.38,61.46,0.57,1.03,Padma_Rajshahi
2005-01-10,0.01,23.55,8.11,1.37,58.89,0.57,1.02,Padma_Rajshahi
2005-01-11,2.09,23.23,9.62,1.57,72.46,0.57,0.74,Padma_Rajshahi
2005-01-12,0.0,22.16,9.16,1.58,77.73,0.57,0.99,Padma_Rajshahi
2005-01-13,0.0,21.45,10.25,1.43,68.69,0.57,0.87,Padma_Rajshahi
2005-01-14,0.0,22.5,9.26,1.0,61.38,0.56,0.92,Padma_Rajshahi
2005-01-15,0.0,23.26,11.16,0.86,57.15,0.56,0.93,Padma_Rajshahi
2005-01-16,0.0,24.27,12.66,0.72,56.74,0.56,0.95,Padma_Rajshahi
2005-01-17,0.01,23.79,12.05,0.96,64.63,0.56,0.9,Padma_Rajshahi
2005-01-18,4.99,22.91,11.74,1.67,77.19,0.56,0.65,Padma_Rajshahi
2005-01-19,0.43,23.94,13.57,1.36,78.52,0.56,1.05,Padma_Rajshahi
2005-01-20,0.01,22.62,9.68,1.83,64.89,0.56,1.14,Padma_Rajshahi
2005-01-21,0.0,21.26,8.88,1.3,58.33,0.56,0.65,Padma_Rajshahi
2005-01-22,0.04,21.32,9.75,1.94,70.63,0.55,0.5,Padma_Rajshahi
2005-01-23,1.76,24.13,11.38,1.81,70.57,0.55,0.96,Padma_Rajshahi
2005-01-24,0.32,23.46,12.86,1.0,74.98,0.55,0.89,Padma_Rajshahi
2005-01-25,0.0,21.93,11.43,1.69,72.38,0.55,0.89,Padma_Rajshahi
2005-01-26,0.0,24.55,9.67,1.78,64.59,0.55,1.11,Padma_Rajshahi
2005-01-27,0.0,25.21,12.34,1.17,59.41,0.54,1.11,Padma_Rajshahi
2005-01-28,1.42,21.86,13.41,1.17,69.43,0.54,0.37,Padma_Rajshahi
2005-01-29,0.17,22.86,11.61,1.58,69.52,0.54,0.73,Padma_Rajshahi
2005-01-30,0.11,24.77,12.88,1.69,67.55,0.54,0.86,Padma_Rajshahi
2005-01-31,0.03,26.68,11.61,2.35,69.81,0.54,1.06,Padma_Rajshahi
2005-02-01,0.8,22.12,14.07,2.96,81.11,0.53,0.48,Padma_Rajshahi
2005-02-02,0.03,24.56,11.56,2.51,70.03,0.53,1.06,Padma_Rajshahi
2005-02-03,0.0,22.52,8.09,1.67,59.57,0.53,0.78,Padma_Rajshahi
2005-02-04,0.0,23.59,9.09,1.33,54.13,0.53,0.83,Padma_Rajshahi
2005-02-05,0.0,25.34,11.23,1.14,47.66,0.52,0.87,Padma_Rajshahi
2005-02-06,0.0,27.25,12.93,1.01,51.65,0.52,0.91,Padma_Rajshahi
2005-02-07,0.0,29.28,15.01,1.0,56.24,0.52,1.12,Padma_Rajshahi
2005-02-08,0.38,23.53,13.58,1.97,77.17,0.52,0.36,Padma_Rajshahi
2005-02-09,0.0,28.92,12.95,1.44,70.95,0.51,1.0,Padma_Rajshahi
2005-02-10,0.0,29.25,13.34,1.76,57.2,0.51,1.07,Padma_Rajshahi
2005-02-11,0.0,29.91,13.01,1.41,48.07,0.51,1.04,Padma_Rajshahi
2005-02-12,0.0,31.33,14.85,1.93,53.54,0.5,1.07,Padma_Rajshahi
2005-02-13,0.0,32.23,15.41,3.9,52.03,0.5,1.16,Padma_Rajshahi
2005-02-14,0.0,31.84,15.73,4.13,45.09,0.5,1.05,Padma_Rajshahi
2005-02-15,0.0,30.89,14.52,2.61,52.19,0.49,0.86,Padma_Rajshahi
