date,rainfall_mm,temp_max,temp_min,wind_speed,humidity,soil_moisture,evapotranspiration,station
2005-01-01,0.0,25.64,11.21,1.14,68.85,0.57,0.47,Pasur_Khulna
2005-01-02,0.0,25.82,12.83,1.03,70.92,0.56,0.37,Pasur_Khulna
2005-01-03,0.0,26.87,14.0,1.34,73.28,0.56,0.49,Pasur_Khulna
2005-01-04,0.0,24.71,15.41,1.41,73.8,0.56,0.26,Pasur_Khulna
2005-01-05,0.0,27.17,12.59,1.91,68.57,0.56,0.52,Pasur_Khulna
2005-01-06,0.0,26.88,10.26,1.64,59.78,0.56,0.52,Pasur_Khulna
2005-01-07,0.0,26.48,10.36,1.8,62.33,0.55,0.45,Pasur_Khulna
2005-01-08,0.0,26.65,10.87,1.64,60.23,0.55,0.43,Pasur_Khulna
2005-01-09,0.0,25.28,10.6,1.63,57.26,0.55,0.4,Pasur_Khulna
2005-01-10,0.0,26.69,10.84,1.12,48.21,0.55,0.39,Pasur_Khulna
2005-01-11,8.78,25.81,11.89,1.52,74.27,0.56,0.3,Pasur_Khulna
2005-01-12,1.5,25.22,13.58,2.01,75.53,0.56,0.48,Pasur_Khulna
2005-01-13,0.0,23.94,10.56,1.91,68.31,0.56,0.37,Pasur_Khulna
2005-01-14,0.0,24.5,10.75,1.48,63.09,0.56,0.35,Pasur_Khulna
2005-01-15,0.0,25.65,11.85,1.24,57.17,0.55,0.38,Pasur_Khulna
2005-01-16,0.0,26.2,13.95,1.06,54.53,0.55,0.34,Pasur_Khulna
2005-01-17,0.0,26.57,13.19,0.95,55.37,0.55,0.39,Pasur_Khulna
2005-01-18,0.52,26.4,14.35,0.81,64.02,0.55,0.24,Pasur_Khulna
2005-01-19,1.63,24.77,14.6,1.35,74.94,0.55,0.22,Pasur_Khulna
2005-01-20,0.0,25.41,11.34,1.83,65.75,0.55,0.39,Pasur_Khulna
2005-01-21,0.0,24.02,9.25,1.84,56.73,0.54,0.31,Pasur_Khulna
2005-01-22,0.0,23.25,9.16,2.29,62.61,0.54,0.24,Pasur_Khulna
2005-01-23,0.02,28.02,11.6,1.36,61.08,0.54,0.42,Pasur_Khulna
2005-01-24,0.06,26.6,14.27,1.47,67.9,0.54,0.32,Pasur_Khulna
2005-01-25,0.0,25.6,12.73,2.17,63.86,0.53,0.32,Pasur_Khulna
2005-01-26,0.0,27.15,10.84,1.78,59.59,0.53,0.33,Pasur_Khulna
2005-01-27,0.0,28.02,13.68,1.31,57.43,0.53,0.34,Pasur_Khulna
2005-01-28,0.51,25.12,13.77,1.49,61.12,0.53,0.14,Pasur_Khulna
2005-01-29,0.9,25.64,14.37,2.14,66.11,0.53,0.23,Pasur_Khulna
2005-01-30,0.03,28.45,13.35,2.27,59.14,0.53,0.3,Pasur_Khulna
2005-01-31,0.0,30.52,13.09,2.17,59.83,0.53,0.34,Pasur_Khulna
2005-02-01,0.16,27.87,14.33,2.71,64.12,0.52,0.24,Pasur_Khulna
2005-02-02,0.01,27.59,13.86,2.4,63.19,0.52,0.27,Pasur_Khulna
2005-02-03,0.0,25.34,9.59,2.1,51.99,0.52,0.2,Pasur_Khulna
2005-02-04,0.0,26.49,9.27,1.95,50.11,0.52,0.21,Pasur_Khulna
2005-02-05,0.0,28.1,11.69,1.5,45.34,0.52,0.21,Pasur_Khulna
2005-02-06,0.0,30.13,14.33,0.85,45.44,0.51,0.22,Pasur_Khulna
