date,rainfall_mm,temp_max,temp_min,wind_speed,humidity,soil_moisture,evapotranspiration,station
2023-11-06,0.01,28.42,20.08,1.63,80.98,0.83,4.11,Rural Gopalganj
2023-11-07,0.0,27.59,18.28,1.48,79.08,0.82,3.47,Rural Gopalganj
2023-11-08,0.0,27.53,17.93,1.35,81.25,0.82,3.48,Rural Gopalganj
2023-11-09,0.0,27.78,18.18,1.4,80.39,0.81,3.77,Rural Gopalganj
2023-11-10,0.0,28.01,17.48,1.45,80.41,0.8,3.6,Rural Gopalganj
2023-11-11,0.0,28.13,17.39,1.51,83.87,0.8,3.78,Rural Gopalganj
2023-11-12,0.0,28.55,17.71,1.48,84.22,0.79,4.14,Rural Gopalganj
2023-11-13,0.0,28.2,17.5,1.47,83.04,0.78,4.05,Rural Gopalganj
2023-11-14,0.0,28.29,17.04,1.24,77.69,0.78,4.24,Rural Gopalganj
2023-11-15,0.01,28.35,17.47,1.1,74.76,0.77,3.15,Rural Gopalganj
2023-11-16,47.23,27.03,20.45,1.47,86.83,0.79,1.48,Rural Gopalganj
2023-11-17,77.59,25.69,21.01,3.33,93.47,0.85,0.91,Rural Gopalganj
2023-11-18,12.36,26.89,19.13,1.75,87.07,0.89,2.45,Rural Gopalganj
2023-11-19,0.14,27.66,18.31,1.3,83.35,0.88,3.18,Rural Gopalganj
2023-11-20,0.0,28.01,18.43,1.23,83.8,0.87,3.4,Rural Gopalganj
2023-11-21,0.01,27.62,19.8,1.3,80.95,0.87,2.84,Rural Gopalganj
2023-11-22,0.01,26.59,17.45,1.43,83.02,0.86,2.36,Rural Gopalganj
2023-11-23,0.0,25.72,15.42,1.42,81.18,0.86,2.18,Rural Gopalganj
2023-11-24,0.0,26.48,15.2,1.28,78.68,0.85,2.87,Rural Gopalganj
2023-11-25,0.0,27.16,15.6,1.41,78.22,0.84,3.13,Rural Gopalganj
2023-11-26,0.0,27.03,16.35,0.97,74.13,0.84,3.46,Rural Gopalganj
2023-11-27,0.0,27.72,15.99,0.94,76.41,0.83,2.62,Rural Gopalganj
2023-11-28,0.0,28.79,17.16,0.97,76.63,0.83,3.51,Rural Gopalganj
2023-11-29,0.0,27.57,16.61,0.89,76.12,0.82,2.28,Rural Gopalganj
2023-11-30,0.0,27.64,17.21,1.2,79.75,0.82,2.87,Rural Gopalganj
2023-12-01,0.0,27.77,16.89,1.5,83.06,0.81,3.25,Rural Gopalganj
2023-12-02,0.0,27.52,16.97,1.5,82.16,0.8,2.96,Rural Gopalganj
2023-12-03,0.0,28.05,17.63,1.45,83.86,0.8,2.98,Rural Gopalganj
2023-12-04,0.0,27.45,17.23,1.44,82.67,0.79,2.83,Rural Gopalganj
2023-12-05,8.29,24.97,19.39,1.1,83.24,0.79,1.15,Rural Gopalganj
2023-12-06,4.29,23.88,18.91,1.62,88.72,0.8,0.74,Rural Gopalganj
2023-12-07,11.04,22.76,18.95,2.16,94.02,0.81,0.49,Rural Gopalganj
2023-12-08,29.84,24.94,17.77,1.8,92.11,0.85,1.41,Rural Gopalganj
2023-12-09,3.47,24.77,16.2,1.94,88.1,0.85,1.79,Rural Gopalganj
2023-12-10,0.0,23.75,14.0,1.37,80.39,0.85,1.88,Rural Gopalganj
2023-12-11,0.0,23.36,12.82,1.6,81.05,0.84,1.86,Rural Gopalganj
2023-12-12,0.01,24.04,12.09,1.45,82.37,0.84,1.96,Rural Gopalganj
2023-12-13,0.0,23.84,12.59,1.47,76.24,0.83,2.03,Rural Gopalganj
2023-12-14,0.0,22.57,12.04,1.32,69.79,0.83,1.8,Rural Gopalganj
2023-12-15,0.0,22.67,10.81,1.48,79.56,0.82,1.66,Rural Gopalganj
2023-12-16,0.0,22.78,10.42,1.6,82.76,0.82,1.48,Rural Gopalganj
2023-12-17,0.0,23.48,10.76,1.35,78.85,0.81,1.72,Rural Gopalganj
2023-12-18,0.0,23.18,10.46,1.35,81.07,0.81,1.76,Rural Gopalganj
2023-12-19,0.0,23.11,11.46,1.71,83.37,0.8,1.65,Rural Gopalganj
2023-12-20,0.0,23.99,11.27,1.58,85.65,0.8,2.0,Rural Gopalganj
2023-12-21,0.0,24.33,13.0,1.1,80.19,0.79,2.15,Rural Gopalganj
2023-12-22,0.0,24.61,15.01,0.56,73.95,0.79,2.33,Rural Gopalganj
2023-12-23,0.0,24.97,15.98,0.65,71.41,0.79,1.87,Rural Gopalganj
2023-12-24,0.0,25.4,15.17,0.87,77.18,0.78,2.11,Rural Gopalganj
2023-12-25,0.0,24.91,14.27,1.01,80.19,0.78,1.83,Rural Gopalganj
2023-12-26,0.0,24.69,14.8,1.0,78.37,0.77,1.61,Rural Gopalganj
2023-12-27,0.0,25.02,15.18,1.08,80.12,0.77,1.65,Rural Gopalganj
2023-12-28,0.0,24.8,14.21,1.15,83.53,0.77,1.8,Rural Gopalganj
2023-12-29,0.01,25.04,13.32,1.38,83.3,0.76,2.05,Rural Gopalganj
2023-12-30,0.2,25.06,13.92,1.68,84.85,0.76,2.11,Rural Gopalganj
2023-12-31,0.0,24.16,13.21,1.98,85.64,0.75,1.85,Rural Gopalganj
