date,rainfall_mm,temp_max,temp_min,wind_speed,humidity,soil_moisture,evapotranspiration,station
2005-01-01,0.0,22.23,13.05,0.94,71.72,0.65,2.63,Surma_Sunamganj
2005-01-02,0.0,22.57,13.84,0.88,72.66,0.65,2.24,Surma_Sunamganj
2005-01-03,0.0,24.84,15.02,1.04,72.02,0.65,2.85,Surma_Sunamganj
2005-01-04,0.0,22.64,15.14,0.89,73.39,0.65,1.33,Surma_Sunamganj
2005-01-05,0.0,24.93,14.24,1.23,70.0,0.64,2.96,Surma_Sunamganj
2005-01-06,0.0,24.12,12.61,1.11,73.85,0.64,2.73,Surma_Sunamganj
2005-01-07,0.0,23.75,12.17,1.36,72.95,0.64,2.72,Surma_Sunamganj
2005-01-08,0.0,24.12,13.65,1.07,66.97,0.63,2.87,Surma_Sunamganj
2005-01-09,0.0,22.34,13.2,1.07,71.04,0.63,2.5,Surma_Sunamganj
2005-01-10,0.68,21.48,12.67,0.99,72.34,0.63,1.86,Surma_Sunamganj
2005-01-11,0.68,22.04,11.22,1.29,74.36,0.63,1.99,Surma_Sunamganj
2005-01-12,0.0,22.52,11.6,1.33,71.63,0.63,2.42,Surma_Sunamganj
2005-01-13,0.0,21.0,11.05,1.21,71.08,0.62,2.0,Surma_Sunamganj
2005-01-14,0.0,21.35,10.69,1.1,71.44,0.62,2.1,Surma_Sunamganj
2005-01-15,0.0,22.15,12.64,1.13,71.9,0.62,2.29,Surma_Sunamganj
2005-01-16,0.0,22.83,12.64,1.18,69.26,0.62,2.37,Surma_Sunamganj
2005-01-17,0.0,22.36,12.32,1.17,68.16,0.61,2.42,Surma_Sunamganj
2005-01-18,0.54,24.58,13.18,0.88,65.15,0.61,2.57,Surma_Sunamganj
2005-01-19,1.42,23.02,14.68,0.98,75.34,0.61,1.74,Surma_Sunamganj
2005-01-20,0.0,22.18,11.62,1.45,72.52,0.61,2.52,Surma_Sunamganj
2005-01-21,0.0,21.32,9.73,1.39,69.02,0.6,1.88,Surma_Sunamganj
2005-01-22,0.0,20.92,11.45,1.08,62.5,0.6,1.41,Surma_Sunamganj
2005-01-23,2.84,21.76,12.45,1.71,67.96,0.6,2.13,Surma_Sunamganj
2005-01-24,0.02,22.33,13.77,0.92,70.83,0.6,2.08,Surma_Sunamganj
2005-01-25,0.0,21.99,12.79,1.22,69.62,0.6,2.41,Surma_Sunamganj
2005-01-26,0.0,23.18,12.94,1.3,66.91,0.59,2.94,Surma_Sunamganj
2005-01-27,0.0,23.81,11.53,1.19,65.09,0.59,3.16,Surma_Sunamganj
2005-01-28,0.0,21.1,11.85,1.09,71.71,0.59,1.41,Surma_Sunamganj
2005-01-29,0.05,23.78,14.01,0.85,59.23,0.59,2.61,Surma_Sunamganj
2005-01-30,0.0,26.07,14.08,1.1,60.48,0.58,3.83,Surma_Sunamganj
2005-01-31,0.0,26.64,15.83,1.09,61.86,0.58,3.83,Surma_Sunamganj
2005-02-01,0.41,27.35,16.02,1.72,70.82,0.58,3.32,Surma_Sunamganj
2005-02-02,0.0,24.07,12.21,2.31,71.77,0.57,3.61,Surma_Sunamganj
2005-02-03,0.0,22.91,10.25,1.29,64.33,0.57,3.47,Surma_Sunamganj
2005-02-04,0.0,22.58,10.94,1.27,60.66,0.56,3.19,Surma_Sunamganj
2005-02-05,0.0,24.02,11.42,1.27,59.39,0.56,3.23,Surma_Sunamganj
2005-02-06,0.0,25.65,11.78,1.23,55.62,0.56,3.24,Surma_Sunamganj
2005-02-07,0.0,26.57,15.77,1.16,58.61,0.55,3.32,Surma_Sunamganj
2005-02-08,0.0,26.41,16.26,1.25,57.0,0.55,2.68,Surma_Sunamganj
2005-02-09,0.0,27.61,15.9,1.22,62.7,0.55,3.68,Surma_Sunamganj
2005-02-10,0.0,27.84,16.8,1.32,64.01,0.54,3.58,Surma_Sunamganj
2005-02-11,0.0,27.13,15.58,1.18,58.81,0.54,3.47,Surma_Sunamganj
2005-02-12,0.0,28.22,15.21,1.37,58.62,0.54,3.29,Surma_Sunamganj
2005-02-13,0.23,29.38,14.79,2.1,62.6,0.53,3.53,Surma_Sunamganj
2005-02-14,0.0,28.94,14.16,2.51,59.2,0.53,3.74,Surma_Sunamganj
2005-02-15,0.0,27.98,13.76,1.62,62.54,0.53,3.16,Surma_Sunamganj
2005-02-16,2.89,29.63,16.03,1.43,69.08,0.52,3.15,Surma_Sunamganj
2005-02-17,7.36,30.08,17.93,1.12,68.09,0.53,3.39,Surma_Sunamganj
2005-02-18,10.49,28.31,18.11,1.11,79.57,0.54,2.87,Surma_Sunamganj
2005-02-19,0.19,30.2,18.36,1.31,73.12,0.54,3.72,Surma_Sunamganj
2005-02-20,0.01,30.63,18.75,1.2,66.88,0.53,3.85,Surma_Sunamganj
2005-02-21,0.0,32.34,19.26,1.8,61.98,0.53,4.01,Surma_Sunamganj
2005-02-22,0.22,31.57,17.66,1.94,54.03,0.52,4.03,Surma_Sunamganj
2005-02-23,0.33,28.65,16.72,2.5,63.26,0.52,3.21,Surma_Sunamganj
2005-02-24,0.0,28.3,16.92,1.35,58.05,0.51,3.16,Surma_Sunamganj
2005-02-25,0.0,28.7,15.1,1.51,49.56,0.51,3.07,Surma_Sunamganj
2005-02-26,0.0,29.96,14.52,1.77,49.03,0.5,3.14,Surma_Sunamganj
2005-02-27,0.0,30.04,17.32,1.2,39.16,0.5,3.13,Surma_Sunamganj
2005-02-28,0.0,28.97,16.38,1.13,43.96,0.5,3.06,Surma_Sunamganj
2005-03-01,0.0,29.59,16.38,1.14,47.19,0.49,2.75,Surma_Sunamganj
2005-03-02,0.0,31.91,17.39,1.71,52.58,0.49,2.9,Surma_Sunamganj
2005-03-03,0.0,32.45,18.38,1.75,54.2,0.49,2.83,Surma_Sunamganj
2005-03-04,0.07,33.33,17.89,1.23,51.01,0.48,2.7,Surma_Sunamganj
2005-03-05,0.11,33.15,19.16,1.68,60.62,0.48,2.27,Surma_Sunamganj
2005-03-06,0.01,34.8,20.78,2.0,61.14,0.48,2.87,Surma_Sunamganj
2005-03-07,0.68,33.5,19.85,1.51,63.1,0.47,2.31,Surma_Sunamganj
2005-03-08,10.37,30.92,19.43,0.96,66.5,0.48,1.95,Surma_Sunamganj
2005-03-09,0.52,32.5,18.88,1.5,58.99,0.49,2.95,Surma_Sunamganj
2005-03-10,0.03,33.32,20.1,1.98,55.48,0.48,2.87,Surma_Sunamganj
2005-03-11,0.18,32.22,21.23,1.53,57.7,0.47,1.93,Surma_Sunamganj
2005-03-12,0.79,31.64,20.17,1.6,55.41,0.47,2.18,Surma_Sunamganj
2005-03-13,0.0,33.21,19.34,1.67,48.82,0.47,2.68,Surma_Sunamganj
2005-03-14,0.01,32.79,20.44,1.08,47.85,0.46,2.53,Surma_Sunamganj
2005-03-15,0.11,32.91,20.49,1.1,43.74,0.46,2.29,Surma_Sunamganj
2005-03-16,0.0,31.88,18.41,1.21,53.35,0.46,2.08,Surma_Sunamganj
2005-03-17,1.61,32.17,20.2,1.14,54.14,0.46,1.98,Surma_Sunamganj
2005-03-18,5.38,32.17,21.43,1.48,59.09,0.46,1.73,Surma_Sunamganj
2005-03-19,11.61,31.88,22.77,1.19,61.49,0.47,2.23,Surma_Sunamganj
2005-03-20,28.86,31.9,20.67,1.46,64.89,0.5,2.65,Surma_Sunamganj
2005-03-21,23.0,33.03,21.1,1.64,71.76,0.53,3.79,Surma_Sunamganj
2005-03-22,22.61,32.04,21.49,1.73,80.34,0.55,4.34,Surma_Sunamganj
2005-03-23,13.09,30.65,22.07,2.0,83.81,0.55,3.76,Surma_Sunamganj
2005-03-24,34.18,24.88,19.78,3.29,91.26,0.57,0.97,Surma_Sunamganj
2005-03-25,11.43,27.17,17.97,1.52,76.86,0.6,4.84,Surma_Sunamganj
2005-03-26,2.44,28.82,18.67,1.04,62.63,0.58,6.11,Surma_Sunamganj
2005-03-27,6.04,29.3,19.03,1.05,69.42,0.57,5.42,Surma_Sunamganj
2005-03-28,15.25,29.3,18.43,1.46,80.36,0.58,4.33,Surma_Sunamganj
2005-03-29,11.68,30.12,19.87,1.31,78.92,0.58,4.69,Surma_Sunamganj
2005-03-30,33.44,30.05,20.67,1.31,82.19,0.61,3.64,Surma_Sunamganj
2005-03-31,13.47,29.14,21.58,1.14,82.76,0.63,4.11,Surma_Sunamganj
2005-04-01,0.02,30.75,22.11,0.74,70.92,0.61,6.95,Surma_Sunamganj
2005-04-02,0.08,32.57,19.59,1.17,57.88,0.6,7.75,Surma_Sunamganj
2005-04-03,0.42,32.68,20.12,1.1,59.25,0.59,7.81,Surma_Sunamganj
2005-04-04,4.54,30.73,21.19,1.08,62.48,0.58,7.59,Surma_Sunamganj
2005-04-05,0.0,31.03,18.66,1.08,60.08,0.57,7.82,Surma_Sunamganj
2005-04-06,13.69,29.3,20.86,1.19,74.02,0.58,5.47,Surma_Sunamganj
2005-04-07,0.55,31.83,21.04,1.62,75.73,0.58,6.76,Surma_Sunamganj
2005-04-08,3.19,32.13,21.78,2.05,78.78,0.58,6.55,Surma_Sunamganj
2005-04-09,14.49,31.53,21.6,1.25,79.54,0.58,5.5,Surma_Sunamganj
2005-04-10,29.44,30.61,23.4,1.23,84.7,0.61,3.95,Surma_Sunamganj
2005-04-11,21.52,30.79,23.28,1.45,85.29,0.63,4.46,Surma_Sunamganj
2005-04-12,10.52,31.67,19.94,1.2,66.44,0.64,6.48,Surma_Sunamganj
2005-04-13,0.0,31.07,17.84,1.17,49.29,0.62,7.91,Surma_Sunamganj
2005-04-14,0.0,31.25,17.75,1.28,56.4,0.6,7.72,Surma_Sunamganj
2005-04-15,0.0,31.79,18.29,1.39,63.02,0.59,7.45,Surma_Sunamganj
2005-04-16,0.36,31.82,19.81,1.46,74.24,0.59,6.64,Surma_Sunamganj
2005-04-17,2.69,30.02,22.14,1.4,84.06,0.58,3.24,Surma_Sunamganj
2005-04-18,1.21,31.18,22.66,1.33,82.61,0.58,4.91,Surma_Sunamganj
2005-04-19,0.51,28.56,23.46,1.4,85.44,0.58,1.95,Surma_Sunamganj
2005-04-20,0.0,32.44,22.99,1.02,66.72,0.58,4.54,Surma_Sunamganj
2005-04-21,0.12,33.34,22.2,1.15,63.74,0.57,8.48,Surma_Sunamganj
2005-04-22,0.84,32.24,23.19,1.24,70.03,0.56,6.48,Surma_Sunamganj
2005-04-23,15.42,31.68,23.0,1.25,73.38,0.57,4.82,Surma_Sunamganj
2005-04-24,10.4,31.5,23.4,1.22,78.02,0.59,4.4,Surma_Sunamganj
2005-04-25,4.35,30.88,23.79,1.3,80.1,0.59,4.33,Surma_Sunamganj
2005-04-26,23.71,32.2,23.88,1.54,76.38,0.6,4.76,Surma_Sunamganj
2005-04-27,18.73,31.21,23.54,1.38,80.78,0.62,4.47,Surma_Sunamganj
2005-04-28,9.62,32.42,23.21,1.36,79.18,0.62,5.48,Surma_Sunamganj
2005-04-29,4.07,30.69,23.35,1.58,82.56,0.61,5.51,Surma_Sunamganj
2005-04-30,6.23,27.63,22.06,1.21,84.63,0.61,1.9,Surma_Sunamganj
2005-05-01,0.61,29.8,20.81,1.04,69.45,0.61,5.59,Surma_Sunamganj
2005-05-02,4.84,30.33,21.46,1.16,70.89,0.6,5.07,Surma_Sunamganj
2005-05-03,27.82,30.74,21.74,1.13,72.02,0.62,5.6,Surma_Sunamganj
2005-05-04,2.36,30.89,21.93,0.95,69.89,0.63,6.67,Surma_Sunamganj
2005-05-05,8.45,29.25,21.96,1.31,80.77,0.63,2.75,Surma_Sunamganj
2005-05-06,7.35,28.05,20.96,0.84,77.41,0.62,3.94,Surma_Sunamganj
2005-05-07,23.75,29.61,22.06,1.08,79.76,0.65,4.21,Surma_Sunamganj
2005-05-08,6.18,30.13,21.77,1.33,79.39,0.65,5.43,Surma_Sunamganj
2005-05-09,2.49,32.04,22.93,1.19,75.38,0.64,6.16,Surma_Sunamganj
2005-05-10,4.99,34.35,23.49,1.47,69.05,0.63,6.68,Surma_Sunamganj
2005-05-11,13.03,33.43,23.51,1.03,73.52,0.63,6.56,Surma_Sunamganj
2005-05-12,5.05,32.85,23.11,0.91,76.63,0.63,7.39,Surma_Sunamganj
2005-05-13,27.35,30.92,22.7,1.81,82.18,0.65,4.18,Surma_Sunamganj
2005-05-14,6.03,32.26,23.36,1.38,80.17,0.66,5.66,Surma_Sunamganj
2005-05-15,32.51,31.28,23.81,1.36,82.06,0.67,4.5,Surma_Sunamganj
2005-05-16,6.29,32.56,24.11,1.55,82.04,0.68,5.32,Surma_Sunamganj
2005-05-17,13.17,32.04,24.83,1.38,79.91,0.67,5.63,Surma_Sunamganj
2005-05-18,8.12,32.36,24.91,1.35,82.15,0.67,5.0,Surma_Sunamganj
2005-05-19,54.16,29.64,23.59,1.62,88.32,0.71,2.53,Surma_Sunamganj
2005-05-20,33.24,30.22,23.31,1.45,87.48,0.74,3.29,Surma_Sunamganj
2005-05-21,39.13,30.05,23.84,1.49,86.36,0.76,2.73,Surma_Sunamganj
2005-05-22,42.79,29.01,23.22,2.38,90.41,0.79,1.62,Surma_Sunamganj
2005-05-23,4.67,31.27,24.54,1.65,87.59,0.79,3.35,Surma_Sunamganj
2005-05-24,52.58,30.4,24.52,1.58,89.88,0.8,1.89,Surma_Sunamganj
2005-05-25,29.02,30.13,25.1,1.53,91.92,0.83,1.51,Surma_Sunamganj
2005-05-26,5.75,30.09,24.97,1.36,91.72,0.82,1.5,Surma_Sunamganj
2005-05-27,7.38,30.98,25.54,1.28,88.61,0.82,2.44,Surma_Sunamganj
2005-05-28,3.83,30.85,25.57,1.12,87.85,0.81,1.96,Surma_Sunamganj
2005-05-29,7.59,30.48,25.15,1.03,87.06,0.81,2.22,Surma_Sunamganj
2005-05-30,1.81,32.89,24.5,0.99,81.71,0.81,5.11,Surma_Sunamganj
2005-05-31,0.89,32.24,25.72,1.31,84.95,0.8,3.75,Surma_Sunamganj
2005-06-01,2.95,31.26,25.44,1.41,87.94,0.8,3.32,Surma_Sunamganj
2005-06-02,3.76,32.23,25.58,1.82,89.28,0.79,3.42,Surma_Sunamganj
2005-06-03,7.02,32.36,25.7,1.84,86.97,0.79,4.12,Surma_Sunamganj
2005-06-04,7.26,31.78,24.76,1.78,84.74,0.79,4.59,Surma_Sunamganj
2005-06-05,0.45,30.13,24.71,1.73,84.04,0.79,2.66,Surma_Sunamganj
2005-06-06,0.02,29.67,23.01,1.26,78.84,0.78,3.36,Surma_Sunamganj
2005-06-07,0.36,32.59,23.65,0.98,72.46,0.77,6.13,Surma_Sunamganj
2005-06-08,3.91,32.7,25.78,1.0,75.77,0.77,5.15,Surma_Sunamganj
2005-06-09,8.23,32.16,25.47,0.94,78.98,0.77,4.43,Surma_Sunamganj
2005-06-10,5.83,33.81,25.45,0.94,72.4,0.77,3.51,Surma_Sunamganj
2005-06-11,0.26,31.92,25.72,1.47,85.28,0.77,3.45,Surma_Sunamganj
2005-06-12,0.28,33.15,26.02,0.94,81.48,0.76,4.96,Surma_Sunamganj
2005-06-13,2.23,31.95,26.22,1.23,83.21,0.75,3.54,Surma_Sunamganj
2005-06-14,11.43,32.64,26.37,1.36,84.32,0.75,3.33,Surma_Sunamganj
2005-06-15,7.15,32.24,26.05,1.72,85.32,0.76,3.95,Surma_Sunamganj
2005-06-16,13.49,31.51,26.47,1.06,86.59,0.76,2.43,Surma_Sunamganj
2005-06-17,5.91,32.21,26.62,1.1,84.11,0.77,3.21,Surma_Sunamganj
2005-06-18,12.79,30.46,26.68,1.45,92.21,0.76,1.11,Surma_Sunamganj
2005-06-19,8.84,31.27,26.12,1.9,89.34,0.78,1.97,Surma_Sunamganj
2005-06-20,2.05,32.9,25.23,1.94,85.76,0.77,4.48,Surma_Sunamganj
2005-06-21,17.35,30.66,25.74,1.37,90.72,0.78,1.62,Surma_Sunamganj
2005-06-22,3.45,30.2,26.29,1.95,90.66,0.78,1.65,Surma_Sunamganj
2005-06-23,10.95,30.24,25.9,1.57,90.38,0.78,1.32,Surma_Sunamganj
2005-06-24,5.51,31.58,25.96,1.3,88.07,0.78,2.69,Surma_Sunamganj
2005-06-25,3.32,30.09,25.52,2.85,92.22,0.78,1.32,Surma_Sunamganj
2005-06-26,4.57,31.95,25.02,2.3,86.57,0.78,4.0,Surma_Sunamganj
2005-06-27,5.01,33.07,25.48,3.42,82.96,0.77,5.26,Surma_Sunamganj
2005-06-28,5.73,30.56,25.88,3.2,89.59,0.77,1.64,Surma_Sunamganj
2005-06-29,12.97,30.71,25.88,2.51,87.76,0.77,2.17,Surma_Sunamganj
2005-06-30,12.73,31.05,25.64,1.77,88.67,0.78,2.86,Surma_Sunamganj
2005-07-01,19.91,30.78,25.46,1.36,88.11,0.79,2.0,Surma_Sunamganj
2005-07-02,28.17,30.16,25.64,1.45,88.92,0.8,2.06,Surma_Sunamganj
2005-07-03,29.31,31.65,25.82,2.36,89.05,0.83,2.75,Surma_Sunamganj
2005-07-04,19.9,30.37,25.68,1.28,89.01,0.83,1.73,Surma_Sunamganj
2005-07-05,12.26,29.42,25.48,2.31,89.49,0.84,1.88,Surma_Sunamganj
2005-07-06,0.07,31.16,25.16,1.09,84.85,0.82,3.21,Surma_Sunamganj
2005-07-07,4.76,32.18,25.55,1.37,82.58,0.82,4.75,Surma_Sunamganj
2005-07-08,0.65,32.57,25.52,1.64,85.69,0.81,5.06,Surma_Sunamganj
2005-07-09,8.95,31.33,25.2,2.35,88.27,0.8,3.74,Surma_Sunamganj
2005-07-10,24.87,31.93,25.36,3.07,88.93,0.81,3.46,Surma_Sunamganj
2005-07-11,31.65,30.83,25.36,2.51,90.75,0.83,2.04,Surma_Sunamganj
2005-07-12,22.5,29.22,25.1,1.89,92.58,0.84,1.06,Surma_Sunamganj
2005-07-13,35.72,29.51,24.82,1.62,91.67,0.86,1.03,Surma_Sunamganj
2005-07-14,46.4,27.69,24.85,2.46,95.01,0.89,0.43,Surma_Sunamganj
2005-07-15,18.89,28.49,24.52,2.3,91.19,0.9,1.31,Surma_Sunamganj
2005-07-16,10.61,29.94,23.88,1.81,88.83,0.89,2.31,Surma_Sunamganj
2005-07-17,33.73,30.48,24.56,2.21,90.53,0.9,1.89,Surma_Sunamganj
2005-07-18,40.04,28.66,25.15,1.89,92.57,0.92,0.93,Surma_Sunamganj
2005-07-19,6.0,30.99,24.38,2.47,89.42,0.92,2.64,Surma_Sunamganj
2005-07-20,17.16,31.87,25.61,1.85,87.91,0.91,2.59,Surma_Sunamganj
2005-07-21,35.2,30.65,25.21,1.62,89.57,0.92,2.14,Surma_Sunamganj
2005-07-22,13.75,32.09,24.96,1.24,84.18,0.93,2.96,Surma_Sunamganj
2005-07-23,8.21,32.34,26.75,2.34,87.8,0.92,2.05,Surma_Sunamganj
2005-07-24,23.47,32.24,26.91,1.97,87.06,0.92,2.46,Surma_Sunamganj
2005-07-25,6.6,32.93,26.48,1.54,87.46,0.92,2.81,Surma_Sunamganj
2005-07-26,14.62,31.38,26.69,2.27,90.07,0.92,1.72,Surma_Sunamganj
2005-07-27,29.37,31.99,26.23,2.39,89.22,0.92,2.13,Surma_Sunamganj
2005-07-28,5.12,32.96,26.14,1.63,85.91,0.92,3.42,Surma_Sunamganj
2005-07-29,4.75,33.83,27.05,1.81,84.1,0.91,3.58,Surma_Sunamganj
2005-07-30,14.65,32.94,26.35,1.88,86.98,0.91,3.31,Surma_Sunamganj
2005-07-31,7.7,31.78,26.23,1.5,88.64,0.91,2.34,Surma_Sunamganj
2005-08-01,0.35,32.71,25.84,1.28,86.76,0.9,3.27,Surma_Sunamganj
2005-08-02,19.4,33.33,27.64,1.84,85.35,0.9,2.55,Surma_Sunamganj
2005-08-03,17.0,32.62,26.34,3.02,87.36,0.91,2.46,Surma_Sunamganj
2005-08-04,52.66,32.03,25.96,2.93,90.64,0.92,2.29,Surma_Sunamganj
2005-08-05,42.84,30.01,25.8,2.25,91.98,0.94,1.4,Surma_Sunamganj
2005-08-06,34.27,31.18,25.5,2.85,90.73,0.95,2.11,Surma_Sunamganj
2005-08-07,17.02,31.36,25.85,2.15,90.64,0.95,2.01,Surma_Sunamganj
2005-08-08,18.78,31.33,26.41,1.86,89.03,0.95,1.82,Surma_Sunamganj
2005-08-09,11.21,32.41,26.56,0.79,85.96,0.94,0.73,Surma_Sunamganj
2005-08-10,19.7,31.02,26.25,1.46,90.28,0.95,1.65,Surma_Sunamganj
2005-08-11,33.18,29.77,26.13,1.25,92.34,0.95,0.66,Surma_Sunamganj
2005-08-12,41.4,30.81,25.64,1.19,89.46,0.97,1.17,Surma_Sunamganj
2005-08-13,6.52,34.46,26.29,1.31,80.05,0.96,3.47,Surma_Sunamganj
2005-08-14,20.15,33.85,25.49,2.96,89.49,0.96,1.36,Surma_Sunamganj
2005-08-15,15.88,31.8,25.29,1.87,87.82,0.96,2.73,Surma_Sunamganj
2005-08-16,6.16,30.28,25.8,1.67,90.44,0.95,1.91,Surma_Sunamganj
2005-08-17,3.47,30.94,25.47,1.48,89.22,0.95,2.0,Surma_Sunamganj
2005-08-18,64.11,30.35,26.26,1.06,86.6,0.95,1.35,Surma_Sunamganj
2005-08-19,41.47,30.11,25.91,1.2,89.97,0.98,1.14,Surma_Sunamganj
2005-08-20,27.15,31.47,25.58,2.67,91.81,0.98,1.44,Surma_Sunamganj
2005-08-21,30.59,30.92,25.27,3.54,91.36,0.98,1.71,Surma_Sunamganj
2005-08-22,22.46,29.71,25.49,3.48,94.7,0.98,0.7,Surma_Sunamganj
2005-08-23,30.35,31.18,25.98,2.74,92.79,0.98,1.3,Surma_Sunamganj
2005-08-24,42.83,30.07,25.92,1.93,92.69,0.98,1.23,Surma_Sunamganj
2005-08-25,15.35,28.59,25.55,1.91,94.3,0.98,0.5,Surma_Sunamganj
2005-08-26,58.99,28.46,25.2,1.48,94.53,0.98,0.29,Surma_Sunamganj
2005-08-27,16.69,30.17,24.96,1.67,92.74,0.99,0.99,Surma_Sunamganj
2005-08-28,11.66,29.28,24.54,1.25,91.48,0.98,1.11,Surma_Sunamganj
2005-08-29,3.41,31.12,24.27,1.32,86.8,0.98,2.7,Surma_Sunamganj
2005-08-30,3.98,31.22,24.93,1.66,88.9,0.97,2.29,Surma_Sunamganj
2005-08-31,4.26,32.94,24.12,0.87,80.7,0.97,3.98,Surma_Sunamganj
2005-09-01,16.4,32.99,26.48,0.83,80.31,0.96,3.04,Surma_Sunamganj
2005-09-02,1.6,33.7,26.93,1.07,80.28,0.96,4.4,Surma_Sunamganj
2005-09-03,3.81,33.02,26.58,1.06,85.15,0.95,1.7,Surma_Sunamganj
2005-09-04,4.22,31.08,25.98,1.35,88.62,0.95,1.82,Surma_Sunamganj
2005-09-05,9.11,30.91,25.43,0.74,83.8,0.95,1.12,Surma_Sunamganj
2005-09-06,6.42,30.82,26.27,1.08,83.26,0.95,2.4,Surma_Sunamganj
2005-09-07,7.32,31.36,25.85,0.91,84.98,0.95,1.96,Surma_Sunamganj
2005-09-08,3.95,31.95,26.0,1.36,82.31,0.94,2.17,Surma_Sunamganj
2005-09-09,8.99,31.5,25.58,1.51,83.52,0.94,2.63,Surma_Sunamganj
2005-09-10,9.33,33.08,24.9,1.66,82.29,0.94,3.04,Surma_Sunamganj
2005-09-11,8.91,30.92,25.69,1.37,86.61,0.94,2.35,Surma_Sunamganj
2005-09-12,3.17,30.55,24.88,1.38,89.41,0.93,2.27,Surma_Sunamganj
2005-09-13,2.01,31.47,24.62,1.51,87.63,0.93,3.42,Surma_Sunamganj
2005-09-14,0.25,34.96,25.28,1.12,72.51,0.92,4.57,Surma_Sunamganj
2005-09-15,0.45,35.19,26.23,1.1,66.18,0.91,5.03,Surma_Sunamganj
2005-09-16,0.48,32.1,25.46,2.06,82.25,0.9,2.96,Surma_Sunamganj
2005-09-17,0.65,30.96,24.93,2.97,83.57,0.9,3.27,Surma_Sunamganj
2005-09-18,0.06,32.25,25.15,1.54,83.21,0.89,4.83,Surma_Sunamganj
2005-09-19,6.81,33.74,26.3,1.15,82.97,0.89,3.28,Surma_Sunamganj
2005-09-20,40.33,29.78,25.99,1.73,90.82,0.9,0.74,Surma_Sunamganj
2005-09-21,34.87,27.83,24.87,1.72,92.95,0.93,0.87,Surma_Sunamganj
2005-09-22,4.41,30.13,24.13,1.32,88.64,0.92,3.67,Surma_Sunamganj
2005-09-23,18.9,30.13,24.75,2.14,90.67,0.92,3.1,Surma_Sunamganj
2005-09-24,55.4,30.03,25.12,1.89,93.17,0.94,1.42,Surma_Sunamganj
2005-09-25,10.74,29.61,25.13,0.92,87.76,0.95,2.06,Surma_Sunamganj
2005-09-26,2.0,31.52,24.33,0.85,83.44,0.94,4.53,Surma_Sunamganj
2005-09-27,5.34,32.4,25.8,1.09,82.3,0.93,4.81,Surma_Sunamganj
2005-09-28,1.04,32.03,26.29,1.3,83.37,0.92,3.96,Surma_Sunamganj
2005-09-29,16.26,31.25,25.5,1.17,86.19,0.93,1.91,Surma_Sunamganj
2005-09-30,25.55,29.48,24.62,1.04,89.77,0.93,2.37,Surma_Sunamganj
2005-10-01,34.69,28.43,23.96,2.69,93.48,0.94,1.51,Surma_Sunamganj
2005-10-02,38.55,28.29,23.59,1.54,88.81,0.95,1.37,Surma_Sunamganj
2005-10-03,10.41,28.97,23.03,1.4,86.03,0.96,1.78,Surma_Sunamganj
2005-10-04,27.29,29.1,22.93,1.82,88.61,0.96,2.69,Surma_Sunamganj
2005-10-05,1.65,30.73,23.6,0.79,84.41,0.96,5.02,Surma_Sunamganj
2005-10-06,0.05,30.81,23.99,0.92,79.67,0.95,5.79,Surma_Sunamganj
2005-10-07,0.07,31.28,23.64,1.02,80.63,0.94,5.74,Surma_Sunamganj
2005-10-08,0.47,31.88,24.21,1.01,77.82,0.93,6.0,Surma_Sunamganj
2005-10-09,0.01,31.76,23.92,1.13,78.76,0.92,5.58,Surma_Sunamganj
2005-10-10,0.0,31.78,24.17,0.99,80.06,0.92,5.97,Surma_Sunamganj
2005-10-11,0.22,30.67,24.57,1.01,81.09,0.91,4.32,Surma_Sunamganj
2005-10-12,0.01,30.95,24.63,0.92,80.94,0.91,4.09,Surma_Sunamganj
2005-10-13,0.12,32.68,24.07,1.01,73.54,0.9,5.02,Surma_Sunamganj
2005-10-14,0.0,31.23,22.81,1.37,77.99,0.9,5.72,Surma_Sunamganj
2005-10-15,0.0,30.88,22.95,1.02,80.42,0.89,6.02,Surma_Sunamganj
2005-10-16,2.49,30.93,23.62,0.96,79.98,0.88,5.37,Surma_Sunamganj
2005-10-17,4.33,30.77,24.12,0.85,78.49,0.88,4.13,Surma_Sunamganj
2005-10-18,7.17,28.06,23.54,0.78,84.14,0.88,1.97,Surma_Sunamganj
2005-10-19,25.53,28.0,22.43,0.89,81.29,0.9,1.98,Surma_Sunamganj
2005-10-20,5.08,27.74,22.14,0.77,85.26,0.89,1.36,Surma_Sunamganj
2005-10-21,19.56,28.45,22.05,1.36,85.79,0.9,1.31,Surma_Sunamganj
