date,rainfall_mm,temp_max,temp_min,wind_speed,humidity,soil_moisture,evapotranspiration,station
2005-01-01,0.0,21.72,12.43,1.09,71.64,0.69,3.02,Surma_Sylhet
2005-01-02,0.0,22.08,12.83,0.95,76.42,0.69,2.22,Surma_Sylhet
2005-01-03,0.0,24.24,14.92,1.2,75.2,0.69,3.05,Surma_Sylhet
2005-01-04,0.0,23.09,14.95,0.92,77.86,0.69,1.43,Surma_Sylhet
2005-01-05,0.0,25.31,13.66,1.46,72.89,0.69,3.32,Surma_Sylhet
2005-01-06,0.0,23.77,12.86,1.19,74.75,0.68,3.01,Surma_Sylhet
2005-01-07,0.0,23.17,12.37,1.35,77.45,0.68,2.88,Surma_Sylhet
2005-01-08,0.0,23.53,12.8,1.31,72.89,0.68,3.06,Surma_Sylhet
2005-01-09,0.0,22.42,12.03,1.21,74.33,0.68,2.79,Surma_Sylhet
2005-01-10,0.74,20.84,12.39,1.01,73.89,0.68,1.84,Surma_Sylhet
2005-01-11,0.58,21.56,11.12,1.39,75.38,0.67,2.19,Surma_Sylhet
2005-01-12,0.0,22.58,11.34,1.64,74.56,0.67,2.59,Surma_Sylhet
2005-01-13,0.0,20.88,10.98,1.41,74.67,0.67,2.32,Surma_Sylhet
2005-01-14,0.0,20.93,10.55,1.28,78.07,0.67,2.26,Surma_Sylhet
2005-01-15,0.0,22.02,11.24,1.22,78.62,0.67,2.49,Surma_Sylhet
2005-01-16,0.0,22.88,12.24,1.31,76.69,0.66,2.6,Surma_Sylhet
2005-01-17,0.0,22.3,11.79,1.29,74.47,0.66,2.61,Surma_Sylhet
2005-01-18,0.31,23.7,12.88,1.17,72.56,0.66,2.68,Surma_Sylhet
2005-01-19,1.42,21.27,14.64,1.15,79.47,0.66,1.4,Surma_Sylhet
2005-01-20,0.0,21.59,11.32,1.32,71.05,0.66,2.6,Surma_Sylhet
2005-01-21,0.01,22.1,9.6,1.6,69.84,0.65,2.04,Surma_Sylhet
2005-01-22,0.0,22.56,11.21,1.51,63.68,0.65,1.77,Surma_Sylhet
2005-01-23,2.54,22.46,11.95,1.39,65.53,0.65,2.68,Surma_Sylhet
2005-01-24,0.03,21.85,12.15,1.16,77.01,0.65,2.23,Surma_Sylhet
2005-01-25,0.0,21.6,11.91,1.25,73.31,0.65,2.53,Surma_Sylhet
2005-01-26,0.0,22.01,11.42,1.41,72.48,0.65,2.69,Surma_Sylhet
2005-01-27,0.0,23.05,11.02,1.34,70.18,0.64,3.06,Surma_Sylhet
2005-01-28,0.0,21.81,11.81,1.22,70.87,0.64,1.6,Surma_Sylhet
2005-01-29,0.03,22.38,13.98,1.19,66.28,0.64,2.53,Surma_Sylhet
2005-01-30,0.0,25.56,12.95,1.25,67.4,0.64,3.8,Surma_Sylhet
2005-01-31,0.0,27.56,14.29,1.25,64.39,0.63,4.28,Surma_Sylhet
2005-02-01,0.29,25.14,15.05,1.33,72.31,0.63,2.99,Surma_Sylhet
2005-02-02,0.0,23.93,12.51,1.54,73.78,0.63,3.75,Surma_Sylhet
2005-02-03,0.0,22.14,10.03,1.41,71.25,0.62,3.2,Surma_Sylhet
2005-02-04,0.0,21.98,10.39,1.53,70.06,0.62,3.2,Surma_Sylhet
2005-02-05,0.0,22.85,10.31,1.41,64.25,0.62,3.28,Surma_Sylhet
2005-02-06,0.0,24.89,11.11,1.4,60.61,0.61,3.32,Surma_Sylhet
2005-02-07,0.0,25.68,14.12,1.42,65.22,0.61,3.46,Surma_Sylhet
2005-02-08,0.0,26.07,14.54,1.53,65.54,0.61,3.45,Surma_Sylhet
2005-02-09,0.0,26.19,14.16,1.35,67.94,0.61,4.07,Surma_Sylhet
2005-02-10,0.0,26.91,15.88,1.43,69.62,0.6,4.15,Surma_Sylhet
2005-02-11,0.0,25.98,14.82,1.45,68.25,0.6,4.12,Surma_Sylhet
2005-02-12,0.0,26.54,14.96,1.37,62.5,0.6,3.93,Surma_Sylhet
2005-02-13,0.56,27.31,14.36,2.01,71.94,0.6,4.16,Surma_Sylhet
2005-02-14,0.02,27.07,13.65,2.38,67.46,0.59,4.78,Surma_Sylhet
2005-02-15,0.0,26.05,13.03,1.74,68.83,0.59,4.22,Surma_Sylhet
2005-02-16,4.16,27.46,15.28,1.77,78.31,0.58,4.12,Surma_Sylhet
2005-02-17,9.94,28.07,19.15,1.32,78.72,0.6,3.74,Surma_Sylhet
2005-02-18,9.82,26.92,17.61,1.3,84.79,0.61,3.16,Surma_Sylhet
2005-02-19,0.14,28.25,18.24,1.45,80.18,0.61,4.18,Surma_Sylhet
2005-02-20,0.0,28.51,17.94,1.31,74.29,0.6,4.69,Surma_Sylhet
2005-02-21,0.0,29.9,17.99,1.7,72.16,0.59,5.11,Surma_Sylhet
2005-02-22,0.1,29.36,16.91,1.53,60.2,0.58,5.8,Surma_Sylhet
2005-02-23,0.2,27.12,15.84,1.94,70.04,0.58,4.99,Surma_Sylhet
2005-02-24,0.0,26.55,16.21,1.28,66.17,0.57,4.98,Surma_Sylhet
2005-02-25,0.0,26.25,13.53,1.44,57.02,0.57,5.15,Surma_Sylhet
2005-02-26,0.0,27.75,15.8,1.64,52.6,0.57,5.48,Surma_Sylhet
2005-02-27,0.0,27.94,14.91,1.28,51.88,0.56,5.61,Surma_Sylhet
2005-02-28,0.0,27.14,14.45,1.33,57.95,0.56,5.57,Surma_Sylhet
2005-03-01,0.0,27.51,14.93,1.46,64.04,0.55,5.16,Surma_Sylhet
2005-03-02,0.0,29.41,16.28,1.77,63.11,0.55,5.61,Surma_Sylhet
2005-03-03,0.0,30.31,17.2,1.69,65.22,0.54,5.43,Surma_Sylhet
2005-03-04,0.16,30.68,16.65,1.32,60.89,0.54,5.24,Surma_Sylhet
2005-03-05,0.42,30.63,18.39,1.48,70.03,0.54,4.42,Surma_Sylhet
2005-03-06,0.03,32.04,21.29,1.83,70.37,0.54,5.02,Surma_Sylhet
2005-03-07,2.13,30.32,20.04,1.45,72.77,0.53,3.76,Surma_Sylhet
2005-03-08,11.71,28.71,19.23,1.11,76.69,0.55,3.31,Surma_Sylhet
2005-03-09,0.0,29.77,18.46,1.5,69.23,0.55,5.88,Surma_Sylhet
2005-03-10,0.04,30.93,19.88,1.78,64.2,0.54,5.66,Surma_Sylhet
2005-03-11,0.18,29.36,20.91,1.29,64.53,0.54,3.34,Surma_Sylhet
2005-03-12,1.04,29.36,19.39,1.09,64.73,0.53,3.59,Surma_Sylhet
2005-03-13,0.0,31.81,18.47,1.59,57.83,0.53,6.26,Surma_Sylhet
2005-03-14,0.04,31.15,18.89,1.43,55.93,0.52,4.91,Surma_Sylhet
2005-03-15,0.23,30.79,18.54,1.27,56.05,0.52,4.75,Surma_Sylhet
2005-03-16,0.0,30.52,18.5,1.07,59.48,0.52,4.5,Surma_Sylhet
2005-03-17,1.18,31.13,19.26,1.28,60.33,0.51,4.19,Surma_Sylhet
2005-03-18,6.12,31.18,20.6,1.38,64.9,0.52,3.78,Surma_Sylhet
2005-03-19,10.97,30.88,21.28,1.4,68.19,0.53,4.26,Surma_Sylhet
