date,rainfall_mm,temp_max,temp_min,wind_speed,humidity,soil_moisture,evapotranspiration,station
2005-01-01,0.0,22.48,9.34,0.97,74.8,0.55,0.7,Teesta_Lalmonirhat
2005-01-02,0.0,22.64,10.83,0.8,76.45,0.54,0.65,Teesta_Lalmonirhat
2005-01-03,0.0,23.55,11.2,0.63,78.85,0.54,0.67,Teesta_Lalmonirhat
2005-01-04,0.0,24.71,13.01,0.98,76.46,0.54,0.63,Teesta_Lalmonirhat
2005-01-05,0.0,23.73,11.7,1.21,80.96,0.54,0.63,Teesta_Lalmonirhat
2005-01-06,0.0,23.9,12.61,0.94,80.97,0.53,0.63,Teesta_Lalmonirhat
2005-01-07,0.0,23.91,11.09,0.85,75.48,0.53,0.61,Teesta_Lalmonirhat
2005-01-08,0.0,23.99,11.34,0.62,72.15,0.53,0.58,Teesta_Lalmonirhat
2005-01-09,0.0,22.56,10.91,0.58,73.38,0.53,0.5,Teesta_Lalmonirhat
2005-01-10,0.42,22.08,10.12,1.12,62.34,0.53,0.42,Teesta_Lalmonirhat
2005-01-11,0.1,19.52,9.1,1.41,75.75,0.52,0.24,Teesta_Lalmonirhat
2005-01-12,0.0,20.42,8.66,1.28,76.49,0.52,0.35,Teesta_Lalmonirhat
2005-01-13,0.0,20.74,8.45,0.83,73.43,0.52,0.4,Teesta_Lalmonirhat
2005-01-14,0.0,21.87,9.04,0.82,67.51,0.52,0.43,Teesta_Lalmonirhat
2005-01-15,0.0,22.01,8.81,0.9,72.1,0.52,0.41,Teesta_Lalmonirhat
2005-01-16,0.0,23.06,9.7,0.91,74.25,0.51,0.43,Teesta_Lalmonirhat
2005-01-17,0.01,22.88,10.26,1.18,74.63,0.51,0.37,Teesta_Lalmonirhat
2005-01-18,1.76,21.22,12.45,1.34,82.41,0.51,0.25,Teesta_Lalmonirhat
2005-01-19,0.6,23.25,11.84,1.16,76.66,0.51,0.45,Teesta_Lalmonirhat
2005-01-20,0.0,22.57,9.7,1.58,69.98,0.51,0.48,Teesta_Lalmonirhat
2005-01-21,0.0,21.26,9.37,1.32,71.36,0.51,0.35,Teesta_Lalmonirhat
