date,rainfall_mm,temp_max,temp_min,wind_speed,humidity,soil_moisture,evapotranspiration,station
2005-01-01,0.0,24.27,11.01,1.04,69.57,0.55,0.74,Turag_Gazipur
2005-01-02,0.0,24.15,12.44,1.03,73.55,0.55,0.56,Turag_Gazipur
2005-01-03,0.0,25.31,14.73,1.1,72.33,0.55,0.6,Turag_Gazipur
2005-01-04,0.0,24.05,15.38,1.28,74.67,0.55,0.31,Turag_Gazipur
2005-01-05,0.0,25.96,13.14,1.72,73.34,0.54,0.7,Turag_Gazipur
2005-01-06,0.0,25.67,11.65,1.4,74.04,0.54,0.7,Turag_Gazipur
2005-01-07,0.0,25.33,11.71,1.71,75.89,0.54,0.63,Turag_Gazipur
2005-01-08,0.0,25.62,11.82,1.71,73.52,0.54,0.65,Turag_Gazipur
2005-01-09,0.0,23.81,11.84,1.56,72.88,0.53,0.57,Turag_Gazipur
2005-01-10,0.07,23.98,11.34,1.11,57.77,0.53,0.5,Turag_Gazipur
2005-01-11,2.35,24.41,10.53,1.6,73.56,0.53,0.43,Turag_Gazipur
2005-01-12,0.48,23.97,11.72,1.9,72.22,0.53,0.65,Turag_Gazipur
2005-01-13,0.0,22.66,9.63,1.93,73.81,0.53,0.49,Turag_Gazipur
2005-01-14,0.0,23.47,10.13,1.47,71.22,0.52,0.5,Turag_Gazipur
2005-01-15,0.0,24.29,11.23,1.29,65.06,0.52,0.52,Turag_Gazipur
2005-01-16,0.0,25.01,12.4,1.23,63.0,0.52,0.52,Turag_Gazipur
2005-01-17,0.0,24.82,11.36,1.28,64.18,0.52,0.49,Turag_Gazipur
2005-01-18,0.48,25.22,12.04,1.26,69.23,0.51,0.46,Turag_Gazipur
2005-01-19,0.74,23.51,13.81,1.53,77.3,0.51,0.31,Turag_Gazipur
2005-01-20,0.0,23.97,12.15,1.88,67.69,0.51,0.51,Turag_Gazipur
2005-01-21,0.0,22.15,9.15,2.0,64.26,0.51,0.38,Turag_Gazipur
2005-01-22,0.0,22.68,9.86,1.53,67.16,0.51,0.3,Turag_Gazipur
2005-01-23,0.39,25.93,12.06,1.5,59.79,0.51,0.5,Turag_Gazipur
2005-01-24,0.12,24.59,13.85,1.29,72.43,0.5,0.44,Turag_Gazipur
2005-01-25,0.0,23.83,12.53,1.97,68.38,0.5,0.46,Turag_Gazipur
2005-01-26,0.0,25.26,10.86,1.84,66.55,0.5,0.51,Turag_Gazipur
2005-01-27,0.0,26.1,12.81,1.34,59.73,0.49,0.5,Turag_Gazipur
2005-01-28,0.02,23.1,12.83,1.46,63.79,0.49,0.23,Turag_Gazipur
2005-01-29,0.11,25.55,13.42,1.98,63.74,0.49,0.45,Turag_Gazipur
2005-01-30,0.0,27.21,12.43,1.91,63.37,0.49,0.49,Turag_Gazipur
2005-01-31,0.0,29.5,12.75,1.58,60.72,0.48,0.55,Turag_Gazipur
2005-02-01,0.19,27.27,14.75,2.92,69.51,0.48,0.46,Turag_Gazipur
2005-02-02,0.01,25.9,13.85,2.51,67.38,0.48,0.47,Turag_Gazipur
2005-02-03,0.0,24.15,9.94,2.02,58.25,0.48,0.39,Turag_Gazipur
2005-02-04,0.0,25.1,8.82,1.85,62.39,0.47,0.4,Turag_Gazipur
2005-02-05,0.0,26.56,10.38,1.57,58.12,0.47,0.39,Turag_Gazipur
2005-02-06,0.0,28.26,12.31,1.18,50.09,0.47,0.37,Turag_Gazipur
2005-02-07,0.0,29.78,15.1,1.05,52.3,0.47,0.45,Turag_Gazipur
2005-02-08,0.0,30.04,14.7,1.93,58.17,0.46,0.43,Turag_Gazipur
2005-02-09,0.0,30.12,14.54,1.63,63.49,0.46,0.44,Turag_Gazipur
2005-02-10,0.0,30.36,16.31,1.74,58.65,0.46,0.41,Turag_Gazipur
2005-02-11,0.0,30.37,15.83,1.37,50.76,0.45,0.41,Turag_Gazipur
2005-02-12,0.0,31.91,16.65,1.57,48.45,0.45,0.41,Turag_Gazipur
2005-02-13,0.01,33.26,16.18,3.01,53.04,0.45,0.44,Turag_Gazipur
2005-02-14,0.0,32.41,16.12,3.34,48.1,0.44,0.45,Turag_Gazipur
2005-02-15,0.0,31.22,15.24,2.33,54.96,0.44,0.38,Turag_Gazipur
2005-02-16,0.53,32.9,17.63,2.52,66.27,0.44,0.35,Turag_Gazipur
2005-02-17,2.13,33.13,19.11,1.98,68.27,0.44,0.39,Turag_Gazipur
2005-02-18,4.29,32.57,20.64,1.85,69.95,0.44,0.35,Turag_Gazipur
2005-02-19,0.35,33.95,20.04,1.39,64.75,0.44,0.4,Turag_Gazipur
2005-02-20,0.28,34.06,19.96,1.45,61.78,0.44,0.39,Turag_Gazipur
2005-02-21,0.06,35.24,20.66,1.69,53.59,0.43,0.37,Turag_Gazipur
2005-02-22,0.25,33.76,18.91,1.84,47.21,0.43,0.39,Turag_Gazipur
2005-02-23,0.1,31.01,16.79,2.02,55.86,0.43,0.31,Turag_Gazipur
2005-02-24,0.0,30.93,17.83,1.74,51.96,0.43,0.3,Turag_Gazipur
2005-02-25,0.0,30.73,14.96,1.76,39.99,0.42,0.26,Turag_Gazipur
